darija,eng,darija_ar
achmn nou3 tlmosi9a kay3jbek?,What kind of music do you like?,أشمن نوع تلموسيقا كايعجبك?
achnahia lmakla lmofDDala 3ndk?,What's your favorite food?,أشناهيا لماكلا لموفضّالا عندك?
wach kat3ref fin kayna?,Do you know where she is?,واش كاتعرف فين كاينا?
wach katl3eb l basket?,Do you play basketball?,واش كاتلعب ل باسكت?
khasso chi 7wayj jdad,He needs some new clothes,خاسّو شي حوايج جداد
bghiti chi haja matakol?,Would you like something to eat?,بغيتي شي حاجة ماتاكول?
"sm7 lia, chno glti?","Excuse me, what did you say?","سمح ليا, شنو ڭلتي?"
kayballia 3ndk bzaf tl7wayj,I think you have too many clothes,كايبالّيا عندك بزاف تلحوايج
3afak hder bl anglais.,Please speak English.,عافاك هدر بل أنڭلايس.
"sm7 lia, masm3tch mzyan.","Sorry, I didn't hear clearly.","سمح ليا, ماسمعتش مزيان."
chno kat3ni had lklma?,What does this word mean?,شنو كاتعني هاد لكلما?
wach sifTTi lia lwrd?,Did you send me flowers?,واش سيفطّي ليا لورد?
wach katbi3 l batteriat?,Do you sell batteries?,واش كاتبيع ل باتّريات?
3ndi w7da f Tomobil,I have one in my car,عندي وحدا ف طوموبيل
gaddit had l kika,I made this cake,ڭادّيت هاد ل كيكا
ana khddam 3nd rasi,I'm self-employed,أنا خدّام عند راسي
ba9i 3ndi bzzaf mandir,I still have a lot to do,باقي عندي بزّاف ماندير
lyoma bard l7al bzzaf,It's very cold today,ليوما بارد لحال بزّاف
tchfrat lia lmagana dyali,My watch has been stolen,تشفرات ليا لماڭانا ديالي
fin n9dr nSerref dollar?,Where can I exchange dollars?,فين نقدر نصرّف دولّار?
fin kayn a9rab SbiTar?,Where's the nearest hospital?,فين كاين أقراب صبيطار?
wach homa b7al b7al?,Are they the same?,واش هوما بحال بحال?
wach ghat7Der ll3rs dyalhom?,Are you going to attend their wedding?,واش غاتحضر اللعرس ديالهوم?
wakha tsllfni chi flous?,Can I borrow some money?,واخا تسلّفني شي فلوس?
momkin tdowwer mn b3d?,Can you call back later?,مومكين تدووّر من بعد?
wach momkin tgadd hadi?,Can you fix this?,واش مومكين تڭادّ هادي?
momkin t3Tini chi mital?,Can you give me an example?,مومكين تعطيني شي ميتال?
wach 3ziza 3lih lmdrasa?,Does he like the school?,واش عزيزا عليه لمدراسا?
wach 3ndk chi maw3id?,Do you have an appointment?,واش عندك شي ماوعيد?
wach 3ndk chi mochkil?,Do you have a problem?,واش عندك شي موشكيل?
3ndi bzzaf tl7wayj mandir,I have a lot of things to do,عندي بزّاف تلحوايج ماندير
mn daba 30 d9i9a.,In 30 minutes.,من دابا 30 دقيقا.
wach kolchi hoa hadak?,Is everything ok?,واش كولشي هوا هاداك?
wach b3id 3la 8na?,Is it far from here?,واش بعيد علا هنا?
yakma kano chi machakil?,Were there any problems?,ياكما كانو شي ماشاكيل?
3lach kathDro ntoma bjoj?,What are you two talking about?,علاش كاتهضرو نتوما بجوج?
chkon fihom lli rkheS?,Which one is cheaper?,شكون فيهوم اللي رخص?
chkon fihom lli 7sen?,Which one is the best?,شكون فيهوم اللي حسن?
achmn mdrasa lach kaymchi?,Which school does he go to?,أشمن مدراسا لاش كايمشي?
6 dollar l ssa3a.,6 dollars per hour.,6 دولّار ل الساعا.
50 drhem l ssa3a,50 dirham per hour,50 درهم ل الساعا
wach katsnna chi 7dd?,Are you waiting for someone?,واش كاتسنّا شي حدّ?
wach nta khddam lioma?,Are you working today?,واش نتا خدّام ليوما?
ch7al t lflous 3ndk?,How much money do you have?,شحال ت لفلوس عندك?
fach khddam lwalid dyalk?,What does your father do for work?,فاش خدّام لواليد ديالك?
imta katkhrej mn lkhdma?,When do you get off work?,إمتا كاتخرج من لخدما?
fo9ach katkhrej mn lkhdma?,When do you get off work?,فوقاش كاتخرج من لخدما?
ghaykon skhoun l7al lioma.,It's going to be hot today.,غايكون سخون لحال ليوما.
f chamal dyal 8na.,It's north of here.,ف شامال ديال هنا.
kighadi ikon ljow ghdda?,What will the weather be like tomorrow?,كيغادي إكون لجوو غدّا?
dima taydir lia hadchi,He always does that for me,ديما تايدير ليا هادشي
makaybanch b7al chi frmli,He doesn't look like a nurse,ماكايبانش بحال شي فرملي
ma3mmro 3Tani chi haja,He never gives me anything,ماعمّرو عطاني شي حاجة
kays7ab lih mabghinach nmchiw,He thinks we don't want to go,كايسحاب ليه مابغيناش نمشيو
jit m3a l3a2ila dyali,I came with my family,جيت معا لعاإلا ديالي
wach had lblSa aamina?,Is this a safe area?,واش هاد لبلصا امينا?
wach hada ssi Mohamed?,Is this Mr. Mohamed,واش هادا السي موهامد?
kayn bbak f ddar?,Is your father home?,كاين الباك ف الدار?
kayballia had ssbbaT mbogS,I think those shoes are very good looking,كايبالّيا هاد السبّاط مبوڭص
khdmt tmma khms snin,I've worked there for five years,خدمت تمّا خمس سنين
bghit nchri chi haja,I want to buy something,بغيت نشري شي حاجة
bghit nwrrik chi haja,I want to show you something,بغيت نورّيك شي حاجة
3afak 7sb lia hadchi,Please count this for me,عافاك حسب ليا هادشي
"sm7 lia, ma3ndich stylo","Sorry, I don't have a pencil","سمح ليا, ماعنديش ستيلو"
achmn loun dik tomobil,What color is that car?,أشمن لون ديك توموبيل
achmn Tri9 khss nakhod?,Which road should I take?,أشمن طريق خسّ ناخود?
i9der ikon makaydkhlch lkhater.,He would have been unbearable.,إقدر إكون ماكايدخلش لخاتر.
ach had zoj 7na!,What a pair we are!,أش هاد زوج حنا!
ach ballik f whiskey?,How about a whiskey?,أش بالّيك ف وهيسكي?
kandn i9der i3tiwna charab!,Maybe they'll give us a drink!,كاندن إقدر إعتيونا شاراب!
nadwa dyalk katban mohima.,Your seminar sounds interesting.,نادوا ديالك كاتبان موهيما.
tmata3 b nadwa dyalk.,Enjoy your seminar.,تماتاع ب نادوا ديالك.
7it 8na ma3ndich ichara,Because here I don't have a signal,حيت هنا ماعنديش إشارا
wach nta 3ziza 3lik?,Do you like her?,واش نتا عزيزا عليك?
chi wahd khachabi kanDnn...,A wooden one I suppose...,شي واهد خاشابي كانضنّ...
wach hadchi kaywlli as8al?,Does it get any easier?,واش هادشي كايولّي أسهال?
"3andna anchita makhtalfa, kansawlk!!","We do have various activities, I ask you!!","عاندنا أنشيتا ماختالفا, كانساولك!!"
ana kan3zef 3la lpiano,I do play the piano,أنا كانعزف علا لپيانو
b9it skhoun m3a lkalb,I stayed warm with the dog.,بقيت سخون معا لكالب
hadchi ghadi ykon 3aDim,That would be great,هادشي غادي يكون عاضيم
"imkn lina n7awlo, 3azizati!","We could try, my dear!","إمكن لينا نحاولو, عازيزاتي!"
Oh...chkon likaykhasni n3rad 3lih?,Oh... who should I invite?,أُه...شكون ليكايخاسني نعراد عليه?
nta ghadi bach l3otla?,You're leaving for a holiday?,نتا غادي باش لعوتلا?
awal ri7la lya lbra!,My first ever abroad!,أوال ريحلا ليا لبرا!
machi bzaf dyal sanawat.,Not for years.,ماشي بزاف ديال ساناوات.
"3araf, 3araf, onta masabrch","I know, I know, and you're not holding up","عاراف, عاراف, أُنتا ماسابرش"
hada hwa wa9t lmchrobat.,It's time for drinks.,هادا هوا واقت لمشروبات.
nta katsta7a9 bach t7malni.,You deserve to put up with me.,نتا كاتستاحاق باش تحمالني.
hadchi mnasb f l3otla.,It's convenient for the holidays.,هادشي مناسب ف لعوتلا.
3jbatni fikrat James Bond.,I like the idea of James Bond characters.,عجباتني فيكرات جامس بوند.
aykhali nass ybano mbogssin.,It makes people look a little bit classy.,أيخالي ناسّ يبانو مبوڭسّين.
"ayeh, hadi fikra mazyana.","Yes, that's a good idea!","أيه, هادي فيكرا مازيانا."
"lmdina, kanchofha l3am kaml!","The city, I see it the rest of the year!","لمدينا, كانشوفها لعام كامل!"
walakin lmdina hya lmdina.,But the city's the city.,والاكين لمدينا هيا لمدينا.
nta 3andk m3a ta9afa!,You know culture!,نتا عاندك معا تاقافا!
ana maghadi l7ta blasa,I'm not going anywhere!,أنا ماغادي لحتا بلاسا
ghadi ykon b7al karosa,It would be like a rickshaw!,غادي يكون بحال كاروسا
ghadi nmchiw lmdina ghda,We'll go into town tomorrow.,غادي نمشيو لمدينا غدا
walakin ghda 3amro makayji,But tomorrow never comes.,والاكين غدا عامرو ماكايجي
Oh nta wla ana?,On you or me?,أُه نتا ولا أنا?
"Ahlan Lhossein, kidayr lyoum?","Hello Lhossein, how are you today?","أهلان لهوسّين, كيداير ليوم?"
y9dr hadchi yfar7k ...,Maybe this will cheer you up...,يقدر هادشي يفارحك ...
"39el, akhir mra, rfDat","Remember, the last time, she had declined","عقل, أخير مرا, رفضات"
nta rah chibh 3ma.,You're nearly blind,نتا راه شيبه عما.
raha khdat m3aha bnti.,She's taken my daughter.,راها خدات معاها بنتي.
9leb 3la lbar dyalk,Find your own night club,قلب علا لبار ديالك
o 7ta snan l2istina3iya,Including false teeth,أُ حتا سنان لإستيناعييا
kayna chi 7aja m9l9ani.,There's something I'm worried about.,كاينا شي حاجا مقلقاني.
ana f7awD dyal al7out,I'm in an aquarium,أنا فحاوض ديال ألحوت
hadchi momkin ikon motir.,This could be very interesting.,هادشي مومكين إكون موتير.
ach had zzmer wa93?,What the hell is going on?,أش هاد الزمر واقع?
rah 7bas bin liTajat.,It's stopped between floors.,راه حباس بين ليطاجات.
"t8adan, lghwat maghadich i3awn.","calm down, shouting won't help.","تهادان, لغوات ماغاديش إعاون."
imkan kayna ichara 8na.,Perhaps there is a signal here.,إمكان كاينا إشارا هنا.
wach tilifon dyalk m3ak?,Have you got your phone with you?,واش تيليفون ديالك معاك?
Salaire dyalk kay3tamad 3liha.,Your salary depends on it.,صالاير ديالك كايعتاماد عليها.
3yeT 3la chi 7edd ,Call someone,عيط علا شي حدّ
rajli l9dim kan moghni.,My ex-husband was a singer.,راجلي لقديم كان موغني.
makand9droch ga3 nrkkzo fdar.,We could never concentrate at home.,ماكاندقدروش ڭاع نركّزو فدار.
kan kayghani 7tta fn3aso.,He even sang in his sleep.,كان كايغاني حتّا فنعاسو.
ma3raftch 3lach kangolik hadchi.,I don't know why I'm telling you this.,ماعرافتش علاش كانڭوليك هادشي.
yalah nt7rrko mn 8na!,Get us out of here!,يالاه نتحرّكو من هنا!
"Hahaha, makan7tajch nadawat lit3llemni!","Hahaha, I don't need seminars to teach me!","هاهاها, ماكانحتاجش ناداوات ليتعلّمني!"
aykhasak tji tzorni 9riban,You must come visit me soon,أيخاساك تجي تزورني قريبان
Ah 3yit man tabi3a,Ugh I'm fed up of nature,أه عييت مان تابيعا
wach 3andak Sout mj88d?,Do you have a loud voice?,واش عانداك صوت مجهّد?
anjrrbo lkharita dyal Google?,Let's try Google Maps?,أنجرّبو لخاريتا ديال ڭوڭل?
"La, rah ghir nokta.","No, it's a joke.","لا, راه غير نوكتا."
kan kayS7abni knt mkhbia...,I thought I was being subtle...,كان كايصحابني كنت مخبيا...
"La, rah chft kolchi.","No, I saw the whole thing.","لا, راه شفت كولشي."
hada machi wa9t zwin!,This is not good timing!,هادا ماشي واقت زوين!
achno bghiti mnna ndiro?,What do you want us to do?,أشنو بغيتي منّا نديرو?
wakha ikon wa9t khayab,Even if it's a bad time,واخا إكون واقت خاياب
wach skhn l7al 8na?,Is it getting hot in here?,واش سخن لحال هنا?
ro7 modmin 3la lko7ol?,An alcoholic spirit?,روح مودمين علا لكوحول?
ma3raftch kifach ghadi nkharjo,I don't know how we're gonna get out,ماعرافتش كيفاش غادي نخارجو
lmas3ad khasr mra khra,The elevator's down again.,لماسعاد خاسر مرا خرا
ssada dima nafs l7aja,"The masters, always the same.",السادا ديما نافس لحاجا
makat9darch t3aml m3a skhoniya,It can't cope with the heat,ماكاتقدارش تعامل معا سخونييا
7na ghir mchro3 sghir,We are just a small business,حنا غير مشروع سغير
hadchi ghadi ykon zwin,This is gonna be interesting,هادشي غادي يكون زوين
bghaw ywaklo lbaT lbiskwi?,They want to feed the ducks with cookies?,بغاو يواكلو لباط لبيسكوي?
3la a9al lkhobz Si77i!,At least the bread is healthy!,علا أقال لخوبز صيحّي!
kan7as bkhaybat amal chwiya,I'm a little disappointed,كانحاس بخايبات أمال شوييا
kayn wa7d SSyyad l8i8,There's a fisherman there.,كاين واحد الصيّاد لهيه
"awdi, lbaT ba9in 8na","Well, the ducks are still here.","أودي, لباط باقين هنا"
lbaTT mkhlo9at Sabora bzaf,Ducks are very patient creatures,لباطّ مخلوقات صابورا بزاف
mabghitich dir chi dorat?,Don't you want to do some laps?,مابغيتيش دير شي دورات?
ah walakin wlat momila,"Yeah, but it gets boring",أه والاكين ولات موميلا
walakin mabghitch ndir dorat,But I don't want to do laps.,والاكين مابغيتش ندير دورات
wahd sa3a mn daba?,In about an hour?,واهد ساعا من دابا?
ghadi nkhalas ila bghiti,I'll pay if you like,غادي نخالاس إلا بغيتي
"jib liya 9ahwa, 3afak!","Get me a coffee, please!","جيب لييا قاهوا, عافاك!"
kayban fih lmalal tahowa,He looks a bit bored too,كايبان فيه لمالال تاهووا
"9ahwa b skkar, chokran","A coffee with sugar, thank you","قاهوا ب سكّار, شوكران"
khaso yrTab bzarba flma,It should soften quite quickly in the water,خاسو يرطاب بزاربا فلما
ban liya kaybghiw jlbana,They like peas apparently,بان لييا كايبغيو جلبانا
machi jlbana 3la b3da!,Not peas anyway!,ماشي جلبانا علا بعدا!
ah mosi9i dyal jazz,Ah jazz musician,أه موسيقي ديال جازّ
ya9dar nji nsam3k katl3ab,Maybe I could come along to hear you play,ياقدار نجي نسامعك كاتلعاب
o rassi kayd77k chwiya,And my head's a bit funny,أُ راسّي كايدحّك شوييا
"awdi, makhasnich ntmnna hadchi",Well I should hope not,"أودي, ماخاسنيش نتمنّا هادشي"
bgra kad7ak b l'anglais,Laughing cow in English,بڭرا كادحاك ب ل'انڭلايس
katban kat3raf bzaf 3liha,You seem very knowledgeable about it.,كاتبان كاتعراف بزاف عليها
khsna nbdaw nwjdo l3ars!,We need to start preparing for the wedding!,خسنا نبداو نوجدو لعارس!
3andna batat dyal almo9abilat?,Are we have canapes?,عاندنا باتات ديال ألموقابيلات?
lkbda dyal waz mjliya.,The fois gras is missing.,لكبدا ديال واز مجلييا.
kanDn ma7taj chi lasi9,I think I need a plaster.,كانضن ماحتاج شي لاسيق
"yarbi, makan7asch brasi mazyan","Oh, my God, I don't feel well.","ياربي, ماكانحاسش براسي مازيان"
kanchof bila rak tolanti,I see you're resourceful,كانشوف بيلا راك تولانتي
hadchi tamaman lighadi ndiro,That's exactly what we're gonna do,هادشي تامامان ليغادي نديرو
"ahlan, 7bibi, kidaz nhark?","Hi, honey, how was your day?","أهلان, حبيبي, كيداز نهارك?"
ra2is dyali makanch far7an,My boss is not happy,راإس ديالي ماكانش فارحان
chef dyali makanch nachT,My boss is not happy,شف ديالي ماكانش ناشط
lmodir dyali makanch fr7an,My boss is not happy,لمودير ديالي ماكانش فرحان
"ana, n8ari kan momtaz","Me, my day has been excellent.","أنا, نهاري كان مومتاز"
"walakin, kifach wSlti ldar?",But how did you get home?,"والاكين, كيفاش وصلتي لدار?"
nta oana ghadin lmasra7.,You and I are going to the theatre.,نتا أُانا غادين لماسراح.
ghadi n3awnak ila bghiti.,I'll help you if you like.,غادي نعاوناك إلا بغيتي.
3ndi sa7bi fmjmo3a mosi9iya,I have a friend who's in a music group,عندي ساحبي فمجموعا موسيقييا
ana kantsnnaha nit daba!,I'm really looking forward to it now!,أنا كانتسنّاها نيت دابا!
darori khasna nmchiw nt9ddaw!,We absolutely need to go shopping!,داروري خاسنا نمشيو نتقدّاو!
"La, ana machi bikhir.","No, I'm not.","لا, أنا ماشي بيخير."
ana dima kansafar fTyyara.,I'm a frequent flyer.,أنا ديما كانسافار فطيّارا.
ana kanchdd Tyara bzaf.,I take the plane too often.,أنا كانشدّ طيارا بزاف.
walakin ghadi nakhad coca.,"But I'm gonna get a Coke, though.",والاكين غادي ناخاد كوكا.
kantmana lik kol lkhir.,All the best.,كانتمانا ليك كول لخير.
3lach ma3ndhoumch Scottish whiskey?,Why don't they have Scottish whiskey?,علاش ماعندهومش صكوتّيسه وهيسكي?
rah machi nfs l7aja!,It's not the same thing!,راه ماشي نفس لحاجا!
"Oh ah, akhiran wSlna.","Oh yes, we've finally landed.","أُه أه, أخيران وصلنا."
ghadi njibo ghir scallops.,We're just going to get the scallops.,غادي نجيبو غير سكالّوپس.
wach 3ndak chi afkar?,You got any ideas?,واش عنداك شي أفكار?
o chno f ddisir?,What about dessert?,أُ شنو ف الديسير?
olla 7alwa dyal choklat?,Or chocolate macaroons?,أُلّا حالوا ديال شوكلات?
sa3a sa3ida mlli chfnak.,It's good to see you.,ساعا ساعيدا ملّي شفناك.
wa moudda hadi machfnak,It's been a long time,وا مودّا هادي ماشفناك
wach atrja3 mn l3otla?,Are you coming back from vacation?,واش أترجاع من لعوتلا?
fin mchiti had l3am?,Where did you go this year?,فين مشيتي هاد لعام?
"Hey, kidaz nhar dyalk?","Hey, how was your day?","هي, كيداز نهار ديالك?"
wach mamomkinch nakhdo mo7ami?,Isn't it possible to get a lawyer?,واش مامومكينش ناخدو موحامي?
Ah kanDnn 3nadak Sa7.,"Yes, I think you're right.",أه كانضنّ عناداك صاح.
ewa o ila manj7atch?,What if it doesn't work?,إوا أُ إلا مانجحاتش?
ana ghadi njbed 3liha,I'm going to bed.,أنا غادي نجبد عليها
daba nfkkro fhadchi ghdda.,We'll think about it tomorrow.,دابا نفكّرو فهادشي غدّا.
3ndi chi khoTat dyali.,I have some plans of my own.,عندي شي خوطات ديالي.
ghadi ntla9a b ra2is,I am meeting with the chairman,غادي نتلاقا ب راإس
khasak tbi3hom fblast dakchi,You have to sell them instead!,خاساك تبيعهوم فبلاست داكشي
bdit kan3ra9 mlli tfakart,I am starting to sweat as I remember,بديت كانعراق ملّي تفاكارت
akhir mra kant bo7di,Last time I was on my own,أخير مرا كانت بوحدي
walakin sma3t chi sDa3,But I hear noises,والاكين سماعت شي سضاع
Drbna wa7ad lghda ktir,We had a huge lunch...,ضربنا واحاد لغدا كتير
"Oh, ahlan Simo kidayr?","Oh, hello Simo how are you?","أُه, أهلان صيمو كيداير?"
katban f 7ala mazyana!,You look well!,كاتبان ف حالا مازيانا!
chokran 7it jiti tchofni,Thank you for coming to see me,شوكران حيت جيتي تشوفني
wach ba9i bikhir 8na?,Are you still okay here?,واش باقي بيخير هنا?
ma7ddi kant7rrek kaywali chwia,As long as I keep moving it should get better,ماحدّي كانتحرّك كايوالي شويا
oh fin chafti khoya?,Oh where did you see my brother?,أُه فين شافتي خويا?
"tla9ina f chari3, 3alaam!","We met on the street, it was fun!","تلاقينا ف شاريع, عالام!"
ch7al kat3ichi b3ida 3lih?,How far do you live from him?,شحال كاتعيشي بعيدا عليه?
fin t3alamti dir hadchi?,Where did you learn to do that?,فين تعالامتي دير هادشي?
kant barman chi sanawat,I have been a bartender for a few years,كانت بارمان شي ساناوات
achmn blad lach mchiti?,Which country did you go to?,أشمن بلاد لاش مشيتي?
ma3ndich fati7 chahiya mofaDal,I don't have a favourite aperitif myself,ماعنديش فاتيح شاهييا موفاضال
kano tma chi chwiya,There were a few,كانو تما شي شوييا
wach kanti tma nta?,So you've been there yourself?,واش كانتي تما نتا?
jabt chi a7jar zwina,I brought in some very beautiful stones,جابت شي أحجار زوينا
nhari daz ki lwil,My day sucked,نهاري داز كي لويل
ki dwwzti had n8ar?,How was your day?,كي دوّزتي هاد نهار?
jtima3 mzyan had sbah,A good productive meeting this morning,جتيماع مزيان هاد سباه
kan lghda cava 3lih,Lunch was fine,كان لغدا كاڤا عليه
3lach kan t9rirk kay8Dr?,what was your report about?,علاش كان تقريرك كايهضر?
3lach kan rappork kay8Dr?,what was your report about?,علاش كان راپّورك كايهضر?
achna8ia zlafa dyal chirashi?,What's a bowl of chirashi?,أشناهيا زلافا ديال شيراسهي?
darori ykono chi machakil,There must be some trouble,داروري يكونو شي ماشاكيل
machi ktar mn dakchi,No more than that.,ماشي كتار من داكشي
walakin chkon lli sTl?,But who's stupid?,والاكين شكون اللي سطل?
khask ta9ra ktab: lmo8ajirin,You should read the book: Immigrants,خاسك تاقرا كتاب: لموهاجيرين
3lach homa kif homa,why they are as they are,علاش هوما كيف هوما
3lach kay3SSbona b7al hakka,why they so infuriate us,علاش كايعصّبونا بحال هاكّا
olla ala bghiti tgol,in other words,أُلّا ألا بغيتي تڭول
"wakha, ana 8na lkharj","OK, I'm outta here","واخا, أنا هنا لخارج"
ghanrj3 mn daba chwia,Back in a bit.,غانرجع من دابا شويا
3lach kan9raw 3la tarikh?,Why do we learn about History?,علاش كانقراو علا تاريخ?
mat3rafch mnin jat l9iSSa,Not knowing where the story is come from,ماتعرافش منين جات لقيصّا
walakin l9isa mohima bzaf,But the story is very important.,والاكين لقيسا موهيما بزاف
khsso if8am chnahia ddimo9raTia,he needs to understand what democracy is,خسّو إفهام شناهيا الديموقراطيا
l8owiya tta9afia dyal blado,the cultural identity of his country,لهووييا التاقافيا ديال بلادو
mora l7arb l3alamiya lawla,After the first world war,مورا لحارب لعالامييا لاولا
hadchi kay3Ni zbbala tlflous,It meant a fortune,هادشي كايعني زبّالا تلفلوس
o blastha bnaw oropa,And they built Europe instead,أُ بلاستها بناو أُروپا
walakin achno kay8amak nta?,But what are you interested in?,والاكين أشنو كايهاماك نتا?
ghadi naghsal yadi daba!,I'll wash my hands right now!,غادي ناغسال يادي دابا!
kan9tar7 chi haja bsiTa,something simple I suggest,كانقتارح شي حاجة بسيطا
mghadich tan9as mn lmada9,it won't detract from the flavour,مغاديش تانقاس من لماداق
knt tangol maghadich tswal,I thought you weren't going to ask.,كنت تانڭول ماغاديش تسوال
kandan ghayakhod nhar kaml!,I suppose it takes all day!,كاندان غاياخود نهار كامل!
fiha chi ktichafat jdida,it incorporates some recent discoveries,فيها شي كتيشافات جديدا
dyawl Agatha Christie matalan,Agatha Christie's for example,دياول أڭاتها شريستي ماتالان
chafti ga3 dok lbaTat!,You've seen all those ducks!,شافتي ڭاع دوك لباطات!
wach kaybghiw 7wayj khrin?,Do they like other things?,واش كايبغيو حوايج خرين?
kan9tar7 l7ot o bTaTa,I recommend the fish and chips.,كانقتارح لحوت أُ بطاطا
wach kat3raf bach kaytsmma,Do you know what it's called.,واش كاتعراف باش كايتسمّا
kanbghi l7ot o chips,I like fish and chips,كانبغي لحوت أُ شيپس
hoa Taba9 nglizi bimtyaz!,it's a very English dish!,هوا طاباق نڭليزي بيمتياز!
achnahowa Taba9 lmofaDal 3ndk?,What's your favourite dish?,أشناهووا طاباق لموفاضال عندك?
kanfaDal lkhoDra o l7out,I prefer vegetables and fish.,كانفاضال لخوضرا أُ لحوت
wach nta Tbbakh mzyan?,Are you a good cook?,واش نتا طبّاخ مزيان?
ach 3andak 3la DaghT?,What do you have on the pressure?,أش عانداك علا ضاغط?
ana mstressi chwia daba,I am pretty stressed out right now,أنا مسترسّي شويا دابا
achno kayn 3andak fl9ss?,What do you have to eat?,أشنو كاين عانداك فلقسّ?
yalah nDrbo chi 9siyyes,let's eat,يالاه نضربو شي قسييّس
o mal l burger,how about our burger platter,أُ مال ل بورڭر
walakin ana makanbghich lbaSla,But I don't like onions,والاكين أنا ماكانبغيش لباصلا
30 burger bla bSla,"30 burgers, hold the onions.",30 بورڭر بلا بصلا
chi nas kaybghiw hakkak,Some people prefer that.,شي ناس كايبغيو هاكّاك
chof ch7al mkarfSin rajliya,Notice how bad my feet feel,شوف شحال مكارفصين راجلييا
walakin makayn lach tkhaf,But there's no need to panic,والاكين ماكاين لاش تخاف
lil2asaf w9tna lyouma t9ada,I'm afraid our time is up for today,ليلأساف وقتنا ليوما تقادا
wach makatbghich ssi Jameson?,Do you not like Mr Jameson?,واش ماكاتبغيش السي جامسون?
rah ana machi bo7di,I'm not the only one,راه أنا ماشي بوحدي
mnin o hadchi kayw9a3,How long has it been going on?,منين أُ هادشي كايوقاع
mnimta o hadchi kayw9a3,How long has it been going on?,منيمتا أُ هادشي كايوقاع
hadchi bSS7 kayban jiddi,This really does sound serious,هادشي بصّح كايبان جيدّي
hadchi khaso it7ell bzarba,This needs to be sorted out quickly,هادشي خاسو إتحلّ بزاربا
daba nredd 3lik lkhbar,I'll let you know,دابا نردّ عليك لخبار
ghadi yakloh l firan,he'll be eaten by rats,غادي ياكلوه ل فيران
ghir had 2alam Sghira,It's just all these little pains,غير هاد ألام صغيرا
wach jabti chi tSawr?,Did you bring in any photographs?,واش جابتي شي تصاور?
rak 3arfni m3a technology,"You know, the technology and I...",راك عارفني معا تشنولوڭي
rah wrrani kifach katkhdm,He showed me how it works,راه ورّاني كيفاش كاتخدم
hadchi kaml kaydoz bzarba,It's all happening so fast!,هادشي كامل كايدوز بزاربا
binmma toSl t temma,By the time we get there,بينمّا توصل ت تمّا
"sa3a sa3ida mli chaftak""",it's been a pleasure to see you,"ساعا ساعيدا ملي شافتاك"""
"kammal, golia chno wa9a3","go on, tell me what happened","كامّال, ڭوليا شنو واقاع"
malk katban 7azin bzzaf?,why do you look so down in the dumps?,مالك كاتبان حازين بزّاف?
chafti kifach kadwi m3aya,You've seen how you talk to me,شافتي كيفاش كادوي معايا
"chouf chouf chkon likaydwi""",look who's talking,"شوف شوف شكون ليكايدوي"""
walakin nta tla7iti 3lia,but you just came at me,والاكين نتا تلاحيتي عليا
ra8a kat7wwel l7afla ja8nnamia,It's turning into a hell of a party!,راها كاتحوّل لحافلا جاهنّاميا
achman wa9t bghitini nji?,What time do you want me to come over?,أشمان واقت بغيتيني نجي?
w lmachrobat 7ta 8oma,"And the drinks, too",و لماشروبات حتا هوما
wach kat3raf chnahya tawa9o3at?,Do you know what the forecast is?,واش كاتعراف شناهيا تاواقوعات?
"nffakhat, ah, 3lach la!","Balloons, yes, why not!","نفّاخات, أه, علاش لا!"
nnas dima kay3jbhom dakchi,People always like that,الناس ديما كايعجبهوم داكشي
l9araSina houma lli 7sn,Pirates are the best,لقاراصينا هوما اللي حسن
maghadich ttyye9 lyom lidawazt,You would not believe the day I've had,ماغاديش التيّق ليوم ليداوازت
maghadich ttyye9 kidwwzt lioma,You would not believe the day I've had,ماغاديش التيّق كيدوّزت ليوما
tta haja mamyessra lioma...,everything seemed to go wrong today...,التا حاجة ماميسّرا ليوما...
li mkanch fr7an bzaf,Who wasn't very happy,لي مكانش فرحان بزاف
ola chi birra mzyana?,Or a good beer?,أُلا شي بيرّا مزيانا?
"ll massage, machi lbirra","For the massage, not for the beer","الل ماسّاڭ, ماشي لبيرّا"
z3ma hoa mDoblni fl3mar,I mean he's twice my age,زعما هوا مضوبلني فلعمار
sm7 lia nchir lhadchi,Allow me to point out that,سمح ليا نشير لهادشي
rak fl9r3a lkhamsa dyalk,you are in your fifth bottle,راك فلقرعا لخامسا ديالك
wach hadchi li kayn!,Is that all!,واش هادشي لي كاين!
hak hahoa l menu,Here's the menu,هاك هاهوا ل منو
m3a moka3ab dyal talj,with an ice cube,معا موكاعاب ديال تالج
"3lach, tsala l Whiskey?","Why, have you run out of whiskey?","علاش, تسالا ل وهيسكي?"
7it kan7as bjo3 chwiya?,I'm feeling a bit peckish?,حيت كانحاس بجوع شوييا?
nta mafr7anch anak tsrbini,you're not happy to serve me,نتا مافرحانش أناك تسربيني
"ewa, kidazt ssimana dyalk?","So, how has your week been?","إوا, كيدازت السيمانا ديالك?"
ma3rftch chno khss ndir,I don't know what to do,ماعرفتش شنو خسّ ندير
kayban lia hadchi ma8owwach,It sounds rather suspicious to me,كايبان ليا هادشي ماهووّاش
wach katji 8na bzaf?,Do you come here often?,واش كاتجي هنا بزاف?
nta jdid fhad siktour?,Are you new to the neighborhood?,نتا جديد فهاد سيكتور?
"la, ana ghir dayz","No, I am just passing through","لا, أنا غير دايز"
