darija,eng,darija_ar
ewa imkn lih iji had llila o it3amel m3a REX!,Well he could come along tonight and deal with Rex!,إوا إمكن ليه إجي هاد الليلا أُ إتعامل معا رش!
"Oh, imken chi haja mzyana ma9dertch nchdha mn b3d.","Oh, probably a good thing I couldn't catch it then.","أُه, إمكن شي حاجة مزيانا ماقدرتش نشدها من بعد."
walakin hadi awal tsafira ftyyara lia o ana khayfa chwiya,but it's my first flight ever and I'm a little scared,والاكين هادي أوال تسافيرا فتيّارا ليا أُ أنا خايفا شوييا
wach ma3ndakch mochkila ila dwina chwiya 9bel man9ll3o?,Do you mind if we chat a bit during take-off?,واش ماعنداكش موشكيلا إلا دوينا شوييا قبل مانقلّعو?
"o zaydoun, hadi hya aktar tari9a aamina bach iddiwha, kima kaygolo.","Besides, this is the safest way to transport it, as they say.","أُ زايدون, هادي هيا أكتار تاريقا امينا باش إدّيوها, كيما كايڭولو."
khasek tsawel 3la kas dyal chrab.,You should ask for a glass of wine.,خاسك تساول علا كاس ديال شراب.
ghadi ikon hadchi loTf mnnk.,That would be very nice of you.,غادي إكون هادشي لوطف منّك.
o chokran 3la Trf dyal chokolata,And thank you for the chocolate bar,أُ شوكران علا طرف ديال شوكولاتا
 khrajtha man sac dyalk mli makntich katchouf,I took it out of your bag whilst you weren't looking,خراجتها مان ساك ديالك ملي ماكنتيش كاتشوف
imken makay3jabnich tayaran mn hadchi kollo,Maybe I don't like flying after all,إمكن ماكايعجابنيش تاياران من هادشي كولّو
wach flkhr tfara9ti m3a sa7bak?,You finally split up with your friend?,واش فلخر تفاراقتي معا ساحباك?
Imkan 7ta ana m9al9a chwiya?,"Maybe a little worried, too?",إمكان حتا أنا مقالقا شوييا?
kan kays7ablik ana ma3arfach ach kan hoa o Martin kaydiro mli kaygolia bli kayla3bo l basket,he thought I didn't know what him and Martin were doing when they said they were playing basketball,كان كايسحابليك أنا ماعارفاش أش كان هوا أُ مارتين كايديرو ملي كايڭوليا بلي كايلاعبو ل باسكت
nta bsse7 mab9itich katsma3 lia b7al kima kan,you don't really listen to me any more than he ever did,نتا بسّح مابقيتيش كاتسماع ليا بحال كيما كان
kanDn hada hwa sabab likan mkhalini dima mrtabta bik,I think that's why I've always been so attached to you,كانضن هادا هوا ساباب ليكان مخاليني ديما مرتابتا بيك
"Oh, yalah safi ... nta 3araf bli hadchi machi s7i7.","Oh, come on... You know that's not true.","أُه, يالاه سافي ... نتا عاراف بلي هادشي ماشي سحيح."
"Bsara7a, kan ghadi idirha, kon kan kaysma3 lia","Frankly,and he would've, if he'd ever listened to me","بساراحا, كان غادي إديرها, كون كان كايسماع ليا"
3lach kadn bli dert hadchi?,Why do you think I did this?,علاش كادن بلي درت هادشي?
kan dakchi bach n9dro nkono m3a ba3dyatna.,It was so that WE could be together.,كان داكشي باش نقدرو نكونو معا باعدياتنا.
katdahar bli baghi t3raf kifach daz n8ari,pretending to want to know how my day was,كاتداهار بلي باغي تعراف كيفاش داز نهاري
3lach knt kan9lab f l7ayat?,what I was looking for in life?,علاش كنت كانقلاب ف لحايات?
"ola bl a7ra, lmrid dyali limn ba3d, blmonasaba.","Or rather, my next patient, by the way.","أُلا بل أحرا, لمريد ديالي ليمن باعد, بلموناسابا."
"Ohlala, mab9itch kan3rf had lblasa ga3.","Ohlala, I don't recognize this place at all.","أُهلالا, مابقيتش كانعرف هاد لبلاسا ڭاع."
ghadi yakhad lina bzaf dyal lwa9t bach nrj3o mn tri9 lijina mnha,It will take us hours to get back the way we come,غادي ياخاد لينا بزاف ديال لواقت باش نرجعو من تريق ليجينا منها
"fdlam, o fost ga3 had lghays ...","in the dark, and through all that mud ...","فدلام, أُ فوست ڭاع هاد لغايس ..."
"3la 7sab lkharita,aykhas ikon l7jar ola jaraf ola jaraf sghir 9rib mn lfo9 dyal jbal.","According to the map there should be some rocks, a crag or a small cliff near the top of th hill.","علا حساب لخاريتا,ايخاس إكون لحجار أُلا جاراف أُلا جاراف سغير قريب من لفوق ديال جبال."
ah ana kangol bli hada sb3.,Yes I'd say that's a lion.,أه أنا كانڭول بلي هادا سبع.
lso2 l7ad lktaba dyali khayba bazaf,Unfortunately my typing is bad,لسوء لحاد لكتابا ديالي خايبا بازاف
knt kan9sad ila l9ina l7jar machi 9dafna l7jar.,I meant if we find the rocks not if we fling the rocks.,كنت كانقساد إلا لقينا لحجار ماشي قدافنا لحجار.
an7tajo nwaffro TTa9a dyalna l Tl3a o f nnzoul TTwil.,We need to saveour energy for the climb and the long walk down.,أنحتاجو نوافّرو الطاقا ديالنا ل طلعا أُ ف النزول الطويل.
"yalah nt7arko daba, ola ghadi nb9aw hna chi yamat!","let's move now, or we'll be here in a few days!","يالاه نتحاركو دابا, أُلا غادي نبقاو هنا شي يامات!"
idan 7na kaynin fl7afa dyal ljarf,So here we are at the edge of the cliff,إدان حنا كاينين فلحافا ديال لجارف
"o chofo lhih 3sa, ol village ta8oa.","and look there's the rod, and the village.","أُ شوفو لهيه عسا, أُل ڤيلّاڭ تاهوا."
"Rad balk, had l7jar rah katzala9 bzaf, mbghitich Ti7","Be careful, these rocks are rather slippery, don't want to fall","راد بالك, هاد لحجار راه كاتزالاق بزاف, مبغيتيش طيح"
"Ah, kas mn champagne ghadi raj3ni hwa hadak.","Yes, a good glass of champagne will do me great.","أه, كاس من شامپاڭن غادي راجعني هوا هاداك."
"Lwalida, 3afak khalini ntchowech 3liha, bghit narta7.","Mother, please let me worry about it, I want to rest.","لواليدا, عافاك خاليني نتشووش عليها, بغيت نارتاح."
ma9adrch takhod chwiya dyal lwa9t tfkar fih,you're not able to take time to think about it,ماقادرش تاخود شوييا ديال لواقت تفكار فيه
ola 7ta anak matfakar fta7aja,Or even think of nothing,أُلا حتا أناك ماتفاكار فتاحاجا
tsabt blmarad lfaranci likayban mli kayb9aw rajlik itmalmlo.,I've got the French disease of restless legs.,تسابت بلماراد لفارانسي ليكايبان ملي كايبقاو راجليك إتمالملو.
"ga3 dakchi lfaranci, kaytla7d dima.","All those French things, always being noticed.","ڭاع داكشي لفارانسي, كايتلاحد ديما."
ah knt kanjar lik rajlik.,Yes I was pulling your leg.,أه كنت كانجار ليك راجليك.
idan kanwa3dak ghadi nkhlik bohdak,Then I promise to leave you alone,إدان كانواعداك غادي نخليك بوهداك
makay3aytoch lik Einstein 3la dakchi,They don't call you Einstein for that,ماكايعايتوش ليك إينستين علا داكشي
la makay3aytoch 3lik Einstein ga3.,No they don't call you Einstein at all.,لا ماكايعايتوش عليك إينستين ڭاع.
"Rak 3arfni 3andi m3a Tyab, idan n9dr ndir chi7aja ila bghiti.","But you know I like to cook, so I can also do one of the things if you want.","راك عارفني عاندي معا طياب, إدان نقدر ندير شيحاجا إلا بغيتي."
Oh hadchi ghadi ikon ghzal.,Oh that would be lovely.,أُه هادشي غادي إكون غزال.
wach t9dr dir lia kika dyal frota wtzaw9ha btlj,Could you make me a fruit cake with icing decorations?,واش تقدر دير ليا كيكا ديال فروتا وتزاوقها بتلج
zzbib o mchmach yabss homa a3azz haja 3ndi,raisins and dried apricots are my favourites,الزبيب أُ مشماش يابسّ هوما أعازّ حاجة عندي
"n9dr ngad zaja, tahwa, ila bghiti.","I can make glassworks, too, if you want.","نقدر نڭاد زاجا, تاهوا, إلا بغيتي."
bghitha b7al chi kswa zwiwna.,I would like to make it fancy dress too.,بغيتها بحال شي كسوا زويونا.
n9dro ndiro b7al chakhsyat James Bond awla l9arasina.,We could have a theme like James Bond characters or pirates.,نقدرو نديرو بحال شاخسيات جامس بوند أولا لقاراسينا.
lmochkila i9dro ykono bzaf dyal James.,The problem is there may be several James!,لموشكيلا إقدرو يكونو بزاف ديال جامس.
"fi3lan, ghatkon a7ssan James ga3!","Of course, you'll be the best James ever!","فيعلان, غاتكون أحسّان جامس ڭاع!"
"wakha,w lmchrobat, ach ndiro fihom?","Well, how about the drinks, what do you suggest?","واخا,و لمشروبات, أش نديرو فيهوم?"
o ila kan ljow mzyan n9dro n7taflo f jarda.,And if the weather is nice we could hold it in the garden.,أُ إلا كان لجوو مزيان نقدرو نحتافلو ف جاردا.
daba Safi khassna ghir nchofo dyaf li ghay7adro wnsifto l3raDat.,Now all we have to do is make the guest list and send out the invites.,دابا صافي خاسّنا غير نشوفو دياف لي غايحادرو ونسيفتو لعراضات.
3andi aghlabya t nnas f email o hadi ghatkoun assra3 Tari9a.,I've got most people in email so that would be the quickest way.,عاندي أغلابيا ت الناس ف إمايل أُ هادي غاتكون أسّراع طاريقا.
hadi bddebT hya l3otla li bghit.,This is exactly the vacation I wanted.,هادي بدّبط هيا لعوتلا لي بغيت.
"piscine, chamch o tta haja khra.","A swimming pool, sun and nothing else.","پيسسين, شامش أُ التا حاجة خرا."
7ta chi ri7la l mdina?,Not even a trip into town?,حتا شي ريحلا ل مدينا?
"n9dro nmchiw ndiro tasawe9 siya7i,nchofo l atar li f lmdina!","We could do some tourist shopping, or even go sightseeing!","نقدرو نمشيو نديرو تاساوق سيياحي,نشوفو ل أتار لي ف لمدينا!"
"ghaykon bni jdid nchofoh, tamatil, atar, ma3arid ta3 lfan.","There'll be new architecture to see, statues, monuments, art galleries.","غايكون بني جديد نشوفوه, تاماتيل, أتار, ماعاريد تاع لفان."
"ah, walakin zwin mara mara tglss fchi blassa trta7.","Yeah, but it's nice every once in a while to land somewhere and relax.","أه, والاكين زوين مارا مارا تڭلسّ فشي بلاسّا ترتاح."
walakin 7na mrta7in l3am kaml.,But we relax the rest of the year.,والاكين حنا مرتاحين لعام كامل.
kaddowez nhar kaml fdar galss tatchmch f jarda.,You spend all day at home sunning in the garden.,كادّووز نهار كامل فدار ڭالسّ تاتشمش ف جاردا.
ana bssa7 bghit nkhroj chwiya.,I really want to get out a bit.,أنا بسّاح بغيت نخروج شوييا.
had drari sghar ba9i tylo7o 3lia!,And those kids keep splashing me!,هاد دراري سغار باقي تيلوحو عليا!
"t9dr tmchi ila bghiti, wrj3 lia","You can go if you want, and you come back for me","تقدر تمشي إلا بغيتي, ورجع ليا"
kays7ab lihom rchan lma 3liya rah kayda7ek,They think it's really funny to spray water at me.,كايسحاب ليهوم رشان لما علييا راه كايداحك
makan9drch n9ra mnin kaykono Saf7at sardin,I can't read when the pages are wet.,ماكانقدرش نقرا منين كايكونو صافحات ساردين
ach ban lik ila 7atina rwayd dyal namosiya dyalk o ana ndaf3k fga3 nawa7i dyal lmadina,How about we put wheels on your sunbed and I push you around town on it.,أش بان ليك إلا حاتينا روايد ديال ناموسييا ديالك أُ أنا ندافعك فڭاع ناواحي ديال لمادينا
o kifach ghadi nwali nban,And what would I look like?,أُ كيفاش غادي نوالي نبان
jib liya pisin akhor f lmadina,Get me another pool in town.,جيب لييا پيسين أخور ف لمادينا
9a9dr hir tekka f chamch o t8adn,You could just lie back in the sun and relax!,قاقدر هير تكّا ف شامش أُ تهادن
o mazal n9dro ndoro f lmadina majmo3in!,And we'd still get to go around town together!,أُ مازال نقدرو ندورو ف لمادينا ماجموعين!
7na dima kandiro dakchi likatbghi,We always do what you want to do.,حنا ديما كانديرو داكشي ليكاتبغي
"daba t9dr t7at chwiya dyal wa9i chamch, 3afak","Now can you put some sunscreen on, please?","دابا تقدر تحات شوييا ديال واقي شامش, عافاك"
"ana charfa, o ga3 3dami kaydrroni","I'm old, and all my bones ache","أنا شارفا, أُ ڭاع عدامي كايدرّوني"
wach hdarti m3a lfrmlia o m3a tbib?,Did you talk to the nurses and the doctor?,واش هدارتي معا لفرمليا أُ معا تبيب?
momkin n3Ti chi 7aja bach nkhaffaf alam dyalk,Maybe it's possible to offer something to ease your pain?,مومكين نعطي شي حاجا باش نخافّاف ألام ديالك
kanfadal kas kbir dyal chrab chokran lik,I would prefer a large glass of wine thank you.,كانفادال كاس كبير ديال شراب شوكران ليك
"ana mamt2akdach Tbib wach mwaf9 3liha, walakin ta9dr tswlo","I'm not sure the doctor's okay with it, but you can ask him.","أنا مامتأكداش طبيب واش موافق عليها, والاكين تاقدر تسولو"
"Tbib ghaliban ghaygol 'la', dakchi 3lach ghadi nkhrj o nchri 9ar3a dyal lma o nkhzanha","Doctor will probably say 'no', so I'll just go out and buy a bottle of water and hide it","طبيب غاليبان غايڭول 'لا', داكشي علاش غادي نخرج أُ نشري قارعا ديال لما أُ نخزانها"
n9adro ntmat3o bihom m3a kas wla joj dyal atay,We can enjoy them with a cup or two of tea.,نقادرو نتماتعو بيهوم معا كاس ولا جوج ديال أتاي
"ila bghiti tchri 9ar3a dyal chrab o tchrabha btkhbia, chri 9ar3a zwina","If you want to buy a bottle of wine and drink it secretly, buy a nice bottle","إلا بغيتي تشري قارعا ديال شراب أُ تشرابها بتخبيا, شري قارعا زوينا"
jabt lik 7ta CDs dyal jazz likay3jbok,I also got your favorite jazz CDs.,جابت ليك حتا كضس ديال جازّ ليكايعجبوك
ba9i 3ndi lflos mn 3id miladi,I still have money left from my birthday,باقي عندي لفلوس من عيد ميلادي
"ghadi nkono baslin bzaf, o ghadi nkmiw joj gwarowat sghar dyali","We'll be really naughty, and smoke two of my small cigars as well.","غادي نكونو باسلين بزاف, أُ غادي نكميو جوج ڭوارووات سغار ديالي"
walakin kifach n9dro nTfiw ssffara dyal l3afya bdokhan,But how could we not turn off the fire alarm with the smoke,والاكين كيفاش نقدرو نطفيو السفّارا ديال لعافيا بدوخان
o lfrmlyat makanoch far7anin 7it kays7ab lihom kant l3afya flmo2assasa,And the nurses were not happy because they thought there was a fire in the establishment,أُ لفرمليات ماكانوش فارحانين حيت كايسحاب ليهوم كانت لعافيا فلموأسّاسا
ghadi ikhssk ta7tafd b nabid o lgaro ka sirr,You will have to keep the wine and cigars as a secret,غادي إخسّك تاحتافد ب نابيد أُ لڭارو كا سيرّ
"Ah, walakin m3a dokhan dyal garo, maghadich tban makhzona bzaf","Yes, but with the smoke of the cigar, it's not very discret","أه, والاكين معا دوخان ديال ڭارو, ماغاديش تبان ماخزونا بزاف"
ghadi ghir ykhasna nmchiw ljarda b joj gwaro o joj kisan,We will just have to go into the garden with two cigars and two glasses,غادي غير يخاسنا نمشيو لجاردا ب جوج ڭوارو أُ جوج كيسان
ghadi nDbber 3la 7alwa ta8ia,I'll also have the cake,غادي نضبّر علا حالوا تاهيا
3lach matjibch 9ar3a 7tta hia,Why don't you bring a bottle as well,علاش ماتجيبش قارعا حتّا هيا
S7abni bila nta m9sse7 fga3 lblays,I thought you hurt all over?,صحابني بيلا نتا مقسّح فڭاع لبلايس
7ta 7aja mchia llbar maghadi tkhlliha mamsawbach,Nothing that a visit to a night club wouldn't fix,حتا حاجا مشيا اللبار ماغادي تخلّيها مامساوباش
"Bla i8ana, mamt2kkedch bila rak m3rof bzaf bin lbnat","No offense, I'm not sure you're very popular with young women.","بلا إهانا, مامتءكّدش بيلا راك معروف بزاف بين لبنات"
"mnin kayskr bnadm, maghay8tmch b snani","When people get drunk, they won't care about my teeth","منين كايسكر بنادم, ماغايهتمش ب سناني"
l irtibaT dyalk kan fchkel.,Your comment was a bit odd.,ل إرتيباط ديالك كان فشكل.
makanch 8ojoumi walakin kan m39oul,It wasn't offensive but realistic,ماكانش هوجومي والاكين كان معقول
"7ta ana,bsnan dyali istina3iyin ondaderi lkbar, machi zwina bzef...","Me too, with my false teeth and my huge glasses, I'm not very attractive...","حتا أنا,بسنان ديالي إستيناعييين أُندادري لكبار, ماشي زوينا بزف..."
walakin 39l... ala kna sghar ozwnin... 7na daba kbar,But remember... if we were young and beautiful... we are now old,والاكين عقل... ألا كنا سغار أُزونين... حنا دابا كبار
ana ghi 3asabi had lila,I'm just irritable tonight,أنا غي عاسابي هاد ليلا
imkank t7at lmonto fl3la9 tma.,You can put your coat on the hook over there.,إمكانك تحات لمونتو فلعلاق تما.
"ewa, chno li jabak l8na lyouma?","So, what brings you here today?","إوا, شنو لي جاباك لهنا ليوما?"
"doctor, dazou bzef dyal lyali mali kant kan3es","Doctor, it's been several nights since I've been sleeping","دوكتور, دازو بزف ديال ليالي مالي كانت كانعس"
"wakha, momkin n7awlo na3rfoh bjoujna!","Well, we could try to figure it out together!","واخا, مومكين نحاولو ناعرفوه بجوجنا!"
wach kat9sed anak kat3ani bach tn3as ola katn3es bzaf?,do you mean you're struggling to sleep or that you're sleeping too much?,واش كاتقسد أناك كاتعاني باش تنعاس أُلا كاتنعس بزاف?
kan7wel n3ref chno kaydor frassi.,I'm trying to figure out what's on my mind.,كانحول نعرف شنو كايدور فراسّي.
o ila n3st kaykoun 3andi a7lam ghariba.,"And if I get to sleep, I have strange dreams.",أُ إلا نعست كايكون عاندي أحلام غاريبا.
chno kaytra fhad l a7lam dyalk?,What happens in these dreams of yours?,شنو كايترا فهاد ل أحلام ديالك?
wach momkin tfker f2ay irtibat mo7tmal b7ytak alywmiya?,Can you think of any possible link to your day-to-day life?,واش مومكين تفكر فأي إرتيبات موحتمال بحيتاك أليومييا?
momkin howa chi 7aja 9adima.,Maybe it's an older thing.,مومكين هووا شي حاجا قاديما.
wach momkin twSef akhir 7olm dyalk?,Can you perhaps describe your latest dream?,واش مومكين توصف أخير حولم ديالك?
kanta9l bso8ola bin l7jar ol a3chab alb7riya,I move easily between rocks and seaweed,كانتاقل بسوهولا بين لحجار أُل أعشاب ألبحرييا
"l7awd dyal l7out zwin, maymkanch liya nchof chrajam","The aquarium is awesome, I can't see the windows","لحاود ديال لحوت زوين, مايمكانش لييا نشوف شراجام"
kan2aman bjad 7oriyat alb7er saghira tahoa,I believe the grandfather of the little mermaid too,كانأمان بجاد حورييات ألبحر ساغيرا تاهوا
kat9sed anaho 7ta howa kayn tmma,You mean that he's there too?,كاتقسد أناهو حتا هووا كاين تمّا
rah kayTayab lbayd 3la Taba9.,He's cooking eggs on the plate.,راه كايطاياب لبايد علا طاباق.
wach kayn djaj tmak ta8wa?,Are there chickens there too?,واش كاين دجاج تماك تاهوا?
hadchi momkin ikon motir lil2ihtimam.,This could be very interesting.,هادشي مومكين إكون موتير ليلإهتيمام.
ola bayD dyal l7ot - magltich lia achmn no3 kan.,Or fish eggs - you didn't say what kind they were.,أُلا بايض ديال لحوت - ماڭلتيش ليا أشمن نوع كان.
imkn lbiD mn 7ota kbira bzaf.,Maybe the eggs are from huge fish.,إمكن لبيض من حوتا كبيرا بزاف.
machi lkhata2 dyalk 7it 3ndak a7lam fchkel,It's not your fault you have strange dreams,ماشي لخاتاء ديالك حيت عنداك أحلام فشكل
imkn momkin trsem l2a7lam dyalk.,Perhaps you could draw your dreams.,إمكن مومكين ترسم لأحلام ديالك.
i9dar i3awn annak tfham lmacha3ir likayna morahom,It might help to understand the emotions behind them,إقدار إعاون أنّاك تفهام لماشاعير ليكاينا موراهوم
otkherrej chi 3amal fanni zwin mli tkon tma!,and produce a nice piece of artwork while you're at it!,أُتخرّج شي عامال فانّي زوين ملي تكون تما!
ghadi nbrak 3la lboton dyal liTaj tani mra khra.,I'll press the button to floor two again.,غادي نبراك علا لبوتون ديال ليطاج تاني مرا خرا.
"Ah, dir hadchi bzarba, 3ndi ijtima3 mn daba 15 d9i9a","Yeah, make it quick, I have a meeting in 15 minutes.","أه, دير هادشي بزاربا, عندي إجتيماع من دابا 15 دقيقا"
rah warakt 3lih walakin mazal mkant7arko.,I've pressed it but we are still not moving.,راه واراكت عليه والاكين مازال مكانتحاركو.
wach kayn boTon dyal tawari2?,Is there an emergency button?,واش كاين بوطون ديال تاواريء?
Sara7atan makaynch ta7ed lit3awal 3lih fhad l3imara?,There's really no one else we can count on in this building!,صاراحاتان ماكاينش تاحد ليتعاوال عليه فهاد لعيمارا?
ghadi ikhassni n9adam chakwa lkhidma ti9nia!,I'm gonna have to complain to the technical service!,غادي إخاسّني نقادام شاكوا لخيدما تيقنيا!
khasna n3rfo achno ghadi ndiro.,We need to work out what to do.,خاسنا نعرفو أشنو غادي نديرو.
wach 8azz m3ak tilifon dyalk?,Have you got your phone with you?,واش هازّ معاك تيليفون ديالك?
3ndi mokalama m3a lbiro f Rbat f 9ell mn 15 d9i9a.,I have a call with the Rabat office in less than 15 minutes.,عندي موكالاما معا لبيرو ف ربات ف قلّ من 15 دقيقا.
kayn tma lboton l7mar lkbir!,There's the big red button!,كاين تما لبوتون لحمار لكبير!
"kon khllestini ktar, kon wrrekt 3la bzaf dyal lbotonat bach i3awnok",If you paid me more I would press more buttons for help,"كون خلّستيني كتار, كون ورّكت علا بزاف ديال لبوتونات باش إعاونوك"
achban lik nghnni lik oghnia bach trta7?,What if I sing you a song to calm you down?,أشبان ليك نغنّي ليك أُغنيا باش ترتاح?
"wakha, rah wrrkt 3la lboton l7mar lkbir o maw9a3 walo.","Right, I've pressed the big red button and nothing has happened.","واخا, راه ورّكت علا لبوتون لحمار لكبير أُ ماوقاع والو."
"awdi, tilifoni mkhddamch fhad lbwaTa tl7bs!","Well, my phone doesn't work in the damn box!","أودي, تيليفوني مخدّامش فهاد لبواطا تلحبس!"
nta khasak tdbber 3la tilifon 7sen,You need to get a better phone,نتا خاساك تدبّر علا تيليفون حسن
kan kayghni fga3 l aw9at.,He used to sing all the time.,كان كايغني فڭاع ل أوقات.
rah kayt7rak daba o8na liTaj ttani.,It is moving now and here is floor two.,راه كايتحراك دابا أُهنا ليطاج التاني.
"ghadi twsal l ijtima3 dyalk flwa9t, walakin machi m3aya.","You will get to your meeting on time, but not with me.","غادي توسال ل إجتيماع ديالك فلواقت, والاكين ماشي معايا."
"ahlan Sami, kifach rak dayar lyoma?","Hello Sami, how are you today?","أهلان صامي, كيفاش راك دايار ليوما?"
"ahlan Sami, ach kat3awd lyom?","Hello Sami, how are you today?","أهلان صامي, أش كاتعاود ليوم?"
kif wlla ilti8ab lmafasil li3ndk?,How is your arthritis?,كيف ولّا إلتيهاب لمافاسيل ليعندك?
"ljaw mzyan bzaf, kantmna maykonch khayab bzaf!","The weather is so good, I hope it's not too bad!","لجاو مزيان بزاف, كانتمنا مايكونش خاياب بزاف!"
"Ah, ahlan, ana fr7an 7it chftk, modda twila dazt!","Ah, hello, I'm glad to see you, it's been so long!","أه, أهلان, أنا فرحان حيت شفتك, مودّا تويلا دازت!"
"lso2 l7ad, rotoba kadir l9walb m3aya","Unfortunately, the moisture is playing tricks on me","لسوء لحاد, روتوبا كادير لقوالب معايا"
o lti8ab lmafasil li3andi krfsni bzaf,and my arthritis makes me suffer terribly,أُ لتيهاب لمافاسيل ليعاندي كرفسني بزاف
"hadachi zwin, walakin rak 3arf kifach kaykon hadchi fl3mr dyali","That's sweet, but you know what it's like at my age","هاداشي زوين, والاكين راك عارف كيفاش كايكون هادشي فلعمر ديالي"
maghadich t9dr t3raf m3amn tla9it f jjam3 sbt lidaz - Driss!,You'll never guess who I ran into at the mosque last Saturday - Driss!,ماغاديش تقدر تعراف معامن تلاقيت ف الجامع سبت ليداز - ضريسّ!
fkkrni f l7fla li dwwzna l3am lifat,He reminded me of that party we had last year,فكّرني ف لحفلا لي دوّزنا لعام ليفات
ch7al kan zwin tglas bra fdak lwa9t,how lovely it was to sit outside then,شحال كان زوين تڭلاس برا فداك لواقت
"Ah, mab9inach djajat mn b3d","Yes, we're all no chickens anymore","أه, مابقيناش دجاجات من بعد"
"Lalla Imane, kifach dowwez had lwa9t kamlo?","Dear Imane, how has he been all this time?","لالّا إمان, كيفاش دووّز هاد لواقت كاملو?"
wach khda lwa9t flkhar bach itsajal f la salle?,Did he finally take the time to sign up for the Gym?,واش خدا لواقت فلخار باش إتساجال ف لا سالّ?
walakin rak 3arf dakchi liw93 lih m3a mrato l3am li fat,though you know what happened with his wife last year,والاكين راك عارف داكشي ليوقع ليه معا مراتو لعام لي فات
masma3tch 3la lkhota dyal lmatch?!,I haven't heard about the plans for the match?!,ماسماعتش علا لخوتا ديال لماتش?!
kanDn bli kan ghaykon f nadawat dyal drari fach kan ba9i flmidna,I think he should have been in the seminars for kids while he's still in town,كانضن بلي كان غايكون ف ناداوات ديال دراري فاش كان باقي فلميدنا
walakin imkn khssk tchtarak f had l anchiTa?,But maybe you should also sign up for these activities?,والاكين إمكن خسّك تشتاراك ف هاد ل أنشيطا?
"walakin sm7 lia, ghadi ikhssni nkhlik daba","But I'm sorry, I'm going to have to leave you now","والاكين سمح ليا, غادي إخسّني نخليك دابا"
aykhasni nrja3 ldar flwa9t bach ngadd lghda ola ghadi iw9a3 lia nawbat anb9a nskhaf mra khra,I must get home in time to prepare lunch or I'll get those fainting spells again,أيخاسني نرجاع لدار فلواقت باش نڭادّ لغدا أُلا غادي إوقاع ليا ناوبات أنبقا نسخاف مرا خرا
walakin kan zwin anani nchofk!,But it's been lovely to see you!,والاكين كان زوين أناني نشوفك!
mzyaana anani nchofak 7ta ana!,It was good to see you too!,مزيانا أناني نشوفاك حتا أنا!
kantmnna anani n9dar nji onchofak fl9arib l3ajil.,I hope I can come and see you soon.,كانتمنّا أناني نقدار نجي أُنشوفاك فلقاريب لعاجيل.
o kantmnna bach t3afa mn ltihab lmafasil!,And I hope you get a respite from the arthritis!,أُ كانتمنّا باش تعافا من لتيهاب لمافاسيل!
lhaja li kaddir hia sddan nnif o 3DDan dyal lbkhoch,All it does is give me a blocked nose and insect bites,لحاجة لي كادّير هيا سدّان النيف أُ عضّان ديال لبخوش
ila knti katbghi TTabi3a S3ib anaka t8rab man 9rsat dyal bakhoch,If you like nature it's hard to escape insect bites,إلا كنتي كاتبغي الطابيعا صعيب أناكا تهراب مان قرسات ديال باخوش
"walakin 3lach kaytsad nif, 3andak 7asasia mn chi 7aja: ward, chjer...?","But why the clogged nose, you're allergic to something: Flowers, trees...?","والاكين علاش كايتساد نيف, عانداك حاساسيا من شي حاجا: وارد, شجر...?"
kayban lia 3ndi 7asasia dyal kolchi had liyam.,I appear to be allergic to most things these days.,كايبان ليا عندي حاساسيا ديال كولشي هاد لييام.
walakin kayban lia ana tabi3a ba9a tab3ani fga3 lblayas!,But nature just seems to keep following me everywhere!,والاكين كايبان ليا أنا تابيعا باقا تابعاني فڭاع لبلاياس!
imkan 3ndak 7asasia mn cha3ar dyal l7ayawanat 7ta hwa.,"Maybe you're allergic to animal hairs, too.",إمكان عنداك حاساسيا من شاعار ديال لحاياوانات حتا هوا.
walakin hadchi makaygolch lina 7na fin kaynin.,But this doesn't tell us where we are.,والاكين هادشي ماكايڭولش لينا حنا فين كاينين.
wach 3ndak chi fikra 3la fin ghadi?,Do you have any idea where to go?,واش عنداك شي فيكرا علا فين غادي?
ghir wsalna lchi blasa makadirch l7aka ba9i!,Just get us anywhere it doesn't itch anymore!,غير وسالنا لشي بلاسا ماكاديرش لحاكا باقي!
"imkn lina n7awlo nl9aw chi Daya, walakin nt7aTTo ghadi yaklna nnamous o7na 7yyin.","We could try to find a pond, but I bet we'd get eaten alive by mosquitos.","إمكن لينا نحاولو نلقاو شي ضايا, والاكين نتحاطّو غادي ياكلنا الناموس أُحنا حيّين."
"la, mkanDnch bli aykhasna nt7rrko l DDaya.","No, I don't think we should aim at the pond.","لا, مكانضنش بلي أيخاسنا نتحرّكو ل الضايا."
aykhasna nkhrjo mn lghaba bzrba.,We'd have to get out of the forest quickly.,أيخاسنا نخرجو من لغابا بزربا.
ala imkn lina nraj3o l anfos dyalna?,Or maybe we could just get back to ourselves?,ألا إمكن لينا نراجعو ل أنفوس ديالنا?
ola mokabir dyal sawt lli i9dar i3awna?,Or a megaphone that could help us?,أُلا موكابير ديال ساوت اللي إقدار إعاونا?
ola baf lli i9dar i3awna?,Or a megaphone that could help us?,أُلا باف اللي إقدار إعاونا?
"Ah, imkn lia nkhddm Sawt dyali zwiyen.","Yes, I could use my beautiful voice.","أه, إمكن ليا نخدّم صاوت ديالي زويين."
mafkkrtch nakhod l baf dyali.,I didn't think to take my megaphone.,مافكّرتش ناخود ل باف ديالي.
