darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl
زوّل,eliminate,Download,Wash,Download,"To marry

Lemma: marry"
لغا,eliminate,To go,to go,Leave,to go
حوّل,convert,Transform,Convert,Convert,Convert
تقاعد,retire,Retire,retire,Retire,Retire
ضبط,adjust,Adjust,Adjust,Adjust,"To arrest

arrest"
عدّل,adjust,Modify,modify,Modify,Modify
سهّل,ease,Facilitate,Facilitate,Facilitate,Facilitate
كبّ,pour,To eat,to pour,Laugh,"Pour

Lemma: Pour"
صبّ,pour,"Pour traduire le verbe ""صبّ"" en anglais, on utilise le mot ""pour"".",Pour.,"Pour يصبّ، الجذر هو ""pour""","Pour
"
نسج,knit,Weaving,weave,Weave,weave
دعم,back,Support,Support,Support,Support
طراسا,trace,To swim,Swim,Dig,Dig
سجّل,register,Register,Register,Register,register
حسب,calculate,According to,Calculate,Translate: To depend,Calculate
حفّز,stimulate,Motivate,Motivate,Motivate,Motivate
طبع,print,Print,Print,Print,print
إمپريما,print,Impress,To prioritize,Buy,Empower
توتّر,stress,Stress,Tense,Tense,Tense
عيّن,appoint,Appoint,Appoint,Appoint,Appoint
تدخّل,interfere,Intervene,intervene,Intervene,intervene
عتارض,object,Oppose,oppose,Argue,Contradict
قوّا,boost,Strength,strengthen,strengthen,strengthen
يسّر,facilitate,facilitate,facilitate,Facilitate,Facilitate
سهّل,facilitate,Facilitate,Facilitate,Facilitate,Facilitate
حتاج,lack,Need,need,Need,need
حبس,cease,Imprisonment,Imprison,Imprison,Imprison
نفّد,enforce,Run,to exhaust,Run out,"Deplete

Deplete"
تأقلم,adapt,Adapt,Adapt,Adapt,Adapt
عڭد,tie,Laugh,agree,Laugh,argue
قتابس,quote,Quote,Quote,quote,subscribe
سيطر,dominate,Control,control,Control,dominate
فرڭع,pop,Jump,Jump,Jump,Jump
عجب,please,Like,like,Like,like
صمّم,design,Design,Design,Design,Design
تدخّل,intervene,Intervene,intervene,Intervene,"Intervene

Intervene"
طلّع,yield,Go up,To go out,Go up,"Step 1 - Translate the verb ""طلّع"" from Moroccan Darija to English: ""to go out""

Step 2 - Lemma: go"
ستاقل,resign,Drive,miss,Miss,miss
تهجّا,spell,Laugh,sing,Speak,pronounce
حرّك,stir,Move,Move,Move,Move
خصّص,spare,Allocate,dedicate,Allocate,dedicate
قدّر,estimate,Appreciate,estimate,Appreciate,"Estimate

Estimate"
ضرب,kick,Hit,hit,Hit,hit
ركل,kick,Kick,kick,Kick,Kick
عدّد,list,Count,Count,Count,enumerate
لبس,dress,Wearing,wear,Wear,wear
علن,declare,Announce,announce,Declare,announce
ديكلارا,declare,Declare,Declare,Declare,declare
أكّد,assure,Confirm,confirm,Confirm,Confirm
ستامدّ,derive,Chilling,Understand,Support,Support
دخل,access,Enter,enter,Enter,enter
أجّل,delay,Delay,Delay,Delay,Postpone
وضّح,clarify,Explain,clarify,Explain,Clarify
نقل,copy,Move,move,Transfer,transfer
نسخ,copy,Copy,copy,Copy,Copy
فضّل,favor,Prefer,prefer,Prefer,prefer
مدّ,hand,Stretch,Extend,Extend,Stretch
قبط,capture,Steal,Steal,Steal,"Steal

Lemma: Steal"
عزّز,reinforce,Strengthen,strengthen,Strengthen,strengthen
حوّل,transform,Transform,Convert,Convert,Convert
فهم,perceive,Understand,understand,Understand,Understand
خدم,function,Work,Work,Work,Work
غادر,quit,Leave,leave,Leave,leave
رافق,accompany,Accompany,Accompany,Accompany,Accompany
موّل,fund,Fund,Fund,Fund,Finance
جمع,pack,Gather,to collect,Collect,gather
صحّح,correct,Correct,Correct,Correct,Correct
أبحر,sail,Sail,Sail,Sail,Sail
عوّض,compensate,Substitute,Replace,Replace,Replace
سرق,steal,Steal,steal,Steal,Steal
شفر,steal,See,See,See,Unlock
قوّض,undermine,Undermine,Undermine,Undermine,Undermine
متدّ,range,Laugh,To stretch,Wait,resist
عارض,oppose,Oppose,oppose,Oppose,Oppose
حدّد,locate,Choose,determine,Identify,Identify
زرب,hurry,Slap,Hit,Kick,"Slap

Lemma: Slap"
نشر,broadcast,publish,publish,Publish,publish
قاضا,sue,Judge,judge,Judge,judge
ميزا,bid,Dance,Differentiate,Differentiate,distinguish
ضوّا,light,Shine,Light,Light,Illuminate
تباطأ,slow,Slow down,slow,Slow down,"Step 1: Slow down
Step 2: Slow"
همّ,concern,Laugh,To do,Laugh,"To whisper

Whisper"
رفض,dismiss,Refuse,refuse,Refuse,Refuse
صلح,repair,Fix,repair,Fix,repair
طابق,conform,Cook,To floor,"Climb

Climb",to match
ربط,attach,Connect,tie,Connect,connect
زرّب,rush,Dance,To visit,Close,To visit
غرق,sink,Drown,drown,Drown,"Drown

Drown"
نتازع,grab,Argue,argue,Argue,argue
كالما,calm,Speak,speak,Speak,speak
حتجّ,protest,Laugh,Need,Need,need
وازن,balance,Balance,balance,Balance,Balance
طلب,beg,Ask,ask,Request,Request
تبّت,install,Establish,Establish,Fix,Establish
طوّر,advance,Develop,Develop,Develop,Develop
طرد,fire,Kick,expel,Dismiss,"Expel

Lemma: Expel"
عاون,aid,Help,Help,Help,Help
تدفّق,flow,Flow,flow,Flow,Flow
جرّ,drag,Walk,drag,Run,Pull
تطابق,correspond,Match,match,Match,Match
شكّل,pose,Shape,form,Form,Form
تعجب,admire,Impress,wonder,Like,wonder
خفّف,relieve,Lighten,Lighten,Lighten,Lighten
دابز,combat,Dance,Jump,Jump,Jump
ندامج,integrate,Mix,Merge,Regret,"Integrate

Integrate"
ماتّافقش,disagree,Disagree,disagree,Disagree,Disagree
اتصل,connect,Call,call,Call,Call
حيّن,update,Laughing,Remember,Laugh,Guide
غيّر,modify,Change,Change,Change,Change
ختار,opt,Choose,Choose,Choose,Choose
أمر,command,Order,order,Order,command
متاتل,obey,Laughing,Die,Laugh,Avoid
ستخرج,extract,Go out,to go out,Leave,Go out
عارض,counter,Show,oppose,Oppose,oppose
ستأنف,resume,Resume,resume,Resume,resume
شدّ,grasp,Pull,pull,Pull,Tighten
ستوعب,grasp,Understand,Understand,Understand,Understand
تزعلل,swing,Get angry,Get angry,Get angry,Get angry
سلّم,render,Submit,deliver,Deliver,hand over
زرب,speed,Slap,Hit,Hit,Slap
واجه,confront,Face,Face,Face,face
منع,ban,Prohibit,prevent,Prohibit,"Prevent

Prevent"
مسح,wipe,Wipe,wipe,Clean,Wipe
ضوبل,double,Laugh,Hit,Hit,Hit
شتامل,comprise,Insult,Understand,Think,Insult
شهد,witness,Witness,to witness,Witness,Witness
غرس,plant,Plant,plant,Plant,plant
جزم,assert,Dance,decide,Dance,decide
كشف,disclose,Reveal,reveal,reveal,"Reveal

Lemma: Reveal"
عصر,squeeze,squeeze,squeeze,Cook,squeeze
بجغ,squeeze,Laugh,Bark,Laugh,Argue
ربط,bind,Connect,tie,Connect,Connect
ضرّ,harm,Harm,Harm,Harm,Harm
أدا,harm,Sing,pay,Go,perform
تلاقا,encounter,Meet,meet,Meet,meet
طلب,request,Ask,ask,Request,Request
عانا,struggle,Suffer,suffer,Suffer,Suffered
خدّم,hire,Work,Work,Work,Work
خبّا,conceal,Hide,Hide,Hide,hide
خدّم,recruit,Work,Work,Work,Work
سرح,wander,Daydream,Travel,Dream,Daydream
شدّد,emphasize,Strengthen,strengthen,Emphasize,emphasize
عبر,weigh,Pass,Express,Pass,express
وزن,weigh,Weigh,to weigh,Weigh,Weigh
تزامن,coincide,coincide,coincide,"Synchronize

زامن",coincide
حنا,bend,We.,Go,We,"Step 1 - We will translate ""حنا"" from Moroccan Darija to English, which is ""we are"".
Step 2 - ""are"""
تنا,bend,Laugh,sing,Eat,sing
نضّم,regulate,organize,organize,Organize,"Organize

Lemma: Organize"
نقد,rescue,Critique,criticize,Critique,criticize
رفّه,entertain,Relax,Relax,Relax,"Relax

Lemma: Relax"
توقّع,forecast,Expect,expect,Expect,Expect
فحص,inspect,Check,examine,Check,Examine
صدّر,export,Export,Export,Export,Export
لحّ,urge,Laugh,Rub,Laugh,Boil
ستنتج,induce,Produce,produce,Produce,produce
سدّ,lock,Block,block,Block,block
عرض,exhibit,Present,present,Present,Present
سخّن,warm,Heat,speak,Heat,Speak
دفّا,warm,Warm,Warm,Warm,Warm
عتارف,confess,Confess,admit,Confess,acknowledge
سمح,forgive,Allow,Allow,Allow,Allow
طمّر,tolerate,Bury,bury,"Bury

Root verb: Bury",Bury
تسلّق,mount,Climbing,climb,Climb,Climb
مسح,brush,Wipe,wipe,Wipe,Wipe
نتج,reproduce,produce,produce,produce,Produce
خضع,undergo,Submit,submit,Submit,submit
بهر,impress,Surprise,sell,Impress,to sell
نخافض,decline,Lower,Lower,Reduce,Lower
فرك,rub,Rub,Rub,Rub,Rub
وكّل,cater,Delegate,entrust,Delegate,delegate
دار,tour,House,to do,Live,"Step 1 - Translate ""دار"" to English: ""to do""
Step 2 - Lemma: ""do"""
وزّع,distribute,Distribute,distribute,"Distribute

Distribute","Distribute

Lemma: Distribute"
حسّ,sense,Feel,Feel,Feel,Feel
خلّص,repay,Finish,Finish,Finish,Finish
رجّع,regain,Return,return,Return,Return
ستعاد,regain,To repeat,repeat,Restore,replay
قلّل,minimize,Reduce,reduce,Reduce,Reduce
وقّف,halt,Stop,stop,Stop,stop
شكّل,shape,Shape,form,Form,Form
زعج,disturb,Annoy,annoy,Annoy,"Annoyed

Lemma: Annoy"
عضّ,bite,Bite,Bite,Bite,"Bite

Lemma: Bite"
تقدّم,progress,present,to offer,Present,advance
كرّس,devote,Devote,Consecrate,Devote,dedicate
ستافزّ,provoke,Chilling,to increase,Win,increase
طمأن,reassure,Assure,Assure,Assure,Assure
تأمّل,contemplate,Contemplate,Contemplate,Reflect,Reflect
حدّر,alert,Laugh,Warn,Predict,Warn
تفاعل,interact,React,Interact,React,Interact
سخّن,heat,Heat,speak,Heat,Heat
بتاكر,devise,Eat,Eat,Eat,remember
حكم,govern,Judge,rule,Rule,rule
عانق,embrace,Hug,Hug,Hug,Hug
عزّا,comfort,Cry,Honor,Laugh,console
حجز,seize,Book,Book,Book,book
دوّب,melt,Dance,Melt,Translate: To clean,Write
زاد,supplement,Increase,increase,Increase,increase
تكّا,lean,Laugh,Stand,Go,Wait
طبّق,exert,Apply,Apply,Apply,Apply
حتارس,beware,Guard,Watch,Guard,"Watch out

Step 2: Watch"
تشابه,resemble,Resemblance,resemble,Resemble,resemble
منع,abolish,Prohibit,prevent,Prohibit,prevent
هرّس,crack,Mash,Grind,"Grind

Grind","Grind

Lemma: Grind"
قمع,suppress,Suppress,suppress,Suppress,suppress
ڭابل,guard,Accept,Accept,Accept,Accept
فاجأ,surprise,Surprise,Surprise,Surprise,Surprise
تردّد,hesitate,Hesitate,hesitate,Hesitate,hesitate
شحن,load,Recharge,Charge,"Recharge

Root verb: Charge",Charge
سرط,swallow,Laugh,Run,Laugh,"To steal

Steal"
بدا,initiate,Start,start,Start,start
أتّر,effect,Laugh,Wait,Wait,Wait
تحكّم,manipulate,Control,control,Control,Control
ردع,deter,Deter,Deter,Deter,Deter
رتابط,associate,Link,Communicate,Connect,Communicate
أدار,administer,Spin,to manage,Translate: To turn,Turned
قتل,murder,Kill,kill,Kill,Kill
تابر,persist,To dance,Endure,Run,Endure
حيّا,greet,Live,live,Live,Welcome
دمّع,tear,Tear,tear,Cry,To tear
طارد,hunt,Chase,Chase,Chase,Chase
فسد,spoil,Corrupt,corrupt,Corrupt,corrupt
سطّر,line,Write,Write,Write,Write
بارك,bless,Celebrate,to bless,Congratulate,congratulate
ختارق,penetrate,Choose,Escape,Choose,Choose
ضاعف,multiply,Double,double,Double,Double
دمج,merge,Merge,Merge,Merge,Merge
درّب,coach,Train,Train,Train,Train
جفّ,drain,Dry,Dry,Dry,Dry
ستنزف,drain,bleed,bleed,Bleed,Bleed
كفا,suffice,Stop,Stop,Stop,Stop
فتارض,presume,Accept,Agree,Accept,Accept
صيّد,fish,Fish,hunt,Catch,Catch
تقدّا,shop,Predict,predict,Predict,"Anticipate

Anticipate"
تسابق,race,Race,race,Race,Race
شرّف,honor,Honor,honor,Honor,honor
جمّد,freeze,Freeze,Freeze,Freeze,Freeze
داوا,cure,Try,Try,Try,Treat
عالج,cure,Treat,Treat,"Treat

Treat",Treat
تبادل,swap,Exchange,exchange,Exchange,exchange
تحمّل,endure,Bear,bear,Bear,Bear
طارد,chase,Chase,Chase,Chase,Chase
ستهلك,consume,Eat,consume,Eat,consume
خشا,insert,Enter,fear,Enter,Enter
تسنّا,await,Wait,wait,Wait,Wait
نجارف,drift,Laughing,Succeed,Laugh,carve
بدّل,substitute,Change,change,Change,change
ستسلم,surrender,Deliver,Submit,Deliver,Deliver
زيّر,wind,Visit,Visit,Visit,Visit
قلّص,contract,Shrink,Reduce,Reduce,Reduce
ميّز,differentiate,Differentiate,distinguish,Differentiate,distinguish
علن,advertise,Announce,announce,Declare,Declare
صالح,reconcile,To pray,repair,Sell,To fix
تصوّر,project,Imagine,Imagine,Imagine,Imagine
نسّق,co-ordinate,Coordinate,Organize,Organize,Organize
فرڭع,snap,Jump,Jump,Jump,Jump
لعن,damn,Curse,curse,Curse,Curse
طيّب,bake,To be good,To make,Translate: To clean,To make it good or to be good.
طوا,fold,Cooking,Fly,Cook,Fold
تنازل,concede,Resign,resign,Resign,resign
جدّد,renew,Renew,Renew,Renew,Renew
صاغ,formulate,Craft,to forge,Crafted,Craft
خلّط,confuse,Mix,Mix,Mix,Mix
حدّ,maximize,Laugh,speak,Limit,limit
مسح,sweep,Wipe,wipe,Wipe,wipe
وجّه,steer,Direct,direct,Direct,Direct
تساهل,indulge,Ease,tolerate,Ease,Indulge
خفّض,decrease,Lower,Lower,Reduce,Lower
حجز,reserve,Book,book,Book,Book
رزرڤا,reserve,Reserve,Reserve,Reserve,reserve
ستقبل,host,Accept,receive,Accept,Receive
تطوّر,evolve,Evolve,develop,Evolve,evolve
رعا,foster,Take care,Take care,Take care of,Take care
عڭّز,discourage,Laugh,teach,Lock,encourage
طوّق,curb,Choke,To leash,"Collar

طوّق - Collar",restrain
خصّص,dedicate,Dedicate,dedicate,Allocate,dedicate
شرف,supervise,Honor,honor,Translate: Honor,Honor
تلاشا,fade,Disappear,Search,Disappear,Search
دعم,endorse,Support,Support,Support,Support
أدان,condemn,Condemn,condemn,Condemn,"Condemn

Lemma: Condemn"
حجز,book,Book,book,Book,Book
صلح,reform,Fix,repair,Fix,repair
عاقب,punish,Punish,Punish,"Punish

عاقب - Punish",Punish
فرڭع,bang,Jump,Jump,Jump,Jump
ستعرض,outline,Present,present,Present,Present
قلّل,diminish,Reduce,reduce,Reduce,Reduce
ساد,prevail,Rule,Lead,Help,Lead
نقّز,leap,Jump,Jump,Jump,Jump
لوا,wrap,Eat,See,Translate: To find,"translate: to say
lemma: say"
تفاهم,compromise,Understand,understand,Understand,Understand
راب,collapse,rap,Wrap,Rap,"Rap

Lemma: Rap"
حما,safeguard,Protect,Protect,Protect,Protect
منع,inhibit,Prohibit,prevent,Prohibit,prevent
غوّت,scream,Dance,Sleep,Go,Dig
تواعد,date,Date,date,Date,date
مسح,delete,Wipe,wipe,Clean,Wipe
حقق,attain,Achieve,Achieve,Achieve,Achieve
كره,dislike,Hate,hate,"Hate

Root: Hate",Hate
تصوّر,conceive,Imagine,Imagine,Imagine,Imagine
ملا,dictate,Eat,Fill,Eat,Fill
وحّد,unite,Unify,Unify,Unify,Unify
ستورد,import,Import,import,Import,import
بنا,rebuild,Build,build,Build,Build
زداهر,flourish,Laugh,to appear,Laugh,Expose
نتاقد,criticize,Critique,criticize,Critique,criticize
غلا,boil,Love,Love,Love,love
غلا,inflate,Love,Love,Love,love
هرب,flee,Escape,escape,Escape,Escape
بدا,commence,Start,start,Start,start
مدح,praise,Praise,praise,"Praise

Root: Praise",praise
بلاصا,park,Dance,to replace,Sit,place
ميّز,discriminate,Distinguish,distinguish,Differentiate,distinguish
تبع,track,Follow,Follow,Follow,Follow
طوّق,enclose,To walk.,To leash,"Collar

طوّق -> Collar",restrain
قابل,interview,Meet,meet,Meet,meet
شدّد,tighten,Strengthen,strengthen,Emphasize,Emphasize
لوّن,color,Color,Color,Color,Colorize
غامر,venture,Risk,risk,Risk,"To venture, to dare."
خمّن,speculate,Guess,Guess,"Guess

Next step: خمّن - Guess",Guess
قدّر,speculate,Appreciate,estimate,Appreciate,Appreciate
غادر,depart,Leave,leave,Leave,leave
قاطع,interrupt,Interrupt,Interrupt,Interrupt,Cut
موّه,disguise,Laugh,Deceive,Laugh,"Deceive

Lemma: Deceive"
نتاخب,elect,Laugh,Choose,Laugh,elect
تحمّل,withstand,Bear,bear,Bear,Bear
كبح,restrain,Control,restrain,Control,restrain
نما,thrive,Sleep,sleep,Grow,Grow
عاود,echo,Repeat,Repeat,Repeat,Repeat
نحارف,divert,Drive,speak,Search,deviate
قلا,fry,Say,say,Say,cook
داب,dissolve,Walk,To crawl,Run,crawl
عدّل,edit,Modify,modify,Modify,modify
جمّع,assemble,Gather,collect,Collect,gather
خرّب,ruin,Destroy,Destroy,Destroy,destroy
سرّع,accelerate,Speed,speed,Speed up,Hurry
تصور,envisage,Imagine,Imagine,Imagine,Imagine
هنّأ,congratulate,Congratulate,congratulate,Congratulate,congratulate
ستردّ,retrieve,Reply,answer,Reply,reply
هبط,descend,Descend,descend,Descend,descend
وڭّف,suspend,Laugh,Understand,Laugh,convince
جرّب,experiment,Try,Try,Try,Try
خلع,frighten,Take off,take off,Take off,Take off
قولب,fool,Say,Say,Change,Turn
ألهم,inspire,Inspire,Inspire,Inspire,Inspire
شافا,heal,See,See,See,See
ضبط,master,Adjust,Adjust,Adjust,To adjust
كمّل,terminate,كمّل - Complete,Complete,"Complete

**Note: The verb ""كمّل"" in Moroccan Arabic means ""to complete"" in English.**",Complete
عدّل,amend,Edit,modify,Modify,modify
خدش,scratch,Scratch,Take,Take,Take
ستلزم,entail,Require,require,Require,Require
نفّد,execute,Run,To exhaust,Run out,Deplete
عدم,execute,Avoid,to refuse,Avoid,To count
وطّد,consolidate,Strengthen,Strengthen,Strengthen,strengthen
دوّر,round,Search,Search,Search,Search
عزل,isolate,Isolate,Isolate,Isolate,"Isolate

Lemma: Isolate"
برّر,warrant,Justify,Justify,Justify,"Justify

justify"
ضعّف,weaken,Double,weaken,Weaken,Weaken
تمشّا,march,Walk,walk,Walk,Walk
بغا,desire,Want,want,Want,want
وسّع,widen,Expand,Expand,Expand,Expand
دردش,chat,Chat,chat,Chat,chatting
ركب,board,Install,Install,Install,Install
ختارع,invent,Choose,Choose,Choose,Choose
صنع,manufacture,Make,make,Make,Make
سدّ,seal,Block,block,Block,Block
راجع,reconsider,Review,review,Review,Review
مصّ,suck,Suck,Suck,Drink,Suck
صوّر,picture,Take a picture,To film,Take a picture,Photograph
صطادم,crash,Clash,Collide,"Crash

Crash","Collide

Collide"
فرشخ,crash,Laugh,To spread,Sleep,Spread
نقل,transport,Move,move,Transfer,Transfer
بلوكا,plug,Block,Block,Block,block
عيّن,assign,Appoint,Appoint,Appoint,Appoint
ستفسر,inquire,Ask,inquire,Ask,Inquire
صيّد,trap,Fish,hunt,Catch,Hunt
دوّر,surround,Search,Search,Search,Search
تناقش,debate,Discuss,discuss,Discuss,discuss
طوّر,upgrade,Develop,Develop,Develop,Develop
زيّن,decorate,Decorate,decorate,Decorate,Adorn
جمع,accumulate,Gather,to collect,Collect,gather
ستاغلّ,profit,Enjoy,Work,Enjoy,To work
ورت,inherit,Dance,bring,Run,plant
خربق,disrupt,Flirt,to jump,Break,Chew
خنق,choke,Strangle,strangle,"Strangle

---

خنق -> Strangle",Choke
دافع,plead,Pay,pay,Pay,repel
غمّس,dip,Dip,Dip,Dip,Dip
شتارك,subscribe,Participate,Participate,Participate,"Participate

Participate"
علّم,educate,Teach,teach,Teach,Teach
طلّق,divorce,Divorce,Divorce,Divorce,Divorce
غزل,spin,Flirt,Flirt,"Flirt

Flirt",flirt
شوّش,obscure,Whisper,whisper,Whisper,Confuse
تسلّل,creep,Sneak,sneak,Sneak,Sneak
حرّف,twist,Distort,distort,Distort,"Distort

Distort"
مزج,blend,Mix,mix,Mix,Mix
راجع,revise,Review,review,Review,Review
نسب,attribute,Forget,forget,Forget,attribute
نفاجر,explode,Argue,Deny,Rebel,Rebel
سكن,dwell,Live,live,Live,live
خفّف,alleviate,Lighten,Lighten,Lighten,Lighten
عالج,remedy,Treat,Treat,"Treat

Treat",Treat
رشد,instruct,Guide,Grow,Guide,Grow
تسرّب,spill,Leak,leak,leak,leak
فهم,comprehend,Understand,understand,Understand,Understand
رطّب,soften,Moisturize,Moisten,Moisten,Moisten
شيّر,wave,Laugh,To sell,Change,Translate: Buy
سطوكا,stock,Steal,Steal,Steal,Robbery
وضع,position,Put,put,Put,put
أمّن,insure,Secure,Believe,Secure,Protect
نخارط,adhere,Laugh,Dig,Draw,Dig
تشبّت,cling,Hold on,insist,Hold on,cling
ستدعا,summon,Call,to call,Call,invite
وڭف,pause,Listen,Stand,Listen,stop
وقف,pause,Stop,stop,Stop,stand
خوا,empty,Want,Want,Go,want
رتّب,classify,Arrange,arrange,Arrange,arrange
تحمّل,afford,Endure,bear,Bear,"Endure

Endure"
تسمع,sound,Listen,hear,Listen,hear
نقّط,grade,Point,to dot,Drop,dot
رجع,revert,Come,return,Return,Return
قيّم,value,Evaluate,evaluate,Evaluate,Evaluate
جازا,award,Jaza,reward,Reward,Reward
كافح,strive,Struggle,Fight,"Struggle

Root: Struggl","Struggle

Lemma: Struggle"
بلّغ,notify,Inform,reach,Inform,inform
طفا,turn off,Turn off,turn off,Turn off,Turn off
ريّح,sit down,Relax,Smell,Relax,To smell
غش,cheat,Cheating,Cheat,cheat,cheat
قشّر,peel,Peel,Peel,Peel,Peel
