darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl
ضرّ,harm,harm,harm,harm,harm
أدا,harm,give,give,give,give
تلاقا,encounter,meet,meet,meet,meet
طلب,request,ask,ask,ask,ask
عانا,struggle,suffer,suffer,suffer,suffer
خدّم,hire,work,work,work,work
خبّا,conceal,hide,hide,hide,hide
خدّم,recruit,work,work,work,work
سرح,wander,daydream,daydream,daydream,daydream
شدّد,emphasize,emphasize,strengthen,emphasize,strengthen
عبر,weigh,cross,cross,cross,cross
وزن,weigh,weigh,weigh,weigh,weigh
تزامن,coincide,coincide,synchronize,coincide,synchronize
حنا,bend,go,go,go,go
تنا,bend,eat,sleep,go,sleep
نضّم,regulate,organize,organize,organize,organize
نقد,rescue,criticize,criticize,criticize,criticize
رفّه,entertain,relax,relax,relax,relax
توقّع,forecast,expect,expect,expect,expect
فحص,inspect,examine,examine,examine,check
صدّر,export,export,export,export,export
لحّ,urge,eat,taste,taste,massage
ستنتج,induce,produce,deduce,produce,produce
سدّ,lock,block,block,block,block
عرض,exhibit,present,present,present,present
سخّن,warm,heat,heat,heat,heat
دفّا,warm,warm,warm,warm,warm
عتارف,confess,confess,confess,confess,confess
سمح,forgive,forgive,permit,forgive,allow
طمّر,tolerate,bury,bury,bury,bury
تسلّق,mount,climb,climb,climb,climb
مسح,brush,wipe,wipe,wipe,wipe
نتج,reproduce,produce,produce,produce,produce
خضع,undergo,submit,submit,submit,submit
بهر,impress,surprise,sell,surprise,sell
نخافض,decline,lower,lower,lower,lower
فرك,rub,rub,rub,rub,rub
وكّل,cater,eat,eat,eat,eat
دار,tour,do,do,do,do
وزّع,distribute,distribute,distribute,distribute,distribute
حسّ,sense,feel,feel,feel,feel
خلّص,repay,finish,finish,finish,finish
رجّع,regain,return,return,return,return
ستعاد,regain,return,remember,repeat,repeat
قلّل,minimize,reduce,reduce,reduce,reduce
وقّف,halt,stop,stop,stop,stop
شكّل,shape,form,shape,form,shape
زعج,disturb,bother,annoy,bother,annoy
عضّ,bite,bite,bite,bite,bite
تقدّم,progress,offer,offer,offer,offer
كرّس,devote,consecrate,write,devote,write
ستافزّ,provoke,chill,win,chill,win
طمأن,reassure,assure,assure,assure,assure
تأمّل,contemplate,contemplate,contemplate,contemplate,contemplate
حدّر,alert,pour,prepare,prepare,warn
تفاعل,interact,interact,interact,react,interact
سخّن,heat,heat,heat,heat,heat
بتاكر,devise,take,remember,take,remember
حكم,govern,judge,judge,judge,judge
عانق,embrace,hug,hug,hug,hug
عزّا,comfort,boast,comfort,boast,console
حجز,seize,book,book,book,book
دوّب,melt,clean,melt,sleep,mix
زاد,supplement,increase,increase,increase,increase
تكّا,lean,eat,sit,eat,sit
طبّق,exert,cook,apply,cook,apply
حتارس,beware,watch,watch,watch,watch
تشابه,resemble,resemble,resemble,resemble,resemble
منع,abolish,prevent,prevent,prevent,prevent
هرّس,crack,mash,plow,mash,grind
قمع,suppress,suppress,repress,suppress,repress
ڭابل,guard,eat,accept,accept,accept
فاجأ,surprise,surprise,surprise,surprise,surprise
تردّد,hesitate,hesitate,hesitate,hesitate,hesitate
شحن,load,charge,charge,charge,charge
سرط,swallow,drive,laugh,eat,steal
بدا,initiate,start,start,start,start
أتّر,effect,wait,wait,wait,wait
تحكّم,manipulate,control,control,control,control
ردع,deter,scare,warn,scare,scare
رتابط,associate,connect,communicate,connect,communicate
أدار,administer,drive,turn,drive,turn
قتل,murder,kill,kill,kill,kill
تابر,persist,dance,cook,dance,cook
حيّا,greet,welcome,welcome,welcome,welcome
دمّع,tear,tear,tear,tear,tear
طارد,hunt,chase,chase,chase,chase
فسد,spoil,corrupt,corrupt,corrupt,corrupt
سطّر,line,write,write,write,write
بارك,bless,congratulate,park,congratulate,congratulate
ختارق,penetrate,dive,swim,drown,swim
ضاعف,multiply,double,double,double,double
دمج,merge,merge,merge,merge,merge
درّب,coach,train,train,train,train
جفّ,drain,dry,dry,dry,dry
ستنزف,drain,bleed,bleed,bleed,bleed
كفا,suffice,stop,stop,stop,stop
فتارض,presume,agree,agree,agree,agree
صيّد,fish,fish,hunt,fish,hunt
تقدّا,shop,predict,estimate,understand,estimate
تسابق,race,race,race,race,race
شرّف,honor,honor,honor,honor,honor
جمّد,freeze,freeze,freeze,freeze,freeze
داوا,cure,heal,treat,heal,treat
عالج,cure,treat,treat,treat,treat
تبادل,swap,exchange,exchange,exchange,exchange
تحمّل,endure,endure,tolerate,bear,bear
طارد,chase,chase,chase,chase,chase
ستهلك,consume,consume,consume,consume,consume
خشا,insert,walk,fear,fear,fear
تسنّا,await,wait,wait,wait,wait
نجارف,drift,fix,sweep,fix,sweep
بدّل,substitute,change,change,change,change
ستسلم,surrender,thank,surrender,Thank you,surrender
زيّر,wind,visit,visit,visit,visit
قلّص,contract,shrink,reduce,reduce,reduce
ميّز,differentiate,differentiate,distinguish,differentiate,distinguish
علن,advertise,announce,announce,announce,announce
صالح,reconcile,repair,repair,repair,repair
تصوّر,project,imagine,imagine,imagine,imagine
نسّق,co-ordinate,organize,organize,organize,organize
فرڭع,snap,vomit,eat,vomit,choke
لعن,damn,curse,curse,curse,curse
طيّب,bake,be good,agree,be good,cook
طوا,fold,cook,iron,cook,iron
تنازل,concede,resign,resign,resign,resign
جدّد,renew,renew,renew,renew,renew
صاغ,formulate,write,write,write,write
خلّط,confuse,mix,mix,mix,mix
حدّ,maximize,eat,limit,eat,limit
مسح,sweep,wipe,wipe,wipe,wipe
وجّه,steer,direct,direct,direct,direct
تساهل,indulge,relax,tolerate,relax,tolerate
خفّض,decrease,lower,lower,lower,lower
حجز,reserve,book,book,book,book
رزرڤا,reserve,reserve,reserve,reserve,reserve
ستقبل,host,accept,receive,accept,receive
تطوّر,evolve,evolve,evolve,evolve,evolve
رعا,foster,eat,take care,care,take care
عڭّز,discourage,need,help,need,invite
طوّق,curb,eat,leash,eat,choke
خصّص,dedicate,reserve,dedicate,dedicate,dedicate
شرف,supervise,honor,honor,honor,honor
تلاشا,fade,disappear,search,disappear,search
دعم,endorse,support,support,support,support
أدان,condemn,judge,condemn,judge,condemn
حجز,book,book,book,book,book
صلح,reform,fix,repair,repair,repair
عاقب,punish,Punish,punish,Punish,punish
فرڭع,bang,vomit,eat,vomit,choke
ستعرض,outline,present,present,present,present
قلّل,diminish,reduce,reduce,reduce,reduce
ساد,prevail,sleep,help,sleep,help
نقّز,leap,jump,jump,jump,jump
لوا,wrap,eat,eat,eat,eat
تفاهم,compromise,understand,understand,understand,understand
راب,collapse,rap,rap,rap,rap
حما,safeguard,protect,protect,protect,protect
منع,inhibit,prevent,prevent,prevent,prevent
غوّت,scream,sleep,swim,sleep,dive
تواعد,date,date,date,date,date
مسح,delete,wipe,wipe,wipe,wipe
حقق,attain,achieve,achieve,achieve,achieve
كره,dislike,hate,hate,hate,hate
تصوّر,conceive,imagine,imagine,imagine,imagine
ملا,dictate,eat,fill,eat,fill
وحّد,unite,unify,unify,unify,unify
ستورد,import,import,import,import,import
بنا,rebuild,build,build,build,build
زداهر,flourish,show,decorate,exaggerate,decorate
نتاقد,criticize,criticize,criticize,criticize,criticize
غلا,boil,boil,love,love,boil
غلا,inflate,love,love,love,boil
هرب,flee,escape,flee,escape,flee
بدا,commence,start,start,start,start
مدح,praise,praise,praise,praise,praise
بلاصا,park,eat,sit,eat,sit
ميّز,discriminate,differentiate,distinguish,differentiate,distinguish
تبع,track,follow,follow,follow,follow
طوّق,enclose,eat,leash,eat,choke
قابل,interview,meet,meet,meet,meet
شدّد,tighten,tighten,strengthen,emphasize,strengthen
لوّن,color,color,color,color,color
غامر,venture,dare,dare,dare,dare
خمّن,speculate,guess,guess,guess,guess
قدّر,speculate,appreciate,appreciate,appreciate,estimate
غادر,depart,leave,leave,leave,leave
قاطع,interrupt,interrupt,stop,interrupt,stop
موّه,disguise,sleep,lie,sleep,persuade
نتاخب,elect,chill,elect,chill,elect
تحمّل,withstand,bear,bear,bear,bear
كبح,restrain,restrain,restrain,restrain,restrain
نما,thrive,sleep,sleep,sleep,sleep
عاود,echo,repeat,repeat,repeat,repeat
نحارف,divert,argue,speak,search,speak
قلا,fry,cook,say,cook,say
داب,dissolve,walk,melt,walk,crawl
عدّل,edit,fix,modify,modify,modify
جمّع,assemble,gather,collect,gather,collect
خرّب,ruin,destroy,destroy,destroy,destroy
سرّع,accelerate,hurry,speed,hurry,hurry
تصور,envisage,imagine,imagine,imagine,imagine
هنّأ,congratulate,congratulate,congratulate,congratulate,congratulate
ستردّ,retrieve,reply,answer,reply,answer
هبط,descend,land,land,land,land
وڭّف,suspend,eat,understand,eat,understand
جرّب,experiment,try,try,try,try
خلع,frighten,take off,take off,take off,take off
قولب,fool,mold,tell,mold,mold
ألهم,inspire,inspire,inspire,inspire,inspire
شافا,heal,see,heal,see,heal
ضبط,master,fix,adjust,fix,adjust
كمّل,terminate,continue,complete,continue,complete
عدّل,amend,fix,modify,modify,modify
خدش,scratch,scratch,scratch,scratch,scratch
ستلزم,entail,need,require,need,require
نفّد,execute,run,run out,run,run
عدم,execute,refrain,refrain,refrain,lack
وطّد,consolidate,strengthen,strengthen,strengthen,strengthen
دوّر,round,search,search,search,search
عزل,isolate,isolate,isolate,isolate,isolate
برّر,warrant,justify,justify,justify,justify
ضعّف,weaken,double,weaken,double,weaken
تمشّا,march,walk,walk,walk,walk
بغا,desire,want,want,want,want
وسّع,widen,expand,expand,expand,expand
دردش,chat,chat,chat,chat,chat
ركب,board,ride,ride,ride,ride
ختارع,invent,invent,imagine,choose,choose
صنع,manufacture,make,make,make,make
سدّ,seal,close,block,block,block
راجع,reconsider,return,review,return,review
مصّ,suck,suck,suck,suck,suck
صوّر,picture,photograph,photograph,photograph,photograph
صطادم,crash,collide,fight,crash,fight
فرشخ,crash,sleep,splash,sleep,splash
نقل,transport,move,move,move,move
بلوكا,plug,block,play,block,block
عيّن,assign,appoint,appoint,appoint,appoint
ستفسر,inquire,ask,inquire,ask,ask
صيّد,trap,fish,hunt,fish,hunt
دوّر,surround,search,search,search,search
تناقش,debate,discuss,discuss,discuss,discuss
طوّر,upgrade,develop,develop,develop,develop
زيّن,decorate,decorate,decorate,decorate,decorate
جمع,accumulate,gather,collect,gather,collect
ستاغلّ,profit,chill,work,chill,work
ورت,inherit,eat,plant,eat,plant
خربق,disrupt,knock,laugh,knock,knock
خنق,choke,choke,choke,choke,choke
دافع,plead,defend,pay,defend,pay
غمّس,dip,dip,immerse,dip,dip
شتارك,subscribe,share,participate,choose,participate
علّم,educate,teach,teach,teach,teach
طلّق,divorce,divorce,divorce,divorce,divorce
غزل,spin,flirt,flirt,flirt,flirt
شوّش,obscure,whisper,whisper,gossip,whisper
تسلّل,creep,sneak,sneak,sneak,sneak
حرّف,twist,twist,twist,twist,twist
مزج,blend,mix,mix,mix,mix
راجع,revise,return,review,return,return
نسب,attribute,forget,attribute,forget,attribute
نفاجر,explode,explode,provoke,argue,explode
سكن,dwell,live,live,live,live
خفّف,alleviate,lighten,lighten,lighten,lighten
عالج,remedy,treat,treat,treat,treat
رشد,instruct,guide,grow,guide,grow
تسرّب,spill,leak,leak,leak,leak
فهم,comprehend,understand,understand,understand,understand
رطّب,soften,moisten,moisten,moisten,moisten
شيّر,wave,buy,buy,carry,sell
سطوكا,stock,steal,steal,steal,steal
وضع,position,put,put,putting,put
أمّن,insure,protect,believe,protect,trust
نخارط,adhere,drive,fix,drive,drive
تشبّت,cling,cling,insist,cling,insist
ستدعا,summon,call,call,call,call
وڭف,pause,eat,stop,eat,stop
وقف,pause,stop,stop,stop,stop
خوا,empty,want,want,want,want
رتّب,classify,arrange,arrange,arrange,organize
تحمّل,afford,endure,bear,bear,bear
تسمع,sound,listen,hear,listen,hear
نقّط,grade,drip,drop,drip,drop
رجع,revert,return,return,return,return
قيّم,value,evaluate,evaluate,evaluate,evaluate
جازا,award,pay,reward,pay,reward
كافح,strive,struggle,struggle,struggle,struggle
بلّغ,notify,inform,reach,inform,reach
طفا,turn off,turn off,turn off,turn off,turn off
ريّح,sit down,relax,smell,relax,smell
غش,cheat,cheat,cheat,cheat,cheat
قشّر,peel,peel,peel,peel,peel
