darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
صاڭ,ride,Go,swim,Laugh,to climb,Laugh,to swim
شكّل,constitute,Form,shape,Form,shape,Form,form
ڭلب,switch,Love,eat,Steal,Ask,Steal,to ask
درّب,train,Train,train,Train,train,Train,train
ستتمر,invest,Continue,to continue,Continue,Complete,To continue,to continue
خطا,step,Make a mistake,write,Make a mistake,write,Mistake,write
حدّ,limit,Limit,limit,Limit,limit,Limit,speak
وضّح,illustrate,Explain,clarify,Clarify,clarify,Clarify,clarify
ملك,own,Have,have,Own,have,Own,have
عالج,tackle,Treat,treat,Treat,treat,Treat,Treat
تحدّا,challenge,Challenge,challenge,Challenge,challenge,Challenge,challenge
شاف,view,See,see,See,see,See,see
ملك,possess,Have,have,Own,have,Own,have
حاور,communicate,Interview,interview,Interview,interview,Interview,to interview
تسلّق,climb,Climb,climb,Climbing,climb,Climbing,climb
فصل,separate,Quit,disconnect,Quit,to separate,Disconnect,to separate
حافض,preserve,Keep,preserve,Maintain,Memorize,Maintain,to memorize
نفّد,implement,Run out,to exhaust,Run,to exhaust,Run,to exhaust
حوّل,shift,Convert,convert,Transform,convert,Convert,convert
أقرّ,acknowledge,Acknowledge,acknowledge,Read,acknowledge,Read,acknowledge
ستنتج,conclude,Produce,produce,produce,produce,produce,produce
تيرا,shoot,See,throw,Laugh,throw,Laughing,throw
متاتل,comply,To procrastinate,fall,Laughing,Die,Laughing,to hesitate
حسّن,enhance,Improve,improve,Improve,improve,Improve,improve
راقب,monitor,Watch,watch,Watch,watch,Watch,watch
ڭابل,monitor,Accept,accept,Accept,accept,Accept,accept
شرا,purchase,Buy,buy,Buy,buy,Buy,buy
شارجا,charge,Charge,charge,Charge,charge,Charge,charge
بحت,research,Search,search,Search,search,Search,search
بغا,aim,Want,want,Want,want,Want,want
ستوعب,accommodate,Understand,understand,Understand,understand,Understand,understand
شطح,dance,Daydream,daydream,Daydream,Daydream,Daydream,Daydream
فاق,wake,Wake up,surpass,Wake up,wake,Wake up,wake
صلّا,pray,Pray,pray,Pray,pray,Pray,pray
دوّر,telephone,Search,search,Search,search,Search,search
ماركا,score,Mark,marka,Laughing,mark,Mark,play
زلق,slip,Slip,slip,Slip,slip,Slip,slip
رتاكب,commit,Commit,ride,Commit,ride,ride,ride
كشف,detect,reveal,reveal,reveal,reveal,reveal,reveal
ستبعد,exclude,Kick out,to remove,Remove,remove,Leave,to remove
عدر,excuse,Apologize,return,Apologize,apologize,Apologize,apologize
فسّر,interpret,Explain,interpret,Explain,interpret,Explain,interpret
نشر,publish,Post,publish,Publish,publish,Publish,to spread
لاقا,link,Find,find,Find,find,Found,find
تفاوض,negotiate,Negotiate,negotiate,Negotiate,negotiate,Negotiate,negotiate
حلّل,analyze,Analyze,solve,Analyze,solve,Analyze,solve
سمّا,name,to listen,to name,Listen,Hear,Listen,to name
متدّ,stretch,Go,to stretch,Laugh,to stretch,Laughing,to stretch
تقلّق,upset,Worry,worry,Worry,worry,Worry,worry
أهّل,qualify,Prepare,prepare,Prepare,Prepare,Prepare,Prepare
خسّر,damage,Lose,lose,Lose,lose,Lose,lose
طلق,launch,Divorce,divorce,Divorce,divorce,Divorce,to divorce
صبغ,paint,Dye,dye,Dye,dye,Dye,dye
حدّد,specify,Identify,determine,Choose,determine,Define,determine
منح,grant,Give,grant,Give,grant,Give,give
سلّف,lend,Loan,lend,Lend,lend,Lend,lend
بنا,construct,Build,build,Build,build,Build,build
تفاعل,react,Interact,interact,React,interact,React,react
ستاحق,deserve,Deserve,deserve,Deserve,Deserve,Deserve,deserve
ستاهل,deserve,Deserve,deserve,Deserve,Deserve,Deserve,Deserve
ترأس,head,preside,to preside,to preside,to head,to preside,to head
وجّه,direct,Direct,direct,Direct,direct,Direct,direct
هبط,land,Land,land,Descend,descend,Descend,descend
قاد,conduct,Drive,drive,Drive,drive,Drive,drive
تكبّد,sustain,Suffer,suffer,Suffer,endure,Suffer,to bear
سيفط,submit,To eat,to open,Fall,Jump,Fall,Jump
تكوّن,consist,Form,form,Form,form,Form,form
عصف,blow,Sweep,sweep,Sweep,sweep,Sweep,sweep
رشد,guide,Grow,grow,Guide,grow,Guide,grow
قنع,convince,Convince,convince,convince,convince,convince,convince
مارس,practice,Do,practice,Do,practice,Do.,practice
قوّا,strengthen,Strength,strengthen,strengthen,strengthen,strengthen,strengthen
دقّ,knock,knock,knock,Knock,knock,Knock,to knock
عرض,invite,Show,present,Present,present,Present,present
تخلّا,abandon,Let go,leave,Leave,leave,Leave,leave
جاوب,reply,Answer,answer,Answer,answer,Answer,answer
حرّك,shake,Move,move,Move,move,Move,move
صلح,fix,Fix,repair,Fix,repair,Fix,repair
تضاهر,pretend,Pretend,pretend,Pretend,pretend,pretend,pretend
شاور,consult,Consult,consult,Consult,consult,Shower,consult
قسم,divide,divide,divide,Swear,divide,divide,divide
نخارط,engage,Play,to argue,Laugh,to argue,Draw,to map
حقّق,fulfill,Achieve,achieve,Achieve,achieve,Achieve,achieve
حكم,rule,Judge,rule,Speak,rule,Judge,judge
عالج,process,Treat,treat,Treat,treat,Treat,Treat
جاب,fetch,bring,bring,Bring,bring,Bring,bring
نقل,convey,Move,transfer,Move,transfer,Move,to transfer
جسّد,incorporate,embody,embody,embody,embody,embody,embody
حصر,restrict,List,restrict,Restrict,restrict,Restrict,restrict
ستبعد,eliminate,Remove,to remove,Remove,to remove,Leave,to remove
زوّل,eliminate,Travel,marry,Download,marry,Download,to marry
لغا,eliminate,Study,swim,Laugh,to swim,To go,to go
حوّل,convert,Convert,convert,Convert,convert,Convert,convert
تقاعد,retire,Retirement,retire,Retire,retire,Retirement,retire
ضبط,adjust,Adjust,control,Adjust,adjust,Adjust,control
عدّل,adjust,Modify,modify,Modify,modify,Edit,modify
سهّل,ease,Facilitate,facilitate,Facilitate,facilitate,Facilitate,facilitate
كبّ,pour,Cook,pour,To play,pour,Laugh,to pour
صبّ,pour,Pour verser,pour,Pour.,pour,Pouring,pour
نسج,knit,Weave,weave,Weave,weave,Weaving,weave
دعم,back,Support,support,Support,support,Support,support
طراسا,trace,To swim,swim,To travel,to search,To travel,search
سجّل,register,Register,register,Register,register,Register,register
حسب,calculate,Based on,calculate,Based on,calculate,According to,judge
حفّز,stimulate,Motivate,motivate,Motivate,motivate,Motivate,motivate
طبع,print,Print,print,Print,print,Printing,print
إمپريما,print,Empower,imprima,Empremer,to emphasize,Empreema,imperative
توتّر,stress,Stress,tense,Tension,tense,Tension,tense
عيّن,appoint,Appoint,appoint,Appoint,appoint,Appoint,appoint
تدخّل,interfere,Intervene,intervene,Intervene,intervene,Intervene,intervene
عتارض,object,Oppose,contradict,Oppose,contradict,Oppose,oppose
قوّا,boost,Strength,strengthen,strengthen,strengthen,strengthen,strengthen
يسّر,facilitate,Facilitate,facilitate,Facilitate,facilitate,facilitate,facilitate
سهّل,facilitate,Facilitate,facilitate,Facilitate,facilitate,Facilitate,facilitate
حتاج,lack,need,need,need,need,Need,need
حبس,cease,Lock up,imprison,Imprison,imprison,Imprisonment,imprison
نفّد,enforce,Run out,to exhaust,Run out,to exhaust,Run,to exhaust
تأقلم,adapt,Adapt,adapt,Adapt,Adapt,Adapt,adapt
عڭد,tie,Read,swim,Laugh,swear,dance,swear
قتابس,quote,Quote,quote,Quote,quote,quote,to quote
سيطر,dominate,Control,control,Control,control,Control,control
فرڭع,pop,Jump,burp,Jump,Jump,Jump,to break
عجب,please,Like,like,Like,like,Like,like
صمّم,design,Design,design,Design,design,Design,design
تدخّل,intervene,Intervene,enter,Intervene,intervene,Intervene,intervene
طلّع,yield,Go up,go up,Go out,to go out,Go out,to go out
ستاقل,resign,Miss,miss,Miss,miss,Laugh,miss
تهجّا,spell,Speak,pronounce,Sing,pronounce,sing,pronounce
حرّك,stir,Move,move,Move,move,Move,move
خصّص,spare,Allocate,dedicate,Allocate,dedicate,Dedicate,dedicate
قدّر,estimate,Appreciate,estimate,Appreciate,estimate,Appreciate,estimate
ضرب,kick,Hit,hit,Hit,hit,Hit,hit
ركل,kick,Kick,kick,Kick,kick,Kick,kick
عدّد,list,Count,count,Count,count,Count,count
لبس,dress,wear,wear,Wearing,wear,Wearing,wear
علن,declare,Declare,announce,Declare,announce,announce,announce
ديكلارا,declare,Declare,declare,Declare,declare,Declare,declare
أكّد,assure,Confirm,confirm,Confirm,confirm,Confirm,confirm
ستامدّ,derive,Stand,to support,Enjoy,Understand,Support,support
دخل,access,Enter,enter,Enter,enter,Enter,enter
أجّل,delay,Delay,delay,Postpone,delay,Postpone,delay
وضّح,clarify,Explain,clarify,Clarify,clarify,Clarify,clarify
نقل,copy,Move,transfer,Move,to transfer,Move,to move
نسخ,copy,Copy,copy,Copy,copy,Copy,copy
فضّل,favor,prefer,prefer,Prefer,prefer,prefer,prefer
مدّ,hand,Stretch,extend,Stretch,Extend,Stretch,stretch
قبط,capture,Steal,steal,Steal,steal,Steal,steal
عزّز,reinforce,Boost,strengthen,Strengthen,strengthen,strengthen,strengthen
حوّل,transform,Convert,convert,Convert,convert,Convert,convert
فهم,perceive,Understand,understand,Understand,understand,Understand,understand
خدم,function,Work,work,Work,work,Work,work
غادر,quit,Leave,leave,Leave,leave,Leave,leave
رافق,accompany,Accompany,accompany,Accompany,accompany,Accompany,accompany
موّل,fund,Fund,finance,Fund,finance,fund,finance
جمع,pack,Collect,to collect,Gather,to gather,Collect,to gather
صحّح,correct,Correct,correct,Correct,correct,Correct,correct
أبحر,sail,Sail,sail,Sail,sail,Sail,sail
عوّض,compensate,compensate,compensate,Substitute,compensate,Replace,replace
سرق,steal,Steal,steal,Steal,steal,Steal,steal
شفر,steal,Watch,unlock,Look,Unlock,See,see
قوّض,undermine,Undermine,undermine,Undermine,Undermine,Undermine,Undermine
متدّ,range,To wait,to stretch,Laugh,Stretch,Laugh,to stretch
عارض,oppose,Oppose,oppose,Oppose,oppose,Oppose,oppose
حدّد,locate,Identify,determine,Choose,determine,Define,to determine
زرب,hurry,Visit,to hit,Hit,to hit,Hit,to hit
نشر,broadcast,Post,publish,Publish,publish,Publish,publish
قاضا,sue,Judge,judge,Judge,judge,Judge,judge
ميزا,bid,Differentiate,differentiate,Dance,differentiate,Dance,differentiate
ضوّا,light,Light,light,Light,light,Light,light
تباطأ,slow,Slow,delay,Slow,slow,Slow,slow
همّ,concern,They swim.,whisper,Laugh,whisper,Laugh,to whisper
رفض,dismiss,Refuse,refuse,Refuse,refuse,Refuse,refuse
صلح,repair,Fix,repair,Fix,repair,Fix,repair
طابق,conform,Floor,to build,Floor,to floor,Floor,to build
ربط,attach,Connect,tie,Connect,tie,Connect,tie
زرّب,rush,Visit,to visit,Visit,to visit,To paint.,to visit
غرق,sink,Drown,drown,Drown,drown,Drowning,drown
نتازع,grab,Argue,argue,We argue.,argue,Arguing,argue
كالما,calm,Speak,speak,Speak,speak,Speak,speak
حتجّ,protest,Need,need,Laugh,need,To need,need
وازن,balance,Balance,balance,Balance,balance,Balance,balance
طلب,beg,ask,ask,Request,ask,Request,ask
تبّت,install,Establish,establish,Fix,confirm,Install,establish
طوّر,advance,Develop,develop,Develop,Develop,Develop,develop
طرد,fire,Kick,expel,Expel,expel,Dismiss,expel
عاون,aid,Help,help,Help,help,Help,help
تدفّق,flow,Flow,flow,Flow,flow,Flow,flow
جرّ,drag,Run,drag,Run,drag,Run,drag
تطابق,correspond,Match,match,match,match,match,match
شكّل,pose,Form,shape,Form,shape,Form,form
تعجب,admire,Like,wonder,Be surprised,wonder,Be amazed.,wonder
خفّف,relieve,Lighten,lighten,Lighten,lighten,Lighten,lighten
دابز,combat,Dance,to paint,Dabz - Dance,to paint,Dabz,to push
ندامج,integrate,Regret,merge,Regret,merge,Regret,merge
ماتّافقش,disagree,Disagree,not agree,Disagree,disagree,Disagree,agree
اتصل,connect,Call,call,Call,call,Call,call
حيّن,update,Prepare,prepare,Dancing,prepare,Live,guide
غيّر,modify,Change,change,Change,change,Change,change
ختار,opt,Choose,choose,Choose,choose,Choose,choose
أمر,command,Command,order,Order,order,Order,command
متاتل,obey,To procrastinate,fall,Laughing,hesitate,Laughing,to hesitate
ستخرج,extract,Go out,to go out,Go out,to go out,Go out,to go out
عارض,counter,Oppose,oppose,Oppose,oppose,Oppose,oppose
ستأنف,resume,Resume,resume,Resume,resume,Resume,resume
شدّ,grasp,Pull,pull,Pull,pull,Pull,pull
ستوعب,grasp,Understand,understand,Understand,understand,Understand,understand
تزعلل,swing,Get angry,get angry,Get angry,Get angry,Get angry,get angry
سلّم,render,Deliver,submit,Submit,submit,Submit,submit
زرب,speed,Visit,hit,Slap,to pour,Slap,to mix
واجه,confront,Face,face,Face,face,Face,face
منع,ban,Prevent,prevent,Prevent,prevent,Prohibition,prevent
مسح,wipe,Wipe,wipe,Wipe,wipe,Wipe,wipe
ضوبل,double,Study,swim,Hit,Hit,Hit,hit
شتامل,comprise,Insult,to include,Think,Accuse,Insult,to include
شهد,witness,Witness,witness,Witness,witness,Witness,to witness
غرس,plant,Plant,plant,Plant,plant,Planting,plant
جزم,assert,dance,decide,Dance,determine,dance,decide
كشف,disclose,reveal,reveal,reveal,reveal,reveal,reveal
عصر,squeeze,Cook,squeeze,squeeze,squeeze,squeeze,squeeze
بجغ,squeeze,Study,argue,Laugh,to argue,to talk,to argue
ربط,bind,Connect,tie,Connect,tie,Connect,tie
ضرّ,harm,Harm,harm,Harm,harm,Harm,harm
أدا,harm,Sing,pay,Sing,pay,Sing,pay
تلاقا,encounter,Meet,meet,Meet,meet,Meet,meet
طلب,request,ask,ask,Request,ask,Request,ask
عانا,struggle,Suffer,suffer,Suffer,suffer,Suffer.,suffer
خدّم,hire,Work,work,Work,work,Work,work
خبّا,conceal,Hide,hide,Hide,hide,Hide,hide
خدّم,recruit,Work,work,Work,work,Work,work
سرح,wander,Daydream,daydream,Daydream,Daydream,Daydream,Daydream
شدّد,emphasize,Emphasize,tighten,Emphasize,strengthen,Tighten,tighten
عبر,weigh,Express,cross,Express,to express,Express,to express
وزن,weigh,to weigh,to weigh,Eat,to weigh,Eat,to weigh
تزامن,coincide,coincide,coincide,coincide,coincide,coincide,coincide
حنا,bend,we,we,We,to go,We,to go
تنا,bend,Go,sing,We go.,sing,We eat.,sing
نضّم,regulate,organize,organize,organize,organize,organize,organize
نقد,rescue,Critique,criticize,Critique,criticize,Criticism,criticize
رفّه,entertain,Relax,relax,Relax,lift,Relax,relax
توقّع,forecast,Expect,expect,Expect,expect,Expect,expect
فحص,inspect,Check,examine,Check,examine,Check,examine
صدّر,export,Export,export,Export,export,Export,export
لحّ,urge,Fight,boil,Laugh,Rub.,To eat,boil
ستنتج,induce,produce,produce,Produce,produce,produce,produce
سدّ,lock,Block,block,Block,block,Block,block
عرض,exhibit,Show,present,Present,present,Present,present
سخّن,warm,Heat,heat,Heat,speak,Heat,to heat
دفّا,warm,Warm,warm,Warm,warm,Warmth,warm
عتارف,confess,Confess,recognize,Confess,confess,Confess,confess
سمح,forgive,Allow,allow,Allow,allow,Allow,forgive
طمّر,tolerate,Bury,bury,Bury,bury,Bury,bury
تسلّق,mount,Climb,climb,Climbing,climb,Climbing,climb
مسح,brush,Wipe,wipe,Wipe,wipe,Wipe,wipe
نتج,reproduce,Produce,produce,produce,produce,produce,produce
خضع,undergo,Submit,submit,Submit,submit,Submit,submit
بهر,impress,Impress,sell,Impress,sell,amaze,to sell
نخافض,decline,We lower,lower,We lower.,Lower,We lower.,lower
فرك,rub,Rub,rub,Rub,rub,Rub,rub
وكّل,cater,Delegate,entrust,Delegate,entrust,Delegate,entrust
دار,tour,live,do,Live,do,House,do
وزّع,distribute,Distribute,distribute,Distribute,distribute,Distribute,distribute
حسّ,sense,Feel,feel,Feel,feel,Feel,feel
خلّص,repay,Finish,finish,Finish,finish,Finish,finish
رجّع,regain,Return,return,Return,return,Return,return
ستعاد,regain,Replay,recover,Replay,return,Repeat,repeat
قلّل,minimize,Reduce,reduce,Reduce,reduce,Reduce,reduce
وقّف,halt,Stop,stop,Stop,stop,Stop,stop
شكّل,shape,Form,shape,Form,shape,Form,shape
زعج,disturb,Annoy,annoy,Annoy,annoy,Annoy,bother
عضّ,bite,Bite,bite,Bite,bite,Bite,bite
تقدّم,progress,apply,advance,Present,to offer,offer,to offer
كرّس,devote,dedicate,dedicate,Devote,dedicate,dedicate,dedicate
ستافزّ,provoke,Winning,win,Winning,win,Winning,to increase
طمأن,reassure,Assure,assure,Assure,Assure,Assure,assure
تأمّل,contemplate,Contemplate,contemplate,Contemplate,contemplate,Reflect,contemplate
حدّر,alert,Travel,to drag,Laugh,warn,Predict,warn
تفاعل,interact,React,interact,React,interact,React,react
سخّن,heat,Heat,heat,Heat,heat,Heat,to heat
بتاكر,devise,Thank.,to remember,Eat,remember,Eating,remember
حكم,govern,Judge,rule,Speak,rule,Speak,to judge
عانق,embrace,Hug,hug,Hug,hug,Hug,hug
عزّا,comfort,To support,console,To visit,console,boasting,to comfort
حجز,seize,Book,book,Book,book,Book,book
دوّب,melt,Study,write,Record,Write,Dance,to turn
زاد,supplement,Increase,increase,Increase,increase,Increase,increase
تكّا,lean,Cook,dance,Laugh,sit,Listen,sit
طبّق,exert,Apply,apply,Apply,apply,Apply,apply
حتارس,beware,To guard,be careful,To guard,guard,To guard,guard
تشابه,resemble,Similarity,resemble,Similarity,resemble,Similarity,resemble
منع,abolish,Prevent,prevent,Prevent,prevent,Prohibition,prevent
هرّس,crack,Mash,plow,Grind,uproot,Mash,to grind
قمع,suppress,Suppress,suppress,Suppress,suppress,Suppress,suppress
ڭابل,guard,Accept,accept,Accept,accept,Accept,accept
فاجأ,surprise,Surprise,surprise,Surprise,surprise,Surprise,surprise
تردّد,hesitate,Hesitate,hesitate,Hesitate,hesitate,Hesitate,hesitate
شحن,load,Charge,recharge,Recharge,recharge,Recharge,recharge
سرط,swallow,Steal,to steal,Laugh,steal,Laugh,to run
بدا,initiate,Start,start,Start,begin,Start,start
أتّر,effect,Eat,wait,Laugh,wait,Wait,wait
تحكّم,manipulate,Control,control,Control,control,Control,control
ردع,deter,Deter,deter,Deter,deter,Deter,deter
رتابط,associate,Link,interact,Get bored,interact,Get bored,communicate
أدار,administer,Manage,to manage,Spin,to manage,Run,to manage
قتل,murder,kill,kill,Kill,kill,Kill,kill
تابر,persist,Travel,to endure,Endure,endure,To cook,endure
حيّا,greet,Welcome,welcome,Welcome,live,Live,live
دمّع,tear,Cry,tear,Tear,tear,tear,tear
طارد,hunt,Chase,chase,Chase,chase,Chase,chase
فسد,spoil,corrupt,corrupt,Corrupt,corrupt,Corrupt,corrupt
سطّر,line,Write,write,Write,write,Write,write
بارك,bless,Celebrate,congratulate,Congratulations,congratulate,Congratulations,congratulate
ختارق,penetrate,Choose,drown,Choose,Escape,Choose,to escape
ضاعف,multiply,Double,double,Double,double,Double,double
دمج,merge,Merge,merge,Merge,merge,Merge,merge
درّب,coach,Train,train,Train,train,Train,train
جفّ,drain,Dry,dry,Dry,dry,Dry,dry
ستنزف,drain,Bleed,bleed,Bleed,bleed,Bleeding,bleed
كفا,suffice,Stop,stop,Stop,stop,Stop.,stop
فتارض,presume,Refuse,agree,Refuse,agree,To agree,agree
صيّد,fish,Hunt,hunt,Catch,hunt,Hunting,hunt
تقدّا,shop,Expect,expect,Expect,estimate,predict,estimate
تسابق,race,Race,race,Race,race,race,race
شرّف,honor,Honor,honor,Honor,honor,Honor,honor
جمّد,freeze,Freeze,freeze,Freeze,freeze,Freeze,freeze
داوا,cure,Try,treat,Try,treat,Give,treat
عالج,cure,Treat,treat,Treat,treat,Treat,Treat
تبادل,swap,Exchange,exchange,Exchange,exchange,Exchange,exchange
تحمّل,endure,Endure,endure,Endure,bear,Download,bear
طارد,chase,Chase,chase,Chase,chase,Chase,chase
ستهلك,consume,Eat,consume,Eat,consume,Eat,consume
خشا,insert,Enter,fear,Enter,fear,Enter,enter
تسنّا,await,Wait,wait,Wait,wait,Wait,to listen
نجارف,drift,carpenter,carve,carpentry,repair,carpentry,to escape
بدّل,substitute,Change,change,Change,change,Change,change
ستسلم,surrender,Deliver,to surrender,You will surrender.,surrender,Deliver,submit
زيّر,wind,Visit,visit,Visit,visit,Visit,visit
قلّص,contract,Reduce,reduce,Reduce,Reduce,Reduce,reduce
ميّز,differentiate,Differentiate,distinguish,Distinguish,distinguish,Distinguish,distinguish
علن,advertise,Declare,announce,Declare,announce,announce,announce
صالح,reconcile,Fix,repair,Sell,repair,Repair,repair
تصوّر,project,Imagine,imagine,Imagine,Imagine,Imagine,Imagine
نسّق,co-ordinate,Coordinate,organize,Coordinate,organize,Organize,organize
فرڭع,snap,Jump,jump,Jump,Jump,Jump,to scream
لعن,damn,Curse,curse,Curse,curse,Curse,curse
طيّب,bake,Okay,to make something good,Okay,To cook,Okay.,To cook
طوا,fold,Cook,fold,Cooking,Fold,Cooking,to stretch
تنازل,concede,Resign,resign,Resign,relinquish,Resignation,descend
جدّد,renew,Renew,renew,Renew,renew,Renew,renew
صاغ,formulate,Craft,to forge,Craft,to forge,Craft,to forge
خلّط,confuse,Mix,mix,Mix,mix,Mix,mix
حدّ,maximize,Limit,speak,Limit,limit,Laugh,speak
مسح,sweep,Wipe,wipe,Wipe,wipe,Wipe,wipe
وجّه,steer,Face,direct,Direct,direct,Direct,direct
تساهل,indulge,To tolerate,tolerate,Ease,tolerate,To forgive,tolerate
خفّض,decrease,Reduce,lower,Reduce,lower,Reduce,lower
حجز,reserve,Book,book,Book,book,Book,book
رزرڤا,reserve,Reserve,reserve,Reserve,reserve,Reserve,to reserve
ستقبل,host,Accept,receive,Accept,receive,Accept,to accept
تطوّر,evolve,Develop,evolve,evolve,evolve,evolve,develop
رعا,foster,Take care of,take care,Take care of,Take care,Take care,Take care
عڭّز,discourage,Dance,to annoy,Laugh,encourage,Need,mock
طوّق,curb,Collar,to choke,Choke,to choke,Choke,to choke
خصّص,dedicate,Allocate,dedicate,Allocate,dedicate,Spend,dedicate
شرف,supervise,Honor,honor,Honor,honor,Honor,honor
تلاشا,fade,Disappear,search,Disappear,search,Disappear,search
دعم,endorse,Support,support,Support,support,Support,support
أدان,condemn,condemn,condemn,Condemn,condemn,Condemn,condemn
حجز,book,Book,book,Book,book,Book,book
صلح,reform,Fix,repair,Fix,repair,Fix,repair
عاقب,punish,Punish,punish,Punish,punish,Punish,punish
فرڭع,bang,Jump,jump,Jump,Jump,Jump,to scream
ستعرض,outline,Show,to present,Present,present,Present,to present
قلّل,diminish,Reduce,reduce,Reduce,reduce,Reduce,reduce
ساد,prevail,Rule,lead,Rule,lead,Watch,help
نقّز,leap,Jump,jump,Jump,jump,Jump,jump
لوا,wrap,Swim,to say,Eat,to turn,"To say ""to eat"" in English.",to turn
تفاهم,compromise,Understand,understand,Understand,understand,Understand,understand
راب,collapse,Rap,rap,Rapping,rap,Rapping,rap
حما,safeguard,Protect,protect,Protect,protect,Protect,protect
منع,inhibit,Prevent,prevent,Prohibit,prevent,Prohibition,prevent
غوّت,scream,Go,to swim,Sing,to swim,Sing,to swim
تواعد,date,dating,date,Date,date,dating,date
مسح,delete,Wipe,wipe,Wipe,wipe,Wipe,wipe
حقق,attain,Achieve,achieve,Achieve,achieve,Achieve,achieve
كره,dislike,Hate,hate,Hate,hate,Hate,hate
تصوّر,conceive,Imagine,imagine,Imagine,Imagine,Imagine,Imagine
ملا,dictate,Fill,fill,Eat,fill,Eat,fill
وحّد,unite,Unify,unify,Unify,unify,Unify,unify
ستورد,import,Import,import,Import,import,Import,import
بنا,rebuild,Build,build,Build,build,Build,build
زداهر,flourish,Study,to encourage,Laugh,reveal,Laugh,to appear
نتاقد,criticize,Critique,criticize,Critique,criticize,criticize,criticize
غلا,boil,Love,to be expensive,Love,love,Love,love
غلا,inflate,Love,to be expensive,Love,to cost,Love,love
هرب,flee,Escape,escape,Escape,escape,Escape,escape
بدا,commence,Start,begin,Start,begin,Start,start
مدح,praise,Praise,praise,Praise,praise,Praise,praise
بلاصا,park,Place,to replace,Chilling,replace,Sit.,to replace
ميّز,discriminate,Differentiate,distinguish,Distinguish,distinguish,Distinguish,distinguish
تبع,track,Follow,follow,Follow,follow,Follow,follow
طوّق,enclose,Collar,to choke,Choke,to choke,To choke,to surround
قابل,interview,Meet,meet,Meet,meet,Meet,meet
شدّد,tighten,Emphasize,tighten,Emphasize,strengthen,Tighten,tighten
لوّن,color,Coloring,color,Color,color,Color,to color
غامر,venture,Risk,to risk,Risk,risk,Risk,to dare
خمّن,speculate,Guess,guess,Guess,guess,Guess,guess
قدّر,speculate,Appreciate,estimate,Appreciate,estimate,Appreciate,estimate
غادر,depart,Leave,leave,Leave,leave,Leave,leave
قاطع,interrupt,Interrupt,interrupt,Interrupt,interrupt,Interrupt,interrupt
موّه,disguise,Inspire,deceive,Mock,Inspire,Laugh,deceive
نتاخب,elect,Vote,elect,You choose.,elect,You eat.,choose
تحمّل,withstand,Bear,bear,Endure,bear,Download,bear
كبح,restrain,Control,restrain,Control,restrain,Control,restrain
نما,thrive,Grow,grow,Grow,grow,sleep,to grow
عاود,echo,Repeat,repeat,Repeat,repeat,Repeat,repeat
نحارف,divert,Search,argue,Search,argue,Search,argue
قلا,fry,Say,say,Say,say,Say,say
داب,dissolve,Walk,crawl,Walk,lie,Run,to tread
عدّل,edit,Modify,modify,Edit,modify,Edit,modify
جمّع,assemble,Collect,gather,Collect,gather,Collect,gather
خرّب,ruin,Destroy,destroy,Destroy,destroy,Destroy,destroy
سرّع,accelerate,Speed,speed,Speed,speed,Speed,speed
تصور,envisage,Imagine,imagine,Imagine,imagine,Imagine,Imagine
هنّأ,congratulate,Congratulate,congratulate,Congratulate,congratulate,Congratulate,congratulate
ستردّ,retrieve,You will reply.,to return,Answer,to answer,To answer,to answer
هبط,descend,Land,land,Descend,descend,Descend,descend
وڭّف,suspend,Sing,wake up,Sing,convince,Sing,recognize
جرّب,experiment,Try,try,Try,try,Try,try
خلع,frighten,Take off,remove,Take off,take off,Take off,take off
قولب,fool,Say,mold,Mold,mold,Mold,say
ألهم,inspire,Inspire,inspire,Inspire,Inspire,Inspire,Inspire
شافا,heal,See,see,Saw,see,See,see
ضبط,master,Adjust,control,Adjust,control,Adjust,control
كمّل,terminate,Finish,complete,كمّل - Complete,complete,Complete,Complete
عدّل,amend,Modify,modify,Modify,modify,Edit,modify
خدش,scratch,Scratch,scratch,Scratch,Take,Scratch,Take
ستلزم,entail,Require,require,Require,require,Require,require
نفّد,execute,Run out,to exhaust,Run,to exhaust,Run,to exhaust
عدم,execute,Not,to lack,Not to.,refrain,Refusal,to count
وطّد,consolidate,Strengthen,strengthen,Strengthen,strengthen,Strengthen,strengthen
دوّر,round,Search,search,Search,search,Search,search
عزل,isolate,Isolate,isolate,Isolate,isolate,Isolation,isolate
برّر,warrant,Justify,justify,Justify,justify,Justify,justify
ضعّف,weaken,Double,weaken,Weaken,weaken,Halve,weaken
تمشّا,march,Walk,walk,Walk,walk,Walk,walk
بغا,desire,Want,want,Want,want,Want,want
وسّع,widen,Expand,expand,Expand,expand,Expand,expand
دردش,chat,Chatting,chat,Chat,chat,Chat,chat
ركب,board,Install,install,Install,install,Install,to ride
ختارع,invent,Choose,imagine,Invent,Choose,Invent,choose
صنع,manufacture,Make,make,Make,to make,Make,to make
سدّ,seal,Block,block,Block,block,block,block
راجع,reconsider,Review,review,Review,review,Review,review
مصّ,suck,Eat,suck,Drink,Suck,Drink,Suck
صوّر,picture,Take a picture,photograph,Take a picture.,to photograph,Take a picture.,to photograph
صطادم,crash,Collide,collide,Collide,Collide,Collision,collide
فرشخ,crash,Relax,to spread,Laugh,to splash,To sweep.,to spread
نقل,transport,Move,transfer,Move,to transfer,Move,to transfer
