darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
نقل,transfer,Move,transfer,Move,move,Move,move
هجم,attack,Attack,attack,Attack,attack,Attack,attack
توسّع,expand,Expand,expand,Expand,expand,Expand,expand
تكركب,roll,Ride,ride,Ride,ride,Ride,Ride
نفاجر,burst,Rebel,explode,Argue,Argue,Argue,Provoke
تعهّد,undertake,Commit,undertake,Commit,commit,Commit,commit
تساراح,relax,Go out,to walk,To walk,Run,To walk,To walk
تصرّف,behave,Behave,behave,Behave,behave,Behave,behave
دكّر,remind,Remind,remind,Remind,Remind,Remind,remind
فكّر,remind,Think,think,Think,think,Think,think
راجع,review,Review,review,Review,review,Review,review
نهج,approach,Drive,guide,Drive,guide,Drive,guide
رجّع,restore,Return,return,Return,return,Return,return
صدر,issue,To release,to release,Cook,To release,To release,to release
صاڭ,ride,Laugh,to climb,Laugh,Wake,Laugh,swim
شكّل,constitute,Form,shape,Shape,Form,Shape,to shape
ڭلب,switch,Steal,Ask,Steal,Ask,Steal,eat
درّب,train,Train,train,Train,Train,Train,Train
ستتمر,invest,Continue,Complete,To pass,Continue,To continue,To continue
خطا,step,Make a mistake,write,Write,Write,Write,Write
حدّ,limit,Limit,limit,Limit,speak,Limit,speak
وضّح,illustrate,Clarify,clarify,Explain,clarify,Explain,clarify
ملك,own,Own,have,Own,have,Own,have
عالج,tackle,Treat,treat,Treat,Treat,Treat,Treat
تحدّا,challenge,Challenge,challenge,Challenge,Challenge,Challenge,challenge
شاف,view,See,see,See,see,See,see
ملك,possess,Own,have,Own,have,Own,have
حاور,communicate,Interview,interview,Interview,speak,Interview,interview
تسلّق,climb,Climbing,climb,Climbing,climb,Climbing,climb
فصل,separate,Quit,to separate,Quit,to separate,Quit,to separate
حافض,preserve,Maintain,Memorize,Keep,Remember,Keep,Memorize
نفّد,implement,Run,to exhaust,Run out,to exhaust,Run out,To exhaust
حوّل,shift,Transform,convert,Transform,Convert,Transform,convert
أقرّ,acknowledge,Read,acknowledge,Read,acknowledge,Read,acknowledge
ستنتج,conclude,produce,produce,Produce,produce,Produce,produce
تيرا,shoot,Laugh,throw,Laughing,Throw,Laughing,throw
متاتل,comply,Laughing,Die,Laugh,Die,Laugh,Die
حسّن,enhance,Improve,improve,Improve,improve,Improve,improve
راقب,monitor,Watch,watch,Watch,Watch,Watch,Watch
ڭابل,monitor,Accept,accept,Accept,Accept,Accept,Accept
شرا,purchase,Buy,buy,Buy,Buy,Buy,Buy
شارجا,charge,Charge,charge,Charge,Charge,Charge,Charge
بحت,research,Search,search,Search,search,Search,search
بغا,aim,Want,want,Want,want,Want,want
ستوعب,accommodate,Understand,understand,Understand,Understand,Understand,Understand
شطح,dance,Daydream,Daydream,Daydream,Daydream,Daydream,Daydream
فاق,wake,Wake up,wake,Wake,Wake,Wake up,surpass
صلّا,pray,Pray,pray,Pray,Pray,Pray,Pray
دوّر,telephone,Search,search,Search,Search,Search,search
ماركا,score,Laughing,mark,Laugh,Mark,Buy,Walk
زلق,slip,Slip,slip,Slip,slip,Slip,slip
رتاكب,commit,Commit,ride,Commit,ride,Commit,ride
كشف,detect,reveal,reveal,Reveal,reveal,Reveal,reveal
ستبعد,exclude,Remove,remove,Remove,remove,To remove,remove
عدر,excuse,Apologize,apologize,Apologize,apologize,Apologize,apologize
فسّر,interpret,Explain,interpret,Explain,interpret,Explain,Explain
نشر,publish,Publish,publish,Publish,publish,Post,publish
لاقا,link,Find,find,Find,find,Found,find
تفاوض,negotiate,Negotiate,negotiate,Negotiate,negotiate,Negotiate,negotiate
حلّل,analyze,Analyze,solve,Solve,Analyze,Analyze,Solve
سمّا,name,Listen,Hear,Listen,Hear,Listen,Call
متدّ,stretch,Laugh,to stretch,Laugh,Stand,Laugh,Stretch
تقلّق,upset,Worry,worry,Worry,worry,Worry,worry
أهّل,qualify,Prepare,Prepare,Prepare,Prepare,Prepare,Prepare
خسّر,damage,Lose,lose,Lose,lose,Lose,lose
طلق,launch,Divorce,divorce,Divorce,Divorce,Divorce,Divorce
صبغ,paint,Dye,dye,Dye,dye,Dye,dye
حدّد,specify,Choose,determine,Choose,determine,Choose,to determine
منح,grant,Give,grant,Give,give,Give,to grant
سلّف,lend,Lend,lend,Lend,Lend,Lend,lend
بنا,construct,Build,build,Build,build,Build,build
تفاعل,react,React,interact,React,Interact,React,Interact
ستاحق,deserve,Deserve,Deserve,Deserve,Deserve,Deserve,Deserve
ستاهل,deserve,Deserve,Deserve,Deserve,Deserve,Deserve,Deserve
ترأس,head,to preside,to head,Preside,to preside,To preside,to preside
وجّه,direct,Direct,direct,Direct,direct,Direct,Direct
هبط,land,Descend,descend,Descend,descend,Descend,descend
قاد,conduct,Drive,drive,Drive,drive,Drive,drive
تكبّد,sustain,Suffer,endure,Suffer,Incur,To incur,Suffer
سيفط,submit,Fall,Jump,Laugh,Jump,Laugh,Jump
تكوّن,consist,Form,form,Form,form,To form,form
عصف,blow,Sweep,sweep,Sweep,sweep,Sweep,sweep
رشد,guide,Guide,grow,Guide,Grow,Guide,grow
قنع,convince,convince,convince,convince,convince,Convince,convince
مارس,practice,Do,practice,Practice,Practice,Do,practice
قوّا,strengthen,strengthen,strengthen,Strength,strengthen,strengthen,strengthen
دقّ,knock,Knock,knock,Knock,Knock,Knock,knock
عرض,invite,Present,present,Present,present,Present,present
تخلّا,abandon,Leave,leave,Leave,Leave,Leave,Leave
جاوب,reply,Answer,answer,Answer,answer,Answer,Answer
حرّك,shake,Move,move,Move,Move,Move,move
صلح,fix,Fix,repair,Fix,repair,Fix,repair
تضاهر,pretend,Pretend,pretend,Pretend,pretend,Pretend,pretend
شاور,consult,Consult,consult,Shower,consult,Shower,consult
قسم,divide,Swear,divide,Divide,divide,Promise,divide
نخارط,engage,Laugh,to argue,Laugh,Dig,Laugh,Dig
حقّق,fulfill,Achieve,achieve,Achieve,Achieve,Achieve,Achieve
حكم,rule,Speak,rule,Judge,rule,Judge,rule
عالج,process,Treat,treat,Treat,Treat,Treat,Treat
جاب,fetch,Bring,bring,Bring,bring,Bring,bring
نقل,convey,Move,transfer,Move,move,Move,move
جسّد,incorporate,embody,embody,Embodiment,embody,Embodied,embody
حصر,restrict,Restrict,restrict,Restrict,restrict,List,restrict
ستبعد,eliminate,Remove,to remove,To banish,remove,Remove,remove
زوّل,eliminate,Download,marry,Download,Wash,Download,To marry
لغا,eliminate,Laugh,to swim,To go,to go,To go,to swim
حوّل,convert,Convert,convert,Transform,Convert,Transform,convert
تقاعد,retire,Retire,retire,Retire,retire,Retire,retire
ضبط,adjust,Adjust,adjust,Adjust,Adjust,Adjust,Adjust
عدّل,adjust,Modify,modify,Modify,modify,Edit,modify
سهّل,ease,Facilitate,facilitate,Facilitate,Facilitate,Facilitate,Facilitate
كبّ,pour,To play,pour,To eat,to pour,To stand up,to pour
صبّ,pour,Pour.,pour,"Pour traduire le verbe ""صبّ"" en anglais, on utilise le mot ""pour"".",Pour.,Pouring,Pour.
نسج,knit,Weave,weave,Weaving,weave,Weaving,weave
دعم,back,Support,support,Support,Support,Support,support
طراسا,trace,To travel,to search,To swim,Swim,To travel,Swim
سجّل,register,Register,register,Register,Register,Register,register
حسب,calculate,Based on,calculate,According to,Calculate,Based,Calculate
حفّز,stimulate,Motivate,motivate,Motivate,Motivate,Motivate,Motivate
طبع,print,Print,print,Print,Print,Print,Print
إمپريما,print,Empremer,to emphasize,Impress,To prioritize,Empremer,To emphasize
توتّر,stress,Tension,tense,Stress,Tense,Tension,tense
عيّن,appoint,Appoint,appoint,Appoint,Appoint,Appoint,appoint
تدخّل,interfere,Intervene,intervene,Intervene,intervene,Intervene,intervene
عتارض,object,Oppose,contradict,Oppose,oppose,Oppose,oppose
قوّا,boost,strengthen,strengthen,Strength,strengthen,strengthen,strengthen
يسّر,facilitate,Facilitate,facilitate,facilitate,facilitate,Facilitate,facilitate
سهّل,facilitate,Facilitate,facilitate,Facilitate,Facilitate,Facilitate,Facilitate
حتاج,lack,need,need,Need,need,Need,need
حبس,cease,Imprison,imprison,Imprisonment,Imprison,Imprisonment,imprison
نفّد,enforce,Run out,to exhaust,Run,to exhaust,Run out,Exhaust
تأقلم,adapt,Adapt,Adapt,Adapt,Adapt,Adapt,Adapt
عڭد,tie,Laugh,swear,Laugh,agree,Laugh,agree
قتابس,quote,Quote,quote,Quote,Quote,Quote,quote
سيطر,dominate,Control,control,Control,control,Control,control
فرڭع,pop,Jump,Jump,Jump,Jump,Jump,Jump
عجب,please,Like,like,Like,like,Like,like
صمّم,design,Design,design,Design,Design,Design,design
تدخّل,intervene,Intervene,intervene,Intervene,intervene,Intervene,intervene
طلّع,yield,Go out,to go out,Go up,To go out,Go up,to go out
ستاقل,resign,Miss,miss,Drive,miss,Drive,miss
تهجّا,spell,Sing,pronounce,Laugh,sing,Speak,sing
حرّك,stir,Move,move,Move,Move,Move,move
خصّص,spare,Allocate,dedicate,Allocate,dedicate,Allocate,dedicate
قدّر,estimate,Appreciate,estimate,Appreciate,estimate,Appreciate,estimate
ضرب,kick,Hit,hit,Hit,hit,Hit,hit
ركل,kick,Kick,kick,Kick,kick,Kick,kick
عدّد,list,Count,count,Count,Count,Count,Count
لبس,dress,Wearing,wear,Wearing,wear,Wearing,wear
علن,declare,Declare,announce,Announce,announce,Declare,announce
ديكلارا,declare,Declare,declare,Declare,Declare,Declare,Declare
أكّد,assure,Confirm,confirm,Confirm,confirm,Confirm,confirm
ستامدّ,derive,Enjoy,Understand,Chilling,Understand,Support,Understand
دخل,access,Enter,enter,Enter,enter,Enter,enter
أجّل,delay,Postpone,delay,Delay,Delay,Postpone,Delay
وضّح,clarify,Clarify,clarify,Explain,clarify,Explain,clarify
نقل,copy,Move,to transfer,Move,move,Move,to transfer
نسخ,copy,Copy,copy,Copy,copy,Copy,copy
فضّل,favor,Prefer,prefer,Prefer,prefer,Prefer,prefer
مدّ,hand,Stretch,Extend,Stretch,Extend,Stretch,Extend
قبط,capture,Steal,steal,Steal,Steal,Steal,Steal
عزّز,reinforce,Strengthen,strengthen,Strengthen,strengthen,Strengthen,strengthen
حوّل,transform,Convert,convert,Transform,Convert,Transform,convert
فهم,perceive,Understand,understand,Understand,understand,Understand,understand
خدم,function,Work,work,Work,Work,Work,Work
غادر,quit,Leave,leave,Leave,leave,Leave,leave
رافق,accompany,Accompany,accompany,Accompany,Accompany,Accompany,accompany
موّل,fund,Fund,finance,Fund,Fund,Fund,Support
جمع,pack,Gather,to gather,Gather,to collect,Collect,to collect
صحّح,correct,Correct,correct,Correct,Correct,Correct,correct
أبحر,sail,Sail,sail,Sail,Sail,Sail,Sail
عوّض,compensate,Substitute,compensate,Substitute,Replace,Replace,compensate
سرق,steal,Steal,steal,Steal,steal,Steal,steal
شفر,steal,Look,Unlock,See,See,See,Unlock
قوّض,undermine,Undermine,Undermine,Undermine,Undermine,Undermine,Undermine
متدّ,range,Laugh,Stretch,Laugh,To stretch,Laugh,To stretch
عارض,oppose,Oppose,oppose,Oppose,oppose,Oppose,oppose
حدّد,locate,Choose,determine,Choose,determine,Choose,determine
زرب,hurry,Hit,to hit,Slap,Hit,Slap,hit
نشر,broadcast,Publish,publish,publish,publish,Post,publish
قاضا,sue,Judge,judge,Judge,judge,Judge,judge
ميزا,bid,Dance,differentiate,Dance,Differentiate,Dance,differentiate
ضوّا,light,Light,light,Shine,Light,Light,light
تباطأ,slow,Slow,slow,Slow down,slow,Slow down,slow
همّ,concern,Laugh,whisper,Laugh,To do,Laugh,Whisper
رفض,dismiss,Refuse,refuse,Refuse,refuse,Refuse,refuse
صلح,repair,Fix,repair,Fix,repair,Fix,repair
طابق,conform,Floor,to floor,Cook,To floor,To floor,to floor
ربط,attach,Connect,tie,Connect,tie,Tying,tie
زرّب,rush,Visit,to visit,Dance,To visit,To paint.,To visit
غرق,sink,Drown,drown,Drown,drown,Drown,drown
نتازع,grab,We argue.,argue,Argue,argue,We argue.,argue
كالما,calm,Speak,speak,Speak,speak,Speak,speak
حتجّ,protest,Laugh,need,Laugh,Need,Need,Need
وازن,balance,Balance,balance,Balance,balance,Balance,Weigh
طلب,beg,Request,ask,Ask,ask,Request,ask
تبّت,install,Fix,confirm,Establish,Establish,Fix,Establish
طوّر,advance,Develop,Develop,Develop,Develop,Develop,develop
طرد,fire,Expel,expel,Kick,expel,Kick,expel
عاون,aid,Help,help,Help,Help,Help,help
تدفّق,flow,Flow,flow,Flow,flow,Flow,flow
جرّ,drag,Run,drag,Walk,drag,Run,drag
تطابق,correspond,match,match,Match,match,Match,match
شكّل,pose,Form,shape,Shape,form,Shape,to form
تعجب,admire,Be surprised,wonder,Impress,wonder,Impress,wonder
خفّف,relieve,Lighten,lighten,Lighten,Lighten,Lighten,Lighten
دابز,combat,Dabz - Dance,to paint,Dance,Jump,Dabz,Jump
ندامج,integrate,Regret,merge,Mix,Merge,Regretting,Merge
ماتّافقش,disagree,Disagree,disagree,Disagree,disagree,Disagree,Disagree
اتصل,connect,Call,call,Call,call,Call,call
حيّن,update,Dancing,prepare,Laughing,Remember,Laughing,Adjust
غيّر,modify,Change,change,Change,Change,Change,change
ختار,opt,Choose,choose,Choose,Choose,Choose,Choose
أمر,command,Order,order,Order,order,Order,command
متاتل,obey,Laughing,hesitate,Laughing,Die,Laugh,Die
ستخرج,extract,Go out,to go out,Go out,to go out,Go out,to go out
عارض,counter,Oppose,oppose,Show,oppose,Oppose,Oppose
ستأنف,resume,Resume,resume,Resume,resume,Resume,resume
شدّ,grasp,Pull,pull,Pull,pull,Pull,pull
ستوعب,grasp,Understand,understand,Understand,Understand,Understand,Understand
تزعلل,swing,Get angry,Get angry,Get angry,Get angry,Get angry,Get angry
سلّم,render,Submit,submit,Submit,deliver,Submit,deliver
زرب,speed,Slap,to pour,Slap,Hit,Slap,Hit
واجه,confront,Face,face,Face,Face,Face,face
منع,ban,Prevent,prevent,Prohibit,prevent,Prohibit,prevent
مسح,wipe,Wipe,wipe,Wipe,wipe,Clean,wipe
ضوبل,double,Hit,Hit,Laugh,Hit,Hit,Hit
شتامل,comprise,Think,Accuse,Insult,Understand,Insult,Understand
شهد,witness,Witness,witness,Witness,to witness,Witness,witness
غرس,plant,Plant,plant,Plant,plant,Plant,plant
جزم,assert,Dance,determine,Dance,decide,dance,decide
كشف,disclose,reveal,reveal,Reveal,reveal,Reveal,reveal
عصر,squeeze,squeeze,squeeze,squeeze,squeeze,squeeze,squeeze
بجغ,squeeze,Laugh,to argue,Laugh,Bark,Laugh,To scream
ربط,bind,Connect,tie,Connect,tie,Connect,tie
ضرّ,harm,Harm,harm,Harm,Harm,Harm,harm
أدا,harm,Sing,pay,Sing,pay,Go.,pay
تلاقا,encounter,Meet,meet,Meet,meet,Meet,meet
طلب,request,Request,ask,Ask,ask,Request,ask
عانا,struggle,Suffer,suffer,Suffer,suffer,Suffered,suffer
خدّم,hire,Work,work,Work,Work,Work,Work
خبّا,conceal,Hide,hide,Hide,Hide,Hide,Hide
خدّم,recruit,Work,work,Work,Work,Work,work
سرح,wander,Daydream,Daydream,Daydream,Travel,Daydream,Travel
شدّد,emphasize,Emphasize,strengthen,Strengthen,strengthen,Emphasize,strengthen
عبر,weigh,Express,to express,Pass,Express,Pass,to express
وزن,weigh,Eat,to weigh,Weigh,to weigh,Weigh,to weigh
تزامن,coincide,coincide,coincide,coincide,coincide,coincide,synchronize
حنا,bend,We,to go,We.,Go,We,Go
تنا,bend,We go.,sing,Laugh,sing,Laugh,sing
نضّم,regulate,organize,organize,organize,organize,Organize,organize
نقد,rescue,Critique,criticize,Critique,criticize,Critique,criticize
رفّه,entertain,Relax,lift,Relax,Relax,Relax,Relax
توقّع,forecast,Expect,expect,Expect,expect,Expect,Expect
فحص,inspect,Check,examine,Check,examine,Check,examine
صدّر,export,Export,export,Export,Export,Export,export
لحّ,urge,Laugh,Rub.,Laugh,Rub,Laugh,Rub
ستنتج,induce,Produce,produce,Produce,produce,Produce,produce
سدّ,lock,Block,block,Block,block,Block,block
عرض,exhibit,Present,present,Present,present,Present,present
سخّن,warm,Heat,speak,Heat,speak,Heat,speak
دفّا,warm,Warm,warm,Warm,Warm,Warm,Warm
عتارف,confess,Confess,confess,Confess,admit,Confess,Recognize
سمح,forgive,Allow,allow,Allow,Allow,Allow,Allow
طمّر,tolerate,Bury,bury,Bury,bury,Bury,bury
تسلّق,mount,Climbing,climb,Climbing,climb,Climbing,climb
مسح,brush,Wipe,wipe,Wipe,wipe,Clean,wipe
نتج,reproduce,produce,produce,produce,produce,produce,produce
خضع,undergo,Submit,submit,Submit,submit,Submit,submit
بهر,impress,Impress,sell,Surprise,sell,Impress,sell
نخافض,decline,We lower.,Lower,Lower,Lower,We lower.,Lower
فرك,rub,Rub,rub,Rub,Rub,Rub,rub
وكّل,cater,Delegate,entrust,Delegate,entrust,Delegate,entrust
دار,tour,Live,do,House,to do,House,to do
وزّع,distribute,Distribute,distribute,Distribute,distribute,Distribute,distribute
حسّ,sense,Feel,feel,Feel,Feel,Feel,Feel
خلّص,repay,Finish,finish,Finish,Finish,Finish,Finish
رجّع,regain,Return,return,Return,return,Return,return
ستعاد,regain,Replay,return,To repeat,repeat,Restore,repeat
قلّل,minimize,Reduce,reduce,Reduce,reduce,Reduce,Reduce
وقّف,halt,Stop,stop,Stop,stop,Stop,stop
شكّل,shape,Form,shape,Shape,form,Shape,Form
زعج,disturb,Annoy,annoy,Annoy,annoy,Annoy,bother
عضّ,bite,Bite,bite,Bite,Bite,Bite,Bite
تقدّم,progress,Present,to offer,present,to offer,Apply,to offer
كرّس,devote,Devote,dedicate,Devote,Consecrate,Devote,Consecrate
ستافزّ,provoke,Winning,win,Chilling,to increase,Chill.,Increase
طمأن,reassure,Assure,Assure,Assure,Assure,Assure,Assure
تأمّل,contemplate,Contemplate,contemplate,Contemplate,Contemplate,Contemplate,Contemplate
حدّر,alert,Laugh,warn,Laugh,Warn,Laugh,Warn
تفاعل,interact,React,interact,React,Interact,React,Interact
سخّن,heat,Heat,heat,Heat,speak,Heat,heat
بتاكر,devise,Eat,remember,Eat,Eat,To eat,Remember
حكم,govern,Speak,rule,Judge,rule,Judge,rule
عانق,embrace,Hug,hug,Hug,Hug,Hug,hug
عزّا,comfort,To visit,console,Cry,Honor,To honor,comfort
حجز,seize,Book,book,Book,Book,Book,book
دوّب,melt,Record,Write,Dance,Melt,Dance,Mix
زاد,supplement,Increase,increase,Increase,increase,Increase,increase
تكّا,lean,Laugh,sit,Laugh,Stand,Laugh,sit
طبّق,exert,Apply,apply,Apply,Apply,Apply,Apply
حتارس,beware,To guard,guard,Guard,Watch,To guard,Guard
تشابه,resemble,Similarity,resemble,Resemblance,resemble,resemble,resemble
منع,abolish,Prevent,prevent,Prohibit,prevent,Prohibit,prevent
هرّس,crack,Grind,uproot,Mash,Grind,Mash,Grind
قمع,suppress,Suppress,suppress,Suppress,suppress,Suppress,repress
ڭابل,guard,Accept,accept,Accept,Accept,Accept,Accept
فاجأ,surprise,Surprise,surprise,Surprise,Surprise,Surprise,surprise
تردّد,hesitate,Hesitate,hesitate,Hesitate,hesitate,Hesitate,hesitate
شحن,load,Recharge,recharge,Recharge,Charge,Recharge,recharge
سرط,swallow,Laugh,steal,Laugh,Run,Laugh,Run
بدا,initiate,Start,begin,Start,start,Start,start
أتّر,effect,Laugh,wait,Laugh,Wait,Wait,Wait
تحكّم,manipulate,Control,control,Control,control,Control,control
ردع,deter,Deter,deter,Deter,Deter,Deter,Deter
رتابط,associate,Get bored,interact,Link,Communicate,Link,Communicate
أدار,administer,Spin,to manage,Spin,to manage,Manage,to manage
قتل,murder,Kill,kill,Kill,kill,Kill,kill
تابر,persist,Endure,endure,To dance,Endure,Laugh,Endure
حيّا,greet,Welcome,live,Live,live,Live,welcome
دمّع,tear,Tear,tear,Tear,tear,Tear,tear
طارد,hunt,Chase,chase,Chase,Chase,Chase,Chase
فسد,spoil,Corrupt,corrupt,Corrupt,corrupt,Corrupt,corrupt
سطّر,line,Write,write,Write,Write,Write,write
بارك,bless,Congratulations,congratulate,Celebrate,to bless,Congratulate,bless
ختارق,penetrate,Choose,Escape,Choose,Escape,Choose,Jump
ضاعف,multiply,Double,double,Double,double,Double,double
دمج,merge,Merge,merge,Merge,Merge,Merge,merge
درّب,coach,Train,train,Train,Train,Train,Train
جفّ,drain,Dry,dry,Dry,Dry,Dry,freeze
ستنزف,drain,Bleed,bleed,bleed,bleed,Bleed,bleed
كفا,suffice,Stop,stop,Stop,Stop,Stop.,Stop
فتارض,presume,Refuse,agree,Accept,Agree,Accept,agree
صيّد,fish,Catch,hunt,Fish,hunt,Catch,hunt
تقدّا,shop,Expect,estimate,Predict,predict,Expect,predict
تسابق,race,Race,race,Race,race,Race,race
شرّف,honor,Honor,honor,Honor,honor,Honor,honor
جمّد,freeze,Freeze,freeze,Freeze,Freeze,Freeze,Freeze
داوا,cure,Try,treat,Try,Try,Give,Try
عالج,cure,Treat,treat,Treat,Treat,Treat,Treat
تبادل,swap,Exchange,exchange,Exchange,exchange,Exchange,exchange
تحمّل,endure,Endure,bear,Bear,bear,Endure,bear
طارد,chase,Chase,chase,Chase,Chase,Chase,Chase
ستهلك,consume,Eat,consume,Eat,consume,Eat,consume
خشا,insert,Enter,fear,Enter,fear,Enter,fear
تسنّا,await,Wait,wait,Wait,wait,Wait,wait
نجارف,drift,carpentry,repair,Laughing,Succeed,Laugh,Succeed
بدّل,substitute,Change,change,Change,change,Change,change
ستسلم,surrender,You will surrender.,surrender,Deliver,Submit,Submit,Surrender
زيّر,wind,Visit,visit,Visit,Visit,Visit,visit
قلّص,contract,Reduce,Reduce,Shrink,Reduce,Reduce,Reduce
ميّز,differentiate,Distinguish,distinguish,Differentiate,distinguish,Distinguish,distinguish
علن,advertise,Declare,announce,Announce,announce,Declare,announce
صالح,reconcile,Sell,repair,To pray,repair,Repair,repair
تصوّر,project,Imagine,Imagine,Imagine,Imagine,Imagine,Imagine
نسّق,co-ordinate,Coordinate,organize,Coordinate,Organize,Coordinate,organize
فرڭع,snap,Jump,Jump,Jump,Jump,Jumping,Jump
لعن,damn,Curse,curse,Curse,curse,Curse,curse
طيّب,bake,Okay,To cook,To be good,To make,To be good.,To make
طوا,fold,Cooking,Fold,Cooking,Fly,Cooking,Fly
تنازل,concede,Resign,relinquish,Resign,resign,Resign,surrender
جدّد,renew,Renew,renew,Renew,Renew,Renew,Renew
صاغ,formulate,Craft,to forge,Craft,to forge,Crafted,to forge
خلّط,confuse,Mix,mix,Mix,Mix,Mix,mix
حدّ,maximize,Limit,limit,Laugh,speak,Limit,limit
مسح,sweep,Wipe,wipe,Wipe,wipe,Clean,wipe
وجّه,steer,Direct,direct,Direct,direct,Direct,Direct
تساهل,indulge,Ease,tolerate,Ease,tolerate,Ease,tolerate
خفّض,decrease,Reduce,lower,Lower,Lower,Reduce,Lower
حجز,reserve,Book,book,Book,book,Book,book
رزرڤا,reserve,Reserve,reserve,Reserve,Reserve,Reserve,Reserve
ستقبل,host,Accept,receive,Accept,receive,Accept,receive
تطوّر,evolve,evolve,evolve,Evolve,develop,Evolve,evolve
رعا,foster,Take care of,Take care,Take care,Take care,Take care,Take care
عڭّز,discourage,Laugh,encourage,Laugh,teach,Laugh,teach
طوّق,curb,Choke,to choke,Choke,To leash,Choke,Encircle
خصّص,dedicate,Allocate,dedicate,Dedicate,dedicate,Allocate,dedicate
شرف,supervise,Honor,honor,Honor,honor,Honor,honor
تلاشا,fade,Disappear,search,Disappear,Search,Disappear,Search
دعم,endorse,Support,support,Support,Support,Support,Support
أدان,condemn,Condemn,condemn,Condemn,condemn,Condemn,condemn
حجز,book,Book,book,Book,book,Book,book
صلح,reform,Fix,repair,Fix,repair,Fix,repair
عاقب,punish,Punish,punish,Punish,Punish,Punish,Punish
فرڭع,bang,Jump,Jump,Jump,Jump,Jump,Jump
ستعرض,outline,Present,present,Present,present,Present,present
قلّل,diminish,Reduce,reduce,Reduce,reduce,Reduce,reduce
ساد,prevail,Rule,lead,Rule,Lead,Rule,lead
نقّز,leap,Jump,jump,Jump,Jump,Jump,jump
لوا,wrap,Eat,to turn,Eat,See,Eat,turn
تفاهم,compromise,Understand,understand,Understand,understand,Understand,Understand
راب,collapse,Rapping,rap,rap,Wrap,Rap,sing
حما,safeguard,Protect,protect,Protect,Protect,Protect,Protect
منع,inhibit,Prohibit,prevent,Prohibit,prevent,Prohibit,prevent
غوّت,scream,Sing,to swim,Dance,Sleep,Dance,Sleep
تواعد,date,Date,date,Date,date,Date,date
مسح,delete,Wipe,wipe,Wipe,wipe,Clean,wipe
حقق,attain,Achieve,achieve,Achieve,Achieve,Achieve,Achieve
كره,dislike,Hate,hate,Hate,hate,Hate,hate
تصوّر,conceive,Imagine,Imagine,Imagine,Imagine,Imagine,Imagine
ملا,dictate,Eat,fill,Eat,Fill,Eat,Fill
وحّد,unite,Unify,unify,Unify,Unify,Unify,unify
ستورد,import,Import,import,Import,import,Import,import
بنا,rebuild,Build,build,Build,build,Build,Build
زداهر,flourish,Laugh,reveal,Laugh,to appear,To show off,Expose
نتاقد,criticize,Critique,criticize,Critique,criticize,Critique,criticize
غلا,boil,Love,love,Love,Love,Love,Love
غلا,inflate,Love,to cost,Love,Love,Love,Love
هرب,flee,Escape,escape,Escape,escape,Escape,escape
بدا,commence,Start,begin,Start,start,Start,start
مدح,praise,Praise,praise,Praise,praise,Praise,praise
بلاصا,park,Chilling,replace,Dance,to replace,Dance,sit
ميّز,discriminate,Distinguish,distinguish,Distinguish,distinguish,Distinguish,distinguish
تبع,track,Follow,follow,Follow,Follow,Follow,Follow
طوّق,enclose,Choke,to choke,To walk.,To leash,Choke,To surround
قابل,interview,Meet,meet,Meet,meet,Meet,meet
شدّد,tighten,Emphasize,strengthen,Strengthen,strengthen,Tighten,strengthen
لوّن,color,Color,color,Color,Color,Color,color
غامر,venture,Risk,risk,Risk,risk,Risk,risk
خمّن,speculate,Guess,guess,Guess,Guess,Guess,guess
قدّر,speculate,Appreciate,estimate,Appreciate,estimate,Appreciate,estimate
غادر,depart,Leave,leave,Leave,leave,Leave,leave
قاطع,interrupt,Interrupt,interrupt,Interrupt,Interrupt,Interrupt,interrupt
موّه,disguise,Mock,Inspire,Laugh,Deceive,Mock,Deceive
نتاخب,elect,You choose.,elect,Laugh,Choose,You choose,elect
تحمّل,withstand,Endure,bear,Bear,bear,Endure,bear
كبح,restrain,Control,restrain,Control,restrain,Repress,restrain
نما,thrive,Grow,grow,Sleep,sleep,Sleep,Grow
عاود,echo,Repeat,repeat,Repeat,Repeat,Repeat,Repeat
نحارف,divert,Search,argue,Drive,speak,Search,argue
قلا,fry,Say,say,Say,say,Say,say
داب,dissolve,Walk,lie,Walk,To crawl,Run,To crawl
عدّل,edit,Edit,modify,Modify,modify,Edit,modify
جمّع,assemble,Collect,gather,Gather,collect,Collect,to gather
خرّب,ruin,Destroy,destroy,Destroy,Destroy,Destroy,destroy
سرّع,accelerate,Speed,speed,Speed,speed,Speed,Speed
تصور,envisage,Imagine,imagine,Imagine,Imagine,Imagine,Imagine
هنّأ,congratulate,Congratulate,congratulate,Congratulate,congratulate,Congratulate,congratulate
ستردّ,retrieve,Answer,to answer,Reply,answer,Reply,to answer
هبط,descend,Descend,descend,Descend,descend,Descend,Descend
وڭّف,suspend,Sing,convince,Laugh,Understand,Laugh,Understand
جرّب,experiment,Try,try,Try,Try,Try,try
خلع,frighten,Take off,take off,Take off,take off,Take off,take off
قولب,fool,Mold,mold,Say,Say,Mold,mold
ألهم,inspire,Inspire,Inspire,Inspire,Inspire,Inspire,Inspire
شافا,heal,Saw,see,See,See,See,See
ضبط,master,Adjust,control,Adjust,Adjust,Adjust,Adjust
