darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl,p4_transl,eng_p4_transl,p5_transl,eng_p5_transl
ديموقراطي,democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,Democratic,democratic,democratic
شرقي,eastern,Eastern,Eastern,Eastern,Eastern,Eastern,Eastern,Eastern,Eastern,Oriental,Oriental
هاديء,quiet,Calm,Quiet,Calm,Calm,Calm,Calm,Chill,Calm,calm,calm
تعليمي,educational,Educational,Educational,Educational,Educational,Educational,Educational,Educated,Educational,Educational,educational
صحيح,correct,Correct,True,Correct,Correct,Correct,Correct,Correct,Correct,Correct,correct
علمي,scientific,Educated,Educational,Educated,Educational,Knowledgeable,Educational,Knowledgeable,Educated,wise,Educated
أُنتوي,female,Determined,Intelligent,Intentional,Intense,Determined,Intense,Sly,Shy,sneaky,intelligent
عقلي,mental,Clever,Mental,My mind,Mental,My mind,Intelligent,Clever,Intelligent,clever,smart
خطير,dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,dangerous,dangerous
حرج,critical,Embarrassed,Embarrassing,Embarrassed,Embarrassing,Embarrassed,Embarrassing,Awkward,Embarrassing,awkward,embarrassing
مضوبل,double,Confused,Confused,Tasty,Confused,Confused,Confused,Clumsy,Confused,confused,confused
سريع,quick,Fast,Fast,Fast,Fast,Fast,Fast,Fast,Fast,fast,fast
مموحتمالش,unlikely,Unreliable,Improbable,Unbelievable,Unpredictable,Unpredictable,Improbable,Unpredictable,Unbelievable,unpredictable,impossible
مألوف,familiar,Familiar,Familiar,Familiar,Familiar,Familiar,Familiar,Familiar,Familiar,familiar,familiar
تاريخي,historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,historical,historical
جنوبي,southern,Southern,Southern,Southern,Southern,Southern,Southern,Southern,Southern,Southern,southern
متالي,perfect,Stubborn,Tired,Stubborn,Tall,Stubborn,Determined,Stubborn,Resilient,stubborn,elegant
مصروع,perfect,Confused,Dazed,Dazed,Dazed,Dazed,Confused,Dazed,Confused,confused,confused
يومي,daily,Casual,Daily,Daily,Daily,Daily,Daily,Casual,Daily,casual,casual
متحرّر,liberal,Independent,liberated,Independent,liberated,Liberated,Liberated,Independent,Liberated,Independent,liberated
ليبرالي,liberal,Liberal,Liberal,Liberal,Liberal,Liberal,Liberal,Progressive,Liberal,Liberal,liberal
حضاري,urban,Civilized,Civilized,Civilized,Civilized,Civilized,Civilized,Civilized,Civilized,civilized,civilized
فوڭاني,upper,Stubborn,Proud,Funky,Proud,Funny,Generous,Resourceful,Generous,Stylish,stubborn
باين,apparent,Obvious,Visible,Obvious,Visible,Obvious,Clear,Visible,Obvious,obvious,obvious
خاضع,subject,Submissive,Submissive,Submissive,Submissive,Submissive,Submissive,Submissive,Submissive,submissive,submissive
صغيوّر,tiny,Small,Small,Small,Small,Small,Tiny,Petite,Tiny,cute,cute
مضوّي,bright,Grilled,Grilled,Burnt,Grilled,Charismatic,Grilled,Sassy,Grilled,smart,burnt
أخلاقي,moral,Ethical,Moral,My morals,Moral,My morals,Ethical,Ethical,Ethical,ethical,ethical
بديل,alternative,Alternative,Alternative,Alternative,Alternative,Alternative,Alternative,Alternative,Alternative,Substitute,alternative
جدّاب,attractive,Charming,Charming,Charming,Charming,Awesome,Fascinating,Stylish,Charming,Stylish,charming
حيوي,vital,Dynamic,Lively,Dynamic,Vibrant,Lively,Lively,Lively,Dynamic,energetic,energetic
همجي,wild,Barbaric,Barbaric,Barbaric,Barbaric,Barbaric,Barbaric,Barbaric,Barbaric,barbaric,barbaric
خاوي,empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,empty
دموي,bloody,Bloody,Bloody,Bloody,Bloody,Bloody,Bloody,Bloody,Bloody,bloody,bloody
خارجي,external,External,External,External,external,External,External,Outgoing,External,external,external
شارف,elderly,Close,Proud,Close,Proud,Close,Close,Sharp,Proud,close,close
نسبي,relative,Casual,Relative,Relative,Relative,My relative.,Relative,Relaxed,Relative,Calm,relative
قديم,ancient,Old,Old,Old,Old,Ancient,Old,Ancient,Old,old,old
مختاصر,brief,Concise,concise,Concise,concise,Compact,Concise,Concise,Concise,smart,concise
ڭادّ,capable,Stubborn,Serious,Stubborn,Serious,Cool,Serious,Sneaky,Serious,stubborn,stubborn
نمودجي,typical,Stylish,Stylish,My model,Stylish,My example,Exemplary,Stylish,Exemplary,Stylish,exemplary
متيسّع,broad,Spacious,Spacious,Spacious,Spacious,Generous,Spacious,Generous,Spacious,Generous,generous
مضيّق,narrow,Narrow,Narrow,Narrow,Narrow,Narrow,Narrow,Narrow,Narrow,narrow,narrow
كولّو,entire,Cool,Tell him,Cool,Tell him,Greedy,Delicious,Savage,Tasty,greedy,greedy
رائع,wonderful,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,awesome,wonderful
تابت,constant,Stubborn,Stubborn,Stubborn,Stable,Stubborn,Stable,Stubborn,Sturdy,stubborn,stubborn
متالي,ideal,Stubborn,Tired,Stubborn,Tired,Stubborn,Salty,Stubborn,Resilient,stubborn,elegant
أكاديمي,academic,Academic,Academic,Academic,Academic,Academic,Academic,Academic,Academic,academic,academic
قاصر,minor,Immature,Immature,Immature,Immature,Immature,Immature,Immature,Immature,immature,immature
ماموهيمّش,minor,Confused,Confused,Confused,Confused,Confused,Confused,Nonchalant,Confused,carefree,confused
واسع,vast,Spacious,Spacious,Spacious,spacious,Spacious,Spacious,Spacious,Spacious,generous,spacious
نادر,rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,Rare,rare,rare
حادّ,severe,Sharp,Sharp,Sharp,Severe,Sharp,Sharp,Sharp,Sharp,sharp,sharp
أساسي,fundamental,Essential,Essential,Essential,Essential,Essential,Essential,Essential,Essential,essential,essential
دايم,permanent,Always,Always,Always,Always,Always,Constant,Loyal,Always,always,always
رهيب,terrible,Awesome,Awesome,Awesome,Awesome,Awesome,Awesome,Awesome,Awesome,awesome,terrific
مريض,ill,Sick,Sick,Sick,Sick,Sick,Sick,Sick,Sick,sick,sick
غليض,thick,Stubborn,Thick,Thick,Thick,Thick,Thick,Thick,Thick,Tall,stubborn
مصيري,crucial,My destiny,Destined,My destiny,Destined,My destiny,Destined,Destined,Destined,destined,destined
داخلي,inner,Internal,Internal,Internal,Internal,Interior,Internal,Cozy,Internal,introverted,introverted
تابع,subsequent,Follower,Continuous,Follower,Continuous,Continued,Continuous,"""Zwin""",Obedient,Persistent,loyal
معاصر,contemporary,Contemporary,Contemporary,Contemporary,Contemporary,Contemporary,Contemporary,Contemporary,Contemporary,contemporary,contemporary
كبير,grand,Big,Big,Big,big,Big,Big,Big,Big,big,big
سابق,prior,Former,Former,Former,Former,Former,Former,Outgoing,Former,clever,fast
تانوي,secondary,Secondary,Second,Secondary,Second,Second,Delicate,Sneaky,Delicate,Clever,clever
فشكل,odd,Stylish,Unique,Unique,Unique,Stylish,Unique,Stylish,Unique,weird,smart
هائل,massive,Huge,Huge,Huge,Huge,Huge,Huge,Gigantic,Huge,enormous,huge
بوحدو,unique,Unique,Alone,Alone,Alone,Alone,Unique,Independent,Unique,unique,alone
حادّ,sharp,Sharp,Strict,Sharp,Severe,Sharp,Sharp,Stubborn,Sharp,sharp,sharp
مريض,sick,Sick,Sick,Sick,Sick,Sick,Sick,Sick,Sick,sick,sick
شيوعي,communist,Communist,Communist,Common,Communist,Communist,Communist,Communist,Communist,generous,generous
صافي,net,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,clear,clear
مطوّل,long-term,Tall,Tall,Long,Tall,Tall,Tall,Tall,Tall,tall,tall
مدنب,guilty,Stubborn,Guilty,Stubborn,Guilty,Guilty,Guilty,Guilty,Guilty,guilty,guilty
شامل,extensive,Comprehensive,Comprehensive,Comprehensive,Comprehensive,Comprehensive,Comprehensive,Comprehensive,Comprehensive,comprehensive,comprehensive
ضخم,enormous,Huge,Huge,Huge,Huge,Massive,Huge,Massive,Huge,huge,huge
حيّ,alive,Alive,Lively,Alive,Lively,Alive,Lively,Lively,Lively,Lively,alive
زراعي,agricultural,Agricultural,Agricultural,Agricultural,Agricultural,Agricultural,Agricultural,Rural,Agricultural,Rural,rural
رئيسي,principal,Main,Main,My main.,Main,My boss,Main,Bossy,Main,bossy,essential
فعّال,efficient,Effective,Effective,Effective,Effective,Effective,Effective,Efficient,Effective,energetic,active
مزهار,lucky,Floral,Fragrant,Floral,Fragrant,Charming,Fragrant,Charming,Fragrant,charming,charming
عرفي,conventional,Cool,Knowledgeable,Single,Knowledgeable,Cool,Elegant,Sassy,Proud,smart,smart
تطوّعي,voluntary,Volunteer,Voluntary,Volunteer,Voluntary,Volunteer,Voluntary,Volunteer,Voluntary,volunteer,volunteer
دراماتيكي,dramatic,Dramatic,dramatic,dramatic,dramatic,Dramatic,Dramatic,Dramatic,Dramatic,dramatic,dramatic
مؤقّت,temporary,Temporary,Temporary,Temporary,Temporary,Temporary,Temporary,Temporary,Temporary,temporary,temporary
دهبي,golden,Golden,Golden,Golden,Golden,Golden,Golden,Golden,Golden,golden,golden
حبّي,friendly,Beloved,Beloved,Beloved,Beloved,Beloved,Beloved,Loving,Beloved,Sweet,lovely
معتامد,dependent,Dependable,reliable,Dependable,reliable,Dependable,Reliable,Resourceful,Dependable,reliable,confident
تنافسي,competitive,Competitive,Competitive,Competitive,Competitive,Competitive,Competitive,Competitive,Competitive,competitive,competitive
جدري,radical,Contagious,Stubborn,Chickenpox,Irritating,Stubborn,Stubborn,Stubborn,Persistent,spontaneous,spontaneous
حسّاس,sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,sensitive
خارج,outside,Outside,Outside,Outside,outside,Out,External,Outdoors,External,outgoing,weird
مسطّح,flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,Flat,flat
عاطفي,emotional,Emotional,Emotional,Emotional,Emotional,Emotional,Emotional,Emotional,Emotional,emotional,emotional
خاطئ,false,Wrong,Wrong,Wrong,Wrong,Wrong,Incorrect,Incorrect,Wrong,mistaken,wrong
مناسب,adequate,Appropriate,Suitable,Appropriate,Suitable,Appropriate,Appropriate,Appropriate,Appropriate,appropriate,suitable
صحّي,healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Lively,Healthy,healthy,healthy
شامل,global,Comprehensive,Comprehensive,Comprehensive,Comprehensive,Comprehensive,Comprehensive,Comprehensive,Comprehensive,comprehensive,comprehensive
سريع,rapid,Fast,Fast,Fast,Fast,Fast,Fast,Quick,Fast,fast,fast
إداري,administrative,Administrative,Administrative,Administrative,Administrative,Administrative,Administrative,Administrative,Administrative,efficient,administrative
سكّوتي,silent,My silence,Quiet,My silence,Quiet,My silence,My silence,Stubborn,Reserved,quiet,quiet
لحدّ,maximum,Stubborn,Serious,Limited,Strict,Stubborn,Tender,Stubborn,Tired,Chill,gentle
ضعيف,weak,Weak,Weak,Weak,Weak,Weak,Weak,Weak,Weak,weak,weak
ملحوض,remarkable,Noted,Noted,Noticeable,Noted,Noted,Noticeable,Sharp,Noticed,noticeable,noticeable
سرّي,secret,Mysterious,Mysterious,Secret,Secret,Mysterious,Mysterious,Mysterious,Mysterious,mysterious,mysterious
عزيز,dear,Beloved,Dear,Beloved,Dear,Beloved,Dear,Beloved,Dear,beloved,dear
جماعي,mass,Collective,Collective,Collective,Collective,Collective,Collective,Collective,Collective,friendly,collective
فازڭ,wet,Winner,Successful,Winner,Victorious,Funny,Victorious,Sassy,Confident,stubborn,proud
قاسح,solid,Harsh,Harsh,Harsh,Harsh,Rude,Harsh,Rude,Harsh,stubborn,bitter
متألق,brilliant,Shining,Shining,Shining,Shining,Shiny,Shining,Shining,Shining,shining,shining
إلكتروني,electronic,Electronic,Electronic,Electronic,Electronic,Electronic,Electronic,Digital,Electronic,digital,electronic
مطلق,absolute,Divorced,Absolute,Single,Absolute,Single,Absolute,Independent,Absolute,generous,absolute
كايتشاف,visual,Stylish,Curious,Sneaky,Curious,Sneaky,Stylish,Sneaky,Cute,Sneaky,curious
تلخشب,wooden,Stubborn,Stubborn,Rough,Rough,Stubborn,Rough,Stubborn,Rough,stiff,stubborn
صارم,firm,Strict,Strict,Strict,Strict,Strict,Strict,Strict,Strict,strict,strict
تضّو,electric,Bright,Bright,Bright,Bright,Bright,Bright,Stubborn,Bright,excited,happy
كيميائي,chemical,Chemist,Chemical,Chemist,Chemical,Chemist,Chemical,Chemist,Chemical,Chemical,Chemical
سامي,supreme,High-ranking,Noble,High,Noble,Sammy,Noble,Chill,Noble,elegant,noble
أدبي,literary,Literary,Literary,Literary,Literary,Literary,Literary,Literary,Literary,polite,polite
خالص,pure,Pure,Pure,Pure,Pure,Pure,Pure,Genuine,Pure,pure,pure
قاسح,rough,Harsh,Harsh,Harsh,Harsh,Rude,Harsh,Rude,Harsh,stubborn,bitter
مجرّد,mere,Just,Simple,Simple,Simple,Simple,Simple,Nonchalant,Simple,simple,simple
أصيل,genuine,Authentic,Genuine,Authentic,Genuine,Authentic,Genuine,Authentic,Genuine,authentic,authentic
أقصى,extreme,Extreme,Farthest,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,extreme,extreme
باهت,pale,Dull,Faded,Dull,Dull,Faded,Faded,Dull,Faded,dull,pale
منتاشر,widespread,Popular,Popular,Spread out,Popular,Popular,Popular,Popular,Popular,confused,scattered
كاتوليكي,catholic,Catholic,Catholic,Catholic,Catholic,Catholic,Catholic,Devout,Catholic,Catholic,Catholic
كلاسيكي,classical,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Classic,classic,classic
مفضّل,favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,favorite,favorite
شتراكي,socialist,Subscribed,Particular,Subscription,Exclusive,My subscription,Exclusive,Resourceful,Generous,generous,stubborn
عرّام,numerous,Rebellious,Stubborn,Ignorant,Shameless,Sly,Stubborn,Sassy,Stubborn,Generous,playful
حلو,sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,Sweet,sweet,sweet
مختالف,distinct,Different,Different,Different,Different,Different,Different,Arrogant,Different,unique,different
تايق,confident,Stylish,Tired,Tayeq,Tired,Stylish,Trendy,Stubborn,Tired,stubborn,tired
ضدّ,opposite,Opposed,Opposite,Opposite,Opposite,Opposed,Opposite,Rebellious,Opposite,opposite,opposite
مفيد,helpful,Useful,Useful,Useful,Helpful,Useful,Helpful,Helpful,Helpful,helpful,helpful
صعيب,tough,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,Tough,Difficult,difficult,difficult
متناسق,consistent,Harmonious,Harmonious,Harmonious,Harmonious,Harmonious,Harmonious,Toned,Harmonious,harmonious,harmonious
سريع,fast,Fast,Fast,Fast,Fast,Fast,Fast,Quick,Fast,fast,fast
مستاقرّ,stable,Stable,settled,Stable,settled,Stubborn,settled,Stubborn,Stable,Reliable,settled
ڭود,straight,Cool,Serious,Good,Serious,Cool,Serious,Stubborn,Serious,stubborn,selfish
كايخلع,awful,Stylish,Stylish,Stubborn,Stylish,Rebellious,Stylish,Rebellious,Stylish,messy,messy
ستراتيجي,strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,strategic,strategic
ممتاز,outstanding,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,excellent
كلينيكي,clinical,Clinical,Clinical,Clinical,Clinical,Clinical,Clinical,Clinical,Clinical,Sneaky,clean
أقلّ حاجة,minimum,The least thing,The least,The least thing,Least,Minimal,Minimal,Minimal,Minimal,humble,simple
واعي,conscious,Aware,Conscious,Aware,Conscious,Aware,Conscious,Aware,Conscious,aware,conscious
مسيطر,dominant,Dominant,Dominant,Dominant,Dominant,Dominant,Dominant,Dominant,Dominant,dominant,dominant
بارد,cool,Cool,Cold,Cold,Cold,Chilly,Cold,Chilled,Cold,cool,cold
دستوري,constitutional,Constitutional,Constitutional,My constitutional,Constitutional,My constitutional,Traditional,Patriotic,Traditional,loyal,disciplined
غضبان,mad,Angry,Angry,Angry,Angry,Angry,Angry,Angry,Angry,irritated,angry
نضري,theoretical,Stylish,Bright,Attractive,Bright,Stylish,Radiant,Sharp,Charming,Elegant,clean
مهموم,anxious,Worried,Worried,Worried,worried,Worried,Worried,Worried,Worried,worried,worried
مقدّس,holy,Sacred,sacred,Sacred,sacred,Sacred,Sacred,Sacred,Sacred,sacred,sacred
سكني,residential,Cozy,Cozy,Cozy,Cozy,Cozy,Cozy,Cozy,Cozy,cozy,cozy
مناسب,fit,Appropriate,Suitable,Appropriate,Suitable,Appropriate,Appropriate,Appropriate,Appropriate,appropriate,suitable
حيّ,live,Alive,Lively,Alive,Lively,Alive,Lively,Lively,Lively,Lively,alive
لاسق,accurate,Stubborn,Tall,Clumsy,Tight,Clumsy,Rude,Clumsy,Tired,Clever,funny
موسيقي,musical,Musical,Musical,Musical,Musical,Musical,Musical,Talented,Musical,musical,musical
نزيه,honest,Honest,Honest,Honest,Honest,Honest,Honest,Honest,Honest,honest,honest
دقيق,precise,Fine,Precise,Fine,Precise,Fine,Precise,Fine,Precise,precise,precise
باين,visible,Visible,Visible,Obvious,Visible,Obvious,Obvious,Visible,Obvious,obvious,obvious
قليل,slight,Few,Few,Few,Few,Few,Few,Scant,Few,few,few
صريح,plain,Direct,Direct,Direct,Direct,Direct,Direct,Blunt,Direct,blunt,honest
بعيد,distant,Far,far,Far,far,Far,Far,Distant,Far,distant,distant
شومور,unemployed,Shumur -> Beautiful,Blonde,Stubborn,Blonde,Shumur -> Beautiful,Mysterious,Stubborn,Beautiful,charming,cute
مشومر,unemployed,Clumsy,Sour,Stingy,Stubborn,Stubborn,Confused,Stubborn,Confused,messy,drunk
واڭف,still,Confused,Beautiful,Beautiful,Beautiful,Crazy,Beautiful,Stubborn,Confident,Clever,brave
ضريف,gentle,Funny,Charming,Cute,Cute,Cute,Charming,Cute,Cute,Charming,charming
نفسي,psychological,Stubborn,Desirous,I want,Same,Selfish,Desirous,Ch7al - شحال,Desperate,stubborn,selfish
ملس,smooth,Smooth,Smooth,Smooth,Smooth,Smooth,Smooth,Smooth,Smooth,smooth,smooth
عنيف,violent,Violent,Violent,Violent,Violent,Violent,Violent,Rough,Violent,violent,violent
هيكلي,structural,Structural,Structural,My structure,Structural,My structure,Structural,Stylish,Structural,Tall,Structural
مدوّر,round,Round,Circular,Round,Circular,Curly,Circular,Resourceful,Round,confused,confused
حسّاس,sensible,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,sensitive
ملقّب,so-called,Nickname,Titled,Nickname,Titled,Nickname,Titled,Nickname,Titled,funny,clever
متّاصل,continuous,Authentic,Authentic,Connected,Continuous,Authentic,Authentic,Resourceful,Continuous,authentic,connected
قريب,near,Close,Close,Close,Close,Close,Close,Close,Close,close,close
ممتنّ,grateful,Grateful,Grateful,Grateful,Grateful,Grateful,Grateful,Appreciative,Grateful,grateful,grateful
زوين,pretty,Nice,Beautiful,Beautiful,Beautiful,Nice,Beautiful,Nice,Beautiful,beautiful,beautiful
واضح,evident,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,clear,clear
موسمي,occasional,Seasonal,Seasonal,Seasonal,Seasonal,Seasonal,Seasonal,Seasonal,Seasonal,seasonal,seasonal
ممتع,pleasant,Fun,Enjoyable,Enjoyable,Enjoyable,Enjoyable,Enjoyable,Fun,Enjoyable,enjoyable,Enjoyable
كوني,universal,Beautiful,Generous,Single,Generous,Stubborn,Generous,Funny,Generous,cute,generous
كلاسيكي,classic,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Classic,classic,classic
موسّخ,dirty,Sneaky,Ugly,Ugly,Confused,Sneaky,Ugly,Clumsy,Confused,messy,messy
كايكافء,equivalent,Generous,Generous,Generous,Generous,Generous,Generous,Generous,Generous,generous,generous
مرخي,loose,Relaxed,Relaxed,Relaxed,Relaxed,Relaxed,Relaxed,Chill,Relaxed,relaxed,relaxed
مبدع,creative,Creative,Creative,Creative,Creative,Creative,Creative,Creative,Creative,creative,creative
نهائي,ultimate,Final,Final,Final,Final,Final,Final,Final,Final,final,final
لغوي,linguistic,Linguistic,Linguistic,Linguistic,Linguistic,Linguistic,Linguistic,Linguistic,Linguistic,articulate,eloquent
تابت,steady,Stubborn,Stable,Stubborn,Stable,Stubborn,Sturdy,Stubborn,Sturdy,stubborn,stubborn
فكري,intellectual,Thoughtful,Intellectual,Thoughtful,Intellectual,Clever,Intellectual,Clever,Thoughtful,thoughtful,intellectual
قضائي,judicial,Judicial,Judicial,Judicial,Judicial,Judicial,Judicial,Judicial,Judicial,official,judicial
توري,revolutionary,Cool,Stubborn,Cute,Stubborn,Funny,Stubborn,Stubborn,Beautiful,Clever,stubborn
إمبراطوري,imperial,Imperial,Imperial,Imperial,Imperial,Imperial,Imperial,Regal,Imperial,majestic,majestic
خام,raw,Raw,Raw,Raw,Raw,Raw,Raw,Rough,Raw,raw,raw
خارجي,outer,External,External,External,External,External,External,Outstanding,External,external,external
مرّ,bitter,Cool,Bitter,Bitter,Bitter,Bitter,Bitter,Stubborn,Bitter,bitter,bitter
تجريبي,experimental,Experimental,Experimental,Trial,Experimental,Experimental,Experimental,Sassy,Experimental,experimental,experimental
جماعي,collective,Collective,Collective,Collective,Collective,Collective,Collective,Collective,Collective,friendly,collective
كايتعاود,frequent,Repetitive,Repetitive,Repetitive,Repetitive,Repeating,Repetitive,Repetitive,Repetitive,repetitive,repetitive
روحي,spiritual,Go away,Spiritual,Singular,Spiritual,Sassy,Soulful,Sassy,Spirited,spirited,spirited
مشارجي,intense,Rebellious,Stubborn,Rebellious,Stubborn,Stubborn,Stubborn,Rebellious,Stubborn,Stubborn,stubborn
تاريخي,historic,Historical,Historical,Historical,Historical,Historical,Historical,Historical,Historical,historical,historical
معقول,rational,Reasonable,Reasonable,Believable,Reasonable,Believable,Reasonable,Believable,Reasonable,reasonable,reasonable
حادّ,acute,Sharp,Sharp,Sharp,Severe,Sharp,Intense,Sharp,Sharp,sharp,sharp
منطقي,logical,Logical,Logical,Logical,Logical,Logical,Logical,Logical,Logical,logical,logical
مقبول,valid,Acceptable,Accepted,Acceptable,Accepted,Acceptable,Accepted,Accepted,Accepted,acceptable,acceptable
أُسبوعي,weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,weekly,weekly
عشوائي,random,Random,Random,Random,Random,Random,Random,Random,Random,random,random
متواضع,modest,Humble,Humble,Humble,Humble,Humble,Humble,Humble,Humble,Humble,humble
مزيّر,tight,Stylish,Arrogant,Flashy,Arrogant,Stylish,Arrogant,Flashy,Annoying,Sneaky,sneaky
أتوماتيك,automatic,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,Automatic,automatic,automatic
ناعس,asleep,Sleepy,Sleepy,Sleepy,Sleepy,Sleepy,Sleepy,Sleepy,Sleepy,sleepy,sleepy
دكي,clever,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Sassy,Stubborn,stubborn,stubborn
مسؤول,liable,Responsible,Responsible,Responsible,Responsible,Responsible,Responsible,Responsible,Responsible,responsible,responsible
متبادل,mutual,Reciprocal,Alternative,Mutual,reciprocal,Mutual,Reciprocal,Reciprocal,Alternative,mutual,reciprocal
مضاعف,multiple,Multiplicative,Multiplicative,Double,Multiple,Doubled,Multiplicative,Multiplicative,Multiple,doubled,doubled
ثقة,reliable,Confident,Confident,Confident,Confident,Confidence,Confidence,Confidence,Confident,confident,confident
بوحدو,sole,Unique,Alone,Alone,Alone,Alone,Unique,Independent,Unique,Unique,unique
النواحي,nearby,The aspects,The sides,Aspects,aspects,Aspects,aspects,Aspects,The aspects,Sneaky,beautiful
هامشي,marginal,Marginal,Marginal,Marginal,Marginal,Marginal,Marginal,Marginal,Rural,Carefree,careless
مطابق,identical,Matching,Matching,Matching,Matching,Matching,Matching,Matching,Matching,matching,compatible
بضّبط,exact,Exactly,Exactly,Precise,Precise,Precise,Precisely,On point,Precisely,precise,precise
نتخابي,electoral,Energetic,Election-related,Elected,Election-related,Energetic,Election-related,Resourceful,Election-oriented,Sneaky,selective
مميّز,distinctive,Special,Distinct,Unique,Distinct,Unique,Distinct,Unique,Distinct,unique,distinct
شفوي,oral,Casual,Oral,Single,Oral,Stylish,Superficial,Sassy,Charismatic,talkative,spontaneous
عريان,bare,Naked,naked,Naked,naked,Naked,Naked,Naked,Naked,naked,naked
رئاسي,presidential,Presidential,Presidential,Presidential,Presidential,Presidential,Presidential,Presidential,Presidential,elegant,presidential
عضوي,organic,Organic,Organic,Unitary,Organic,Loyal,Organic,Loyal,Organic,loyal,organic
بلحساب,statistical,Calculative,Calculated,Calculative,Calculated,Calculative,Calculative,Resourceful,Stingy,careful,careful
عاجل,urgent,Urgent,Urgent,Urgent,Urgent,Urgent,Urgent,Urgent,Urgent,urgent,urgent
مرغوب,desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,desirable,desirable
حصري,exclusive,Exclusive,Exclusive,Exclusive,Exclusive,Exclusive,Exclusive,Exclusive,Exclusive,exclusive,exclusive
يومي,everyday,Casual,Daily,Daily,Daily,Daily,Daily,Casual,Daily,casual,casual
رائع,superb,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,awesome,wonderful
صارم,strict,Strict,Strict,Strict,Strict,Strict,Strict,Strict,Strict,strict,strict
مامتوقّعش,unexpected,Unpredictable,Unpredictable,Unpredictable,Unpredictable,Unpredictable,Unpredictable,Unpredictable,Unpredictable,unpredictable,unpredictable
بريء,innocent,Innocent,Innocent,Innocent,Innocent,Innocent,Innocent,Innocent,Innocent,Innocent,innocent
بحري,marine,Maritime,Maritime,Maritime,Maritime,Marine,Maritime,Resourceful,Maritime,mysterious,marine
رومانسي,romantic,Romantic,Romantic,Romantic,Romantic,Romantic,Romantic,Romantic,Romantic,romantic,romantic
مصطانع,artificial,Stylish,Artificial,Industrial,Artificial,Crafty,Artificial,Resourceful,Artificial,creative,pretentious
مؤسساتي,institutional,My institutions,My institutions,My institution,My institutions,My institutions,My institutions,My institutions,My establishments,loyal,organized
رائع,magnificent,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,Awesome,Wonderful,awesome,wonderful
بيولوجي,biological,Biological,Biological,Biological,Biological,Biological,Biological,Biological,Biological,biological,biological
ديپلوماسي,diplomatic,Diplomatic,Diplomatic,Diplomatic,Diplomatic,Diplomatic,Diplomatic,Diplomatic,Diplomatic,diplomatic,diplomatic
مناسب,convenient,Appropriate,Suitable,Appropriate,Suitable,Appropriate,Appropriate,Appropriate,Appropriate,appropriate,suitable
هائل,tremendous,Huge,Huge,Huge,Huge,Huge,Huge,Gigantic,Huge,enormous,enormous
رأسمالي,capitalist,Capitalist,Capitalist,Capitalist,Capitalist,Capitalist,Capitalist,Capitalist,Capitalist,Capitalist,capitalist
خدّام,functional,Servile,Servant,Servant,Servant,Servant,Servant,Hardworking,Servant,helpful,helpful
ميكانيكي,mechanical,Mechanic,Mechanical,Mechanic,Mechanical,Mechanic,Mechanic,Mechanic,Mechanic,mechanic,mechanical
مباشر,straightforward,Direct,Direct,Direct,Direct,Direct,Direct,Direct,Direct,direct,direct
ماميقّنش,uncertain,Unbelievable,Uncertain,Unsure,Uncertain,Uncertain,Uncertain,Stubborn,Uncertain,indecisive,doubtful
رقمي,digital,My phone number,My number,My number,Delicate,My number,Delicate,My number,Delicate,smart,elegant
مدهل,spectacular,Stylish,Tall,Attractive,Tall,Charming,Patient,Charming,Charming,Stunning,charming
